lakeid,fish_id,annnumber,length,radii_length_mm ,scalelength
BO,393,EDGE,141,2.161087313,2.161087313
BO,393,2,141,1.335802888,2.161087313
BO,393,1,141,0.967752348,2.161087313
BO,394,EDGE,147,2.211094162,2.211094162
BO,394,2,147,1.553867926,2.211094162
BO,394,1,147,0.754649883,2.211094162
BO,395,EDGE,148,2.036940991,2.036940991
BO,395,2,148,1.541781776,2.036940991
BO,395,1,148,1.048341621,2.036940991
BO,396,EDGE,160,2.586442929,2.586442929
BO,396,3,160,1.96521893,2.586442929
BO,396,2,160,1.393716391,2.586442929
BO,396,1,160,0.859352427,2.586442929
BO,397,EDGE,175,2.668376587,2.668376587
BO,397,3,175,2.387704009,2.668376587
BO,397,2,175,1.586715922,2.668376587
BO,397,1,175,0.829840792,2.668376587
BO,398,EDGE,198,3.368417484,3.368417484
BO,398,4,198,3.044853154,3.368417484
BO,398,3,198,2.718076783,3.368417484
BO,398,2,198,1.759274322,3.368417484
BO,398,1,198,0.850073502,3.368417484
BO,399,EDGE,215,3.849398068,3.849398068
BO,399,4,215,3.401731546,3.849398068
BO,399,3,215,2.734284731,3.849398068
BO,399,2,215,1.741357707,3.849398068
BO,399,1,215,1.295202726,3.849398068
BO,400,EDGE,220,3.677409381,3.677409381
BO,400,4,220,3.139037177,3.677409381
BO,400,3,220,2.597994791,3.677409381
BO,400,2,220,2.199280352,3.677409381
BO,400,1,220,1.125216084,3.677409381
BO,401,EDGE,231,4.042932656,4.042932656
BO,401,5,231,3.583842968,4.042932656
BO,401,4,231,3.167881319,4.042932656
BO,401,3,231,2.601463944,4.042932656
BO,401,2,231,1.830159169,4.042932656
BO,401,1,231,1.142375329,4.042932656
BO,402,EDGE,244,4.190666885,4.190666885
BO,402,5,244,3.987561075,4.190666885
BO,402,4,244,3.410275811,4.190666885
BO,402,3,244,2.486375636,4.190666885
BO,402,2,244,1.751672747,4.190666885
BO,402,1,244,1.067039078,4.190666885
BO,403,EDGE,245,4.133062643,4.133062643
BO,403,6,245,3.917324861,4.133062643
BO,403,5,245,3.463449089,4.133062643
BO,403,4,245,2.831671915,4.133062643
BO,403,3,245,2.323036463,4.133062643
BO,403,2,245,1.64666584,4.133062643
BO,403,1,245,1.116614821,4.133062643
BO,404,EDGE,246,3.995967962,3.995967962
BO,404,6,246,3.766423118,3.995967962
BO,404,5,246,3.471605613,3.995967962
BO,404,4,246,2.889890688,3.995967962
BO,404,3,246,2.664903511,3.995967962
BO,404,2,246,2.196010782,3.995967962
BO,404,1,246,1.124255114,3.995967962
BO,405,EDGE,251,4.968445024,4.968445024
BO,405,6,251,4.599900231,4.968445024
BO,405,5,251,4.031340184,4.968445024
BO,405,4,251,3.367004395,4.968445024
BO,405,3,251,2.872039884,4.968445024
BO,405,2,251,2.163549222,4.968445024
BO,405,1,251,1.134145878,4.968445024
BO,406,EDGE,273,4.643203698,4.643203698
BO,406,6,273,4.250291947,4.643203698
BO,406,5,273,3.779099771,4.643203698
BO,406,4,273,3.317857018,4.643203698
BO,406,3,273,2.649398868,4.643203698
BO,406,2,273,1.769643318,4.643203698
BO,406,1,273,1.149919473,4.643203698
BO,407,EDGE,274,5.291036048,5.291036048
BO,407,6,274,4.880677933,5.291036048
BO,407,5,274,4.39790336,5.291036048
BO,407,4,274,3.965084114,5.291036048
BO,407,3,274,3.167329538,5.291036048
BO,407,2,274,2.20247455,5.291036048
BO,407,1,274,1.164126402,5.291036048
BO,408,EDGE,282,4.857894959,4.857894959
BO,408,6,282,4.433466392,4.857894959
BO,408,5,282,3.860094972,4.857894959
BO,408,4,282,3.367684663,4.857894959
BO,408,3,282,2.851606751,4.857894959
BO,408,2,282,2.228982919,4.857894959
BO,408,1,282,1.211593029,4.857894959
BO,409,EDGE,286,5.466752013,5.466752013
BO,409,7,286,5.20288849,5.466752013
BO,409,6,286,4.918015021,5.466752013
BO,409,5,286,4.569569766,5.466752013
BO,409,4,286,3.977115526,5.466752013
BO,409,3,286,3.017446965,5.466752013
BO,409,2,286,2.243577384,5.466752013
BO,409,1,286,1.178735254,5.466752013
BO,410,EDGE,307,5.512869906,5.512869906
BO,410,7,307,5.246389041,5.512869906
BO,410,6,307,4.893390446,5.512869906
BO,410,5,307,4.518736703,5.512869906
BO,410,4,307,4.021602242,5.512869906
BO,410,3,307,3.16913097,5.512869906
BO,410,2,307,2.152335383,5.512869906
BO,410,1,307,1.037635693,5.512869906
BO,411,EDGE,312,6.053672487,6.053672487
BO,411,8,312,5.6397793,6.053672487
BO,411,7,312,5.33575651,6.053672487
BO,411,6,312,5.077694342,6.053672487
BO,411,5,312,4.823559661,6.053672487
BO,411,4,312,4.084281258,6.053672487
BO,411,3,312,3.042384953,6.053672487
BO,411,2,312,2.34261565,6.053672487
BO,411,1,312,1.161997513,6.053672487
BO,412,EDGE,318,5.794595776,5.794595776
BO,412,8,318,5.566925809,5.794595776
BO,412,7,318,5.320452695,5.794595776
BO,412,6,318,4.951514935,5.794595776
BO,412,5,318,4.132345863,5.794595776
BO,412,4,318,3.522377272,5.794595776
BO,412,3,318,2.742960851,5.794595776
BO,412,2,318,2.116558059,5.794595776
BO,412,1,318,1.533082972,5.794595776
BO,413,EDGE,336,5.975534747,5.975534747
BO,413,8,336,5.636619878,5.975534747
BO,413,7,336,5.290441721,5.975534747
BO,413,6,336,4.970891694,5.975534747
BO,413,5,336,4.45633742,5.975534747
BO,413,4,336,3.754980879,5.975534747
BO,413,3,336,3.339522175,5.975534747
BO,413,2,336,2.373546647,5.975534747
BO,413,1,336,1.144887957,5.975534747
BO,414,EDGE,356,5.97285272,5.97285272
BO,414,10,356,5.640423381,5.97285272
BO,414,9,356,5.380839679,5.97285272
BO,414,8,356,4.932381852,5.97285272
BO,414,7,356,4.447386037,5.97285272
BO,414,6,356,4.010046311,5.97285272
BO,414,5,356,3.577114043,5.97285272
BO,414,4,356,3.141317804,5.97285272
BO,414,3,356,2.600919264,5.97285272
BO,414,2,356,1.67656798,5.97285272
BO,414,1,356,1.122623041,5.97285272
BO,415,EDGE,372,6.345184215,6.345184215
BO,415,11,372,6.135282877,6.345184215
BO,415,10,372,5.894985881,6.345184215
BO,415,9,372,5.576899077,6.345184215
BO,415,8,372,5.215771159,6.345184215
BO,415,7,372,4.787533694,6.345184215
BO,415,6,372,4.233869542,6.345184215
BO,415,5,372,3.751015944,6.345184215
BO,415,4,372,3.029837406,6.345184215
BO,415,3,372,2.524328042,6.345184215
BO,415,2,372,1.900246496,6.345184215
BO,415,1,372,1.0690796,6.345184215
BO,416,EDGE,374,6.549720354,6.549720354
BO,416,12,374,6.337852683,6.549720354
BO,416,11,374,6.107017341,6.549720354
BO,416,10,374,5.846238313,6.549720354
BO,416,9,374,5.470617363,6.549720354
BO,416,8,374,5.109489445,6.549720354
BO,416,7,374,4.653126146,6.549720354
BO,416,6,374,4.261957603,6.549720354
BO,416,5,374,3.868938303,6.549720354
BO,416,4,374,3.27787269,6.549720354
BO,416,3,374,2.877147676,6.549720354
BO,416,2,374,2.204460936,6.549720354
BO,416,1,374,1.055956773,6.549720354
BO,417,EDGE,384,7.231674547,7.231674547
BO,417,12,384,6.993980123,7.231674547
BO,417,11,384,6.777513989,7.231674547
BO,417,10,384,6.323427965,7.231674547
BO,417,9,384,6.048333297,7.231674547
BO,417,8,384,5.791358543,7.231674547
BO,417,7,384,5.373536078,7.231674547
BO,417,6,384,4.819123477,7.231674547
BO,417,5,384,4.31618408,7.231674547
BO,417,4,384,3.542106191,7.231674547
BO,417,3,384,2.764420773,7.231674547
BO,417,2,384,2.224022233,7.231674547
BO,417,1,384,1.26883886,7.231674547
BO,418,EDGE,397,5.781149809,5.781149809
BO,418,9,397,5.558777895,5.781149809
BO,418,8,397,5.301803141,5.781149809
BO,418,7,397,4.96029819,5.781149809
BO,418,6,397,4.510225125,5.781149809
BO,418,5,397,4.066297877,5.781149809
BO,418,4,397,3.524366832,5.781149809
BO,418,3,397,2.786983206,5.781149809
BO,418,2,397,2.269716239,5.781149809
BO,418,1,397,1.548825252,5.781149809
BR,1,EDGE,308,5.727239616,5.727239616
BR,1,11,308,5.420092058,5.727239616
BR,1,10,308,5.243086011,5.727239616
BR,1,9,308,5.013313147,5.727239616
BR,1,8,308,4.518052591,5.727239616
BR,1,7,308,4.276168577,5.727239616
BR,1,6,308,3.856387647,5.727239616
BR,1,5,308,3.484025887,5.727239616
BR,1,4,308,3.223535411,5.727239616
BR,1,3,308,2.785591295,5.727239616
BR,1,2,308,2.237252813,5.727239616
BR,1,1,308,1.415192426,5.727239616
BR,2,EDGE,310,6.033123759,6.033123759
BR,2,10,310,5.832726024,6.033123759
BR,2,9,310,5.579992996,6.033123759
BR,2,8,310,5.134796683,6.033123759
BR,2,7,310,4.822895534,6.033123759
BR,2,6,310,4.475547212,6.033123759
BR,2,5,310,4.112601939,6.033123759
BR,2,4,310,3.662571648,6.033123759
BR,2,3,310,3.071249016,6.033123759
BR,2,2,310,2.194866851,6.033123759
BR,2,1,310,1.284385123,6.033123759
BR,3,EDGE,315,6.605461857,6.605461857
BR,3,12,315,6.288605216,6.605461857
BR,3,11,315,6.054355838,6.605461857
BR,3,10,315,5.728609866,6.605461857
BR,3,9,315,5.414772284,6.605461857
BR,3,8,315,5.135055817,6.605461857
BR,3,7,315,4.61657279,6.605461857
BR,3,6,315,4.19679186,6.605461857
BR,3,5,315,3.849443538,6.605461857
BR,3,4,315,3.382795831,6.605461857
BR,3,3,315,2.790741816,6.605461857
BR,3,2,315,1.861070141,6.605461857
BR,3,1,315,1.051635554,6.605461857
BR,4,EDGE,168,2.974395269,2.974395269
BR,4,3,168,2.626797862,2.974395269
BR,4,2,168,2.089782988,2.974395269
BR,4,1,168,1.531279089,2.974395269
BR,5,EDGE,365,7.522447115,7.522447115
BR,5,13,365,7.296089728,7.522447115
BR,5,12,365,6.941833234,7.522447115
BR,5,11,365,6.634967592,7.522447115
BR,5,10,365,6.361193237,7.522447115
BR,5,9,365,6.083651168,7.522447115
BR,5,8,365,5.656714947,7.522447115
BR,5,7,365,5.21542394,7.522447115
BR,5,6,365,4.824909793,7.522447115
BR,5,5,365,4.189968517,7.522447115
BR,5,4,365,3.434055928,7.522447115
BR,5,3,365,2.757793557,7.522447115
BR,5,2,365,1.804950086,7.522447115
BR,5,1,365,1.255350329,7.522447115
BR,6,EDGE,295,6.056170574,6.056170574
BR,6,11,295,5.870105948,6.056170574
BR,6,10,295,5.541187051,6.056170574
BR,6,9,295,5.217573645,6.056170574
BR,6,8,295,4.937857179,6.056170574
BR,6,7,295,4.661252227,6.056170574
BR,6,6,295,4.319936462,6.056170574
BR,6,5,295,3.890372916,6.056170574
BR,6,4,295,3.374567676,6.056170574
BR,6,3,295,2.57535567,6.056170574
BR,6,2,295,2.174344312,6.056170574
BR,6,1,295,1.427068375,6.056170574
BR,7,EDGE,295,4.894276187,4.894276187
BR,7,9,295,4.735847867,4.894276187
BR,7,8,295,4.538496529,4.894276187
BR,7,7,295,4.246369141,4.894276187
BR,7,6,295,3.99091115,4.894276187
BR,7,5,295,3.552967034,4.894276187
BR,7,4,295,3.244694389,4.894276187
BR,7,3,295,2.799498075,4.894276187
BR,7,2,295,2.199457687,4.894276187
BR,7,1,295,1.238203817,4.894276187
BR,8,EDGE,259,5.120097185,5.120097185
BR,8,8,259,4.772499779,5.120097185
BR,8,7,259,4.442792422,5.120097185
BR,8,6,259,4.117844522,5.120097185
BR,8,5,259,3.741552104,5.120097185
BR,8,4,259,3.44153191,5.120097185
BR,8,3,259,2.959735893,5.120097185
BR,8,2,259,2.191219161,5.120097185
BR,8,1,259,1.392007155,5.120097185
BR,9,EDGE,246,4.606302464,4.606302464
BR,9,7,246,4.288355092,4.606302464
BR,9,6,246,3.9986076,4.606302464
BR,9,5,246,3.52023693,4.606302464
BR,9,4,246,2.987428926,4.606302464
BR,9,3,246,2.497792519,4.606302464
BR,9,2,246,2.034308561,4.606302464
BR,9,1,246,1.136365997,4.606302464
BR,10,EDGE,286,6.029992096,6.029992096
BR,10,11,286,5.72710083,6.029992096
BR,10,10,286,5.506553413,6.029992096
BR,10,9,286,5.301038316,6.029992096
BR,10,8,286,5.034634314,6.029992096
BR,10,7,286,4.745784339,6.029992096
BR,10,6,286,4.375053198,6.029992096
BR,10,5,286,3.856570171,6.029992096
BR,10,4,286,3.396083715,6.029992096
BR,10,3,286,2.960517593,6.029992096
BR,10,2,286,2.241575821,6.029992096
BR,10,1,286,1.27457664,6.029992096
BR,11,EDGE,172,2.973960923,2.973960923
BR,11,3,172,2.523930632,2.973960923
BR,11,2,172,1.9527092,2.973960923
BR,11,1,172,1.447243146,2.973960923
BR,12,EDGE,179,3.642083652,3.642083652
BR,12,3,179,3.141953843,3.642083652
BR,12,2,179,2.6179911,3.642083652
BR,12,1,179,1.740326015,3.642083652
BR,13,EDGE,134,2.072127063,2.072127063
BR,13,1,134,1.334292252,2.072127063
BR,14,EDGE,301,6.706873628,6.706873628
BR,14,11,301,6.371440854,6.706873628
BR,14,10,301,6.097666499,6.706873628
BR,14,9,301,5.762233724,6.706873628
BR,14,8,301,5.535876337,6.706873628
BR,14,7,301,5.228728779,6.706873628
BR,14,6,301,4.939878803,6.706873628
BR,14,5,301,4.418067866,6.706873628
BR,14,4,301,3.741805495,6.706873628
BR,14,3,301,3.019261186,6.706873628
BR,14,2,301,2.395320158,6.706873628
BR,14,1,301,1.535286867,6.706873628
BR,15,EDGE,161,2.1432421,2.1432421
BR,15,2,161,1.811180595,2.1432421
BR,15,1,161,1.074754763,2.1432421
BR,16,EDGE,309,6.055954929,6.055954929
BR,16,11,309,5.73100703,6.055954929
BR,16,10,309,5.449440158,6.055954929
BR,16,9,309,5.114007384,6.055954929
BR,16,8,309,4.825157408,6.055954929
BR,16,7,309,4.398221187,6.055954929
BR,16,6,309,3.950891487,6.055954929
BR,16,5,309,3.542184114,6.055954929
BR,16,4,309,3.063270971,6.055954929
BR,16,3,309,2.594772214,6.055954929
BR,16,2,309,1.944876415,6.055954929
BR,16,1,309,1.200152895,6.055954929
BR,17,EDGE,191,3.486728492,3.486728492
BR,17,3,191,2.952460515,3.486728492
BR,17,2,191,2.49197406,3.486728492
BR,17,1,191,1.401549626,3.486728492
BR,18,EDGE,280,5.223966427,5.223966427
BR,18,10,280,4.990828119,5.223966427
BR,18,9,280,4.75657874,5.223966427
BR,18,8,280,4.521223536,5.223966427
BR,18,7,280,4.262065501,5.223966427
BR,18,6,280,3.966404185,5.223966427
BR,18,5,280,3.654503037,5.223966427
BR,18,4,280,3.333305692,5.223966427
BR,18,3,280,2.722826549,5.223966427
BR,18,2,280,2.127129091,5.223966427
BR,18,1,280,1.200441324,5.223966427
BR,19,EDGE,274,5.146631631,5.146631631
BR,19,9,274,4.857781656,5.146631631
BR,19,8,274,4.610588655,5.146631631
BR,19,7,274,4.398442341,5.146631631
BR,19,6,274,4.192927245,5.146631631
BR,19,5,274,3.79800535,5.146631631
BR,19,4,274,3.323631771,5.146631631
BR,19,3,274,2.699829474,5.146631631
BR,19,2,274,2.316247421,5.146631631
BR,19,1,274,1.563662585,5.146631631
BR,20,EDGE,226,4.130059786,4.130059786
BR,20,5,226,3.776047691,4.130059786
BR,20,4,226,3.330851378,4.130059786
BR,20,3,226,2.85922251,4.130059786
BR,20,2,226,2.443169358,4.130059786
BR,20,1,226,1.636734274,4.130059786
BR,21,EDGE,401,7.87621539,7.87621539
BR,21,13,401,7.634689458,7.87621539
BR,21,12,401,7.229384494,7.87621539
BR,21,11,401,6.661201496,7.87621539
BR,21,10,401,6.205248241,7.87621539
BR,21,9,401,5.616125205,7.87621539
BR,21,8,401,5.083317202,7.87621539
BR,21,7,401,4.579566341,7.87621539
BR,21,6,401,4.236480123,7.87621539
BR,21,5,401,3.808127186,7.87621539
BR,21,4,401,3.179212236,7.87621539
BR,21,3,401,2.481780065,7.87621539
BR,21,2,401,1.949459609,7.87621539
BR,21,1,401,1.044699439,7.87621539
BR,22,EDGE,412,7.063296575,7.063296575
BR,22,14,412,6.709773786,7.063296575
BR,22,13,412,6.309626677,7.063296575
BR,22,12,412,5.946681404,7.063296575
BR,22,11,412,5.617762508,7.063296575
BR,22,10,412,5.225258749,7.063296575
BR,22,9,412,4.66675485,7.063296575
BR,22,8,412,4.257412673,7.063296575
BR,22,7,412,3.852107709,7.063296575
BR,22,6,412,3.494205256,7.063296575
BR,22,5,412,3.117912837,7.063296575
BR,22,4,412,2.593950093,7.063296575
BR,22,3,412,2.172728381,7.063296575
BR,22,2,412,1.714502921,7.063296575
BR,22,1,412,1.155999021,7.063296575
BR,23,EDGE,310,5.723596694,5.723596694
BR,23,10,310,5.323449586,5.723596694
BR,23,9,310,4.929185712,5.723596694
BR,23,8,310,4.334797321,5.723596694
BR,23,7,310,4.005089964,5.723596694
BR,23,6,310,3.610387288,5.723596694
BR,23,5,310,3.104065816,5.723596694
BR,23,4,310,2.643767352,5.723596694
BR,23,3,310,2.275143321,5.723596694
BR,23,2,310,1.791017609,5.723596694
BR,23,1,310,1.240159465,5.723596694
BR,24,EDGE,319,5.619783059,5.619783059
BR,24,9,319,5.200208359,5.619783059
BR,24,8,319,4.874462388,5.619783059
BR,24,7,319,4.416236927,5.619783059
BR,24,6,319,3.903798597,5.619783059
BR,24,5,319,3.538002925,5.619783059
BR,24,4,319,2.960902559,5.619783059
BR,24,3,319,2.494254851,5.619783059
BR,24,2,319,1.944655094,5.619783059
BR,24,1,319,1.237364736,5.619783059
BR,25,EDGE,345,7.394288576,7.394288576
BR,25,13,345,7.129513972,7.394288576
BR,25,12,345,6.804033807,7.394288576
BR,25,11,345,6.274811581,7.394288576
BR,25,10,345,5.827481882,7.394288576
BR,25,9,345,5.486166117,7.394288576
BR,25,8,345,5.115434976,7.394288576
BR,25,7,345,4.785465217,7.394288576
BR,25,6,345,4.335434926,7.394288576
BR,25,5,345,3.861061347,7.394288576
BR,25,4,345,3.472547002,7.394288576
BR,25,3,345,2.889924018,7.394288576
BR,25,2,345,2.382236875,7.394288576
BR,25,1,345,1.458917533,7.394288576
BR,26,EDGE,185,2.941509482,2.941509482
BR,26,3,185,2.600193717,2.941509482
BR,26,2,185,2.247160911,2.941509482
BR,26,1,185,1.516398163,2.941509482
BR,27,EDGE,296,6.285793896,6.285793896
BR,27,11,296,6.023647393,6.285793896
BR,27,10,296,5.752413922,6.285793896
BR,27,9,296,5.412877842,6.285793896
BR,27,8,296,5.094386505,6.285793896
BR,27,7,296,4.787520862,6.285793896
BR,27,6,296,4.34096576,6.285793896
BR,27,5,296,3.738478273,6.285793896
BR,27,4,296,3.146424259,6.285793896
BR,27,3,296,2.583290516,6.285793896
BR,27,2,296,2.158997888,6.285793896
BR,27,1,296,1.274848231,6.285793896
BR,28,EDGE,297,5.436126326,5.436126326
BR,28,10,297,5.169722324,5.436126326
BR,28,9,297,4.920090433,5.436126326
BR,28,8,297,4.649176249,5.436126326
BR,28,7,297,4.34202869,5.436126326
BR,28,6,297,3.906462568,5.436126326
BR,28,5,297,3.515948422,5.436126326
BR,28,4,297,3.099895271,5.436126326
BR,28,3,297,2.625521692,5.436126326
BR,28,2,297,2.143725675,5.436126326
BR,28,1,297,1.490376492,5.436126326
BR,29,EDGE,347,6.395392862,6.395392862
BR,29,12,347,6.187366286,6.395392862
BR,29,11,347,5.926212138,6.395392862
BR,29,10,347,5.730622901,6.395392862
BR,29,9,347,5.364827229,6.395392862
BR,29,8,347,4.919630915,6.395392862
BR,29,7,347,4.582653545,6.395392862
BR,29,6,347,4.122355082,6.395392862
BR,29,5,347,3.635377353,6.395392862
BR,29,4,347,3.066129058,6.395392862
BR,29,3,347,2.560663004,6.395392862
BR,29,2,347,1.902825211,6.395392862
BR,29,1,347,1.284317735,6.395392862
BR,30,EDGE,383,7.946451439,7.946451439
BR,30,13,383,7.485964984,7.946451439
BR,30,12,383,7.113835732,7.946451439
BR,30,11,383,6.666893164,7.946451439
BR,30,10,383,6.257550987,7.946451439
BR,30,9,383,5.829602347,7.946451439
BR,30,8,383,5.321744754,7.946451439
BR,30,7,383,4.87654844,7.946451439
BR,30,6,383,4.497049577,7.946451439
BR,30,5,383,3.985287288,7.946451439
BR,30,4,383,3.445218885,7.946451439
BR,30,3,383,3.058267086,7.946451439
BR,30,2,383,2.034235269,7.946451439
BR,30,1,383,1.20619542,7.946451439
CR,449,EDGE,326,4.459633063,4.459633063
CR,449,13,326,4.307052445,4.459633063
CR,449,12,326,4.167575361,4.459633063
CR,449,11,326,3.94958812,4.459633063
CR,449,10,326,3.80097819,4.459633063
CR,449,9,326,3.543423413,4.459633063
CR,449,8,326,3.359345192,4.459633063
CR,449,7,326,3.155730263,4.459633063
CR,449,6,326,2.930369834,4.459633063
CR,449,5,326,2.676556972,4.459633063
CR,449,4,326,2.367114837,4.459633063
CR,449,3,326,1.982748226,4.459633063
CR,449,2,326,1.553407723,4.459633063
CR,449,1,326,1.042260312,4.459633063
CR,450,EDGE,353,5.582184369,5.582184369
CR,450,12,353,5.411594052,5.582184369
CR,450,11,353,5.221758669,5.582184369
CR,450,10,353,4.966380013,5.582184369
CR,450,9,353,4.730475822,5.582184369
CR,450,8,353,4.458321145,5.582184369
CR,450,7,353,4.154994299,5.582184369
CR,450,6,353,3.845552164,5.582184369
CR,450,5,353,3.424083259,5.582184369
CR,450,4,353,2.912623983,5.582184369
CR,450,3,353,2.376877664,5.582184369
CR,450,2,353,1.927485454,5.582184369
CR,450,1,353,1.421747991,5.582184369
CR,451,EDGE,335,5.491501253,5.491501253
CR,451,12,335,5.34614595,5.491501253
CR,451,11,335,5.244338485,5.491501253
CR,451,10,335,5.054503102,5.491501253
CR,451,9,335,4.814577527,5.491501253
CR,451,8,335,4.510463159,5.491501253
CR,451,7,335,4.007729948,5.491501253
CR,451,6,335,3.742549049,5.491501253
CR,451,5,335,3.474973692,5.491501253
CR,451,4,335,3.060659357,5.491501253
CR,451,3,335,2.574863507,5.491501253
CR,451,2,335,2.112873979,5.491501253
CR,451,1,335,1.232507665,5.491501253
CR,452,EDGE,290,4.407958515,4.407958515
CR,452,10,290,4.113162781,4.407958515
CR,452,9,290,3.942572464,4.407958515
CR,452,8,290,3.706668273,4.407958515
CR,452,7,290,3.441186886,4.407958515
CR,452,6,290,3.138123002,4.407958515
CR,452,5,290,2.810654836,4.407958515
CR,452,4,290,2.583356923,4.407958515
CR,452,3,290,2.322572012,4.407958515
CR,452,2,290,1.816834549,4.407958515
CR,452,1,290,1.083994856,4.407958515
CR,453,EDGE,288,4.844292234,4.844292234
CR,453,11,288,4.644631369,4.844292234
CR,453,10,288,4.389252713,4.844292234
CR,453,9,288,4.137648334,4.844292234
CR,453,8,288,3.90326995,4.844292234
CR,453,7,288,3.63539679,4.844292234
CR,453,6,288,3.38842994,4.844292234
CR,453,5,288,3.175437554,4.844292234
CR,453,4,288,2.94105917,4.844292234
CR,453,3,288,2.669491034,4.844292234
CR,453,2,288,1.930745835,4.844292234
CR,453,1,288,1.131603381,4.844292234
CR,454,EDGE,287,4.579928161,4.579928161
CR,454,8,287,4.351231479,4.579928161
CR,454,7,287,4.131604528,4.579928161
CR,454,6,287,3.752669457,4.579928161
CR,454,5,287,3.424107499,4.579928161
CR,454,4,287,2.99990451,4.579928161
CR,454,3,287,2.447669845,4.579928161
CR,454,2,287,1.677278974,4.579928161
CR,454,1,287,1.121518376,4.579928161
CR,455,EDGE,289,4.25727889,4.25727889
CR,455,10,289,4.053663961,4.25727889
CR,455,9,289,3.831869586,4.25727889
CR,455,8,289,3.561921009,4.25727889
CR,455,7,289,3.368754927,4.25727889
CR,455,6,289,3.155762541,4.25727889
CR,455,5,289,2.883607864,4.25727889
CR,455,4,289,2.517079239,4.25727889
CR,455,3,289,2.276821587,4.25727889
CR,455,2,289,1.90425206,4.25727889
CR,455,1,289,1.164212896,4.25727889
CR,456,EDGE,315,4.632666819,4.632666819
CR,456,11,315,4.38634648,4.632666819
CR,456,10,315,4.178660788,4.632666819
CR,456,9,315,3.921106012,4.632666819
CR,456,8,315,3.71265395,4.632666819
CR,456,7,315,3.485005539,4.632666819
CR,456,6,315,3.161456355,4.632666819
CR,456,5,315,2.946415023,4.632666819
CR,456,4,315,2.712717973,4.632666819
CR,456,3,315,2.249694139,4.632666819
CR,456,2,315,1.686877112,4.632666819
CR,456,1,315,1.225924212,4.632666819
CR,457,EDGE,263,3.954971736,3.954971736
CR,457,8,263,3.756713424,3.954971736
CR,457,7,263,3.543721038,3.954971736
CR,457,6,263,3.354306111,3.954971736
CR,457,5,263,3.13963586,3.954971736
CR,457,4,263,2.841211321,3.954971736
CR,457,3,263,2.499330348,3.954971736
CR,457,2,263,1.813240301,3.954971736
CR,457,1,263,1.122690751,3.954971736
CR,458,EDGE,291,4.969806095,4.969806095
CR,458,12,291,4.766191166,4.969806095
CR,458,11,291,4.493597412,4.969806095
CR,458,10,291,4.237750886,4.969806095
CR,458,9,291,3.942144902,4.969806095
CR,458,8,291,3.664049497,4.969806095
CR,458,7,291,3.480187966,4.969806095
CR,458,6,291,3.27953128,4.969806095
CR,458,5,291,3.019205362,4.969806095
CR,458,4,291,2.65926162,4.969806095
CR,458,3,291,2.255472511,4.969806095
CR,458,2,291,1.705335267,4.969806095
CR,458,1,291,1.024787469,4.969806095
CR,459,EDGE,297,4.736675762,4.736675762
CR,459,11,297,4.60883043,4.736675762
CR,459,10,297,4.438240112,4.736675762
CR,459,9,297,4.214477375,4.736675762
CR,459,8,297,3.828042037,4.736675762
CR,459,7,297,3.500208868,4.736675762
CR,459,6,297,3.052683393,4.736675762
CR,459,5,297,2.792357475,4.736675762
CR,459,4,297,2.425285442,4.736675762
CR,459,3,297,2.169594778,4.736675762
CR,459,2,297,1.846045594,4.736675762
CR,459,1,297,1.29779562,4.736675762
CR,460,EDGE,276,3.953296481,3.953296481
CR,460,8,276,3.722863276,3.953296481
CR,460,7,276,3.399314093,3.953296481
CR,460,6,276,3.102496879,3.953296481
CR,460,5,276,2.809600447,3.953296481
CR,460,4,276,2.529220853,3.953296481
CR,460,3,276,2.184552761,3.953296481
CR,460,2,276,1.584705595,3.953296481
CR,460,1,276,0.955789718,3.953296481
CR,461,EDGE,258,4.193688192,4.193688192
CR,461,6,258,3.923739615,4.193688192
CR,461,5,258,3.648670993,4.193688192
CR,461,4,258,3.249948697,4.193688192
CR,461,3,258,2.788649995,4.193688192
CR,461,2,258,2.15714064,4.193688192
CR,461,1,258,1.437253155,4.193688192
CR,462,EDGE,347,4.285892212,4.285892212
CR,462,13,347,4.104296695,4.285892212
CR,462,12,347,3.928620795,4.285892212
CR,462,11,347,3.701939338,4.285892212
CR,462,10,347,3.363186543,4.285892212
CR,462,9,347,3.055960803,4.285892212
CR,462,8,347,2.710340699,4.285892212
CR,462,7,347,2.446307171,4.285892212
CR,462,6,347,2.195979379,4.285892212
CR,462,5,347,1.900184493,4.285892212
CR,462,4,347,1.662043939,4.285892212
CR,462,3,347,1.311361595,4.285892212
CR,462,2,347,0.903377209,4.285892212
CR,462,1,347,0.456891083,4.285892212
CR,463,EDGE,337,5.860261506,5.860261506
CR,463,13,337,5.639187245,5.860261506
CR,463,12,337,5.385374383,5.860261506
CR,463,11,337,5.188731237,5.860261506
CR,463,10,337,4.888707983,5.860261506
CR,463,9,337,4.626095118,5.860261506
CR,463,8,337,4.358221958,5.860261506
CR,463,7,337,4.116970818,5.860261506
CR,463,6,337,3.851489431,5.860261506
CR,463,5,337,3.49021911,5.860261506
CR,463,4,337,3.123799263,5.860261506
CR,463,3,337,2.547543279,5.860261506
CR,463,2,337,1.99135247,5.860261506
CR,463,1,337,1.155586305,5.860261506
CR,464,EDGE,283,4.186116575,4.186116575
CR,464,9,283,3.987858263,4.186116575
