#,Name,Sell,Where/How,Shadow,Total Catches to Unlock,Spawn Rates,Rain/Snow Catch Up,NH Jan,NH Feb,NH Mar,NH Apr,NH May,NH Jun,NH Jul,NH Aug,NH Sep,NH Oct,NH Nov,NH Dec,SH Jan,SH Feb,SH Mar,SH Apr,SH May,SH Jun,SH Jul,SH Aug,SH Sep,SH Oct,SH Nov,SH Dec,Color 1,Color 2,Size,Lighting Type,Icon Filename,Critterpedia Filename,Furniture Filename,Internal ID,Unique Entry ID
56,anchovy,200,Sea,Small,0,2–5,No,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,Blue,Red,1x1,No lighting,Fish81,FishAntyobi,FtrFishAntyobi,4201,LzuWkSQP55uEpRCP5
45,saddled bichir,4000,River,Large,20,1,No,NA,NA,NA,NA,NA,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,NA,NA,NA,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,NA,NA,NA,NA,NA,NA,NA,NA,9 PM – 4 AM,Brown,Black,2x1,Fluorescent,Fish68,FishEndorikerii,FtrFishEndlicheri,2254,bcTmnwZxrw2iJsQmf
31,salmon,700,River (mouth),Large,0,20,No,NA,NA,NA,NA,NA,NA,NA,NA,All day,NA,NA,NA,NA,NA,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brown,Black,2x1,Fluorescent,Fish27,FishSake,FtrFishSake,2242,iwXhnZcSezNxqdNQf
72,saw shark,12000,Sea,Large w/Fin,50,1,No,NA,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,NA,NA,NA,NA,4 PM – 9 AM,Brown,Black,2x1,Fluorescent,Fish74,FishNokogirizame,FtrFishNokogiri,2281,tsrT7a8cbtwZrmJTz
59,sea bass,400,Sea,X-Large,0,11–18,No,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Gray,Black,2x1,Fluorescent,Fish48,FishSuzuki,FtrFishSuzuki,2266,LkA5hzibm6uiHDB9g
47,sea butterfly,1000,Sea,X-Small,0,10–11,No,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,All day,NA,NA,NA,NA,NA,All day,All day,All day,All day,NA,NA,NA,White,Black,1x1,Fluorescent,Fish37,FishKurione,FtrFishKurione,2255,kd5beizyQGeyjeM79
48,sea horse,1100,Sea,X-Small,0,5–7,No,NA,NA,NA,All day,All day,All day,All day,All day,All day,All day,All day,NA,All day,All day,All day,All day,All day,NA,NA,NA,NA,All day,All day,All day,Orange,Black,1x1,Fluorescent,Fish39,FishTatsunootoshigo,FtrFishTatsunootoshigo,2256,Pw5oZqC29NWEGRfyS
13,snapping turtle,5000,River,Large,0,2–3,No,NA,NA,NA,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,NA,NA,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,NA,NA,NA,NA,NA,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,Brown,Black,1x1,No lighting,Fish78,FishKamitsukigame,FtrFishKamitukigame,4192,SJa3LLde3Yuz4H3D7
12,soft-shelled turtle,3750,River,Large,20,4,No,NA,NA,NA,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,Green,Black,1x1,No lighting,Fish65,FishSuppon,FtrFishSuppon,2224,izuY2f4GtEGT3BtuR
63,squid,500,Sea,Medium,0,7–10,No,All day,All day,All day,All day,All day,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,All day,All day,All day,All day,All day,All day,All day,Beige,Black,1x1,Fluorescent,Fish52,FishIka,FtrFishIka,2270,qxHJ6BGgyQujkC28w
30,stringfish,15000,River (clifftop),X-Large,100,1,No,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,NA,NA,NA,NA,4 PM – 9 AM,NA,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,Brown,Black,2x1,Fluorescent,Fish26,FishItou,FtrFishItou,2241,APXg8kSzjcmoGGWSP
46,sturgeon,10000,River (mouth),XX-Large,20,1–4,Yes,All day,All day,All day,NA,NA,NA,NA,NA,All day,All day,All day,All day,NA,NA,All day,All day,All day,All day,All day,All day,All day,NA,NA,NA,Black,Black,2x1,Fluorescent,Fish75,FishTyouzame,FtrFishTyouzame,4189,XabKYtzYDNSNrFvpw
76,suckerfish,1500,Sea,Medium w/Fin,20,2,No,NA,NA,NA,NA,NA,All day,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,All day,Black,Black,1x1,Fluorescent,Fish83,FishKobanzame,FtrFishKobanzame,4203,FPpwmMDn9rYAJazyS
50,surgeonfish,1000,Sea,Small,0,2,No,NA,NA,NA,All day,All day,All day,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,All day,All day,All day,Blue,Black,1x1,Fluorescent,Fish41,FishNanyouhagi,FtrFishNanyouhagi,2258,s7iioofF5C7PzCZyF
26,sweetfish,900,River,Medium,0,5–10,No,NA,NA,NA,NA,NA,NA,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,Green,Black,1x1,Fluorescent,Fish22,FishAyu,FtrFishAyu,2237,dWgg2bjCicuiZjXW6
14,tadpole,100,Pond,X-Small,0,5–6,No,NA,NA,All day,All day,All day,All day,All day,NA,NA,NA,NA,NA,All day,NA,NA,NA,NA,NA,NA,NA,All day,All day,All day,All day,Black,Blue,1x1,No lighting,Fish64,FishOtamajakusi,FtrFishOtama,2225,rb8MsjWopKYWuQK8s
23,tilapia,800,River,Medium,0,7–9,No,NA,NA,NA,NA,NA,All day,All day,All day,All day,All day,NA,NA,All day,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,All day,Black,Black,1x1,Fluorescent,Fish76,FishThirapia,FtrFishThirapia,4190,as78rnkwY3ahrTkBY
66,tuna,7000,Pier,XX-Large,50,2,Yes,All day,All day,All day,All day,NA,NA,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,All day,All day,All day,All day,All day,All day,NA,NA,Blue,Black,2x1,Fluorescent,Fish57,FishMaguro,FtrFishMaguro,2274,4PnGXx9DSb866AeCM
75,whale shark,13000,Sea,Large w/Fin,50,1,Yes,NA,NA,NA,NA,NA,All day,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,All day,Black,Blue,3x2,No lighting,Fish72,FishJinbeezame,FtrFishJinbee,2282,r3RAtJsXENwnFvQh7
21,yellow perch,300,River,Medium,0,7–10,No,All day,All day,All day,NA,NA,NA,NA,NA,NA,All day,All day,All day,NA,NA,NA,All day,All day,All day,All day,All day,All day,NA,NA,NA,Yellow,Black,1x1,Fluorescent,Fish18,FishYellowparch,FtrFishYellowparch,2233,bLgE5dicZniF5zZDW
53,zebra turkeyfish,500,Sea,Medium,0,6–8,No,NA,NA,NA,All day,All day,All day,All day,All day,All day,All day,All day,NA,All day,All day,All day,All day,All day,NA,NA,NA,NA,All day,All day,All day,Red,Black,1x1,Fluorescent,Fish44,FishMinokasago,FtrFishMinokasago,2261,h7fa7Fh3Ay7vAxgE2
