Name,#1,Material 1,#2,Material 2,#3,Material 3,#4,Material 4,#5,Material 5,#6,Material 6,Buy,Sell,Miles Price,Source,Source Notes,Recipes to Unlock,Version,Category,Serial ID,Internal ID,Unique Entry ID
earth-egg outfit,3,earth egg,,,,,,,,,,,NFS,200,NA,Collecting earth eggs,Only available during Bunny Day,0,1.1.0a,Dresses,3761,674,7Mt6bHNy79mjNGipa
earth-egg shell,2,earth egg,,,,,,,,,,,NFS,200,NA,Collecting earth eggs,Only available during Bunny Day,0,1.1.0a,Headwear,3760,673,C9wvFR7fBGccZDyWa
earth-egg shoes,2,earth egg,,,,,,,,,,,NFS,200,NA,Collecting earth eggs,Only available during Bunny Day,0,1.1.0a,Shoes,3762,675,usLoxmkjFnPhxs9nr
egg party dress,3,earth egg,3,stone egg,3,leaf egg,3,wood egg,3,sky egg,3,water egg,NFS,200,NA,Learning all egg outfit DIYs,Only available during Bunny Day,0,1.1.0a,Dresses,3779,692,zNdwTbYA7G3MRrqkE
egg party hat,2,earth egg,2,stone egg,2,leaf egg,2,wood egg,2,sky egg,2,water egg,NFS,200,NA,Learning all egg outfit DIYs,Only available during Bunny Day,0,1.1.0a,Headwear,3778,691,SCBtDqCaR7QLCprjw
fancy lily wreath,3,orange lilies,3,pink lilies,3,yellow lilies,,,,,,,NFS,200,NA,All Villagers,,100,1.0.0,Wall-mounted,3564,455,yj4Z2oGDi6Thvm89d
fancy mum wreath,3,pink mums,3,purple mums,3,red mums,,,,,,,NFS,200,NA,All Villagers,,100,1.0.0,Wall-mounted,3544,443,qW3wgimoN7XhG5BvD
fancy rose wreath,3,orange roses,3,pink roses,3,yellow roses,,,,,,,NFS,200,NA,All Villagers,,100,1.0.0,Wall-mounted,3553,448,vr9dDrXLQuDSwfDdy
festive top set,2,gold ornament,1,hardwood,,,,,,,,,NFS,200,NA,Balloons,Only available during Festive Season,0,1.0.0,Miscellaneous,3400,650,tyq7gwEQhneN7ret4
festive tree,3,red ornament,3,blue ornament,3,gold ornament,5,wood,,,,,NFS,200,NA,Balloons,Only available during Festive Season,0,1.0.0,Housewares,3403,274,vtwGE69N2Z3GppKwx
firewood,8,wood,,,,,,,,,,,NFS,200,NA,Jock villagers,,0,1.0.0,Miscellaneous,467,402,yDibbjkFgmEuJtdS6
fish bait,1,manila clam,,,,,,,,,,,NFS,200,NA,Digging up clams,,0,1.0.0,Other,131,191,XSQzMk4R5tzbPbToi
fishing rod,1,flimsy fishing rod,1,iron nugget,,,,,,,,,NFS,200,NA,Pretty Good Tools Recipes,Purchase Pretty Good Tools Recipes via Nook Miles Redemption,0,1.0.0,Tools,106,282,FeccEGBoFMHyMM75Q
flat garden rock,20,stone,,,,,,,,,,,NFS,200,NA,Snooty villagers,,0,1.0.0,Housewares,806,646,JFxaTW3m9gD8zWTyQ
flimsy axe,5,tree branch,1,stone,,,,,,,,,280,200,NA,Tom Nook; Nook's Cranny,,0,1.0.0,Tools,100,10,6WFHd6r74ZDND9eCx
flimsy fishing rod,5,tree branch,,,,,,,,,,,280,200,NA,Tom Nook,,0,1.0.0,Tools,105,21,9JboJHudaWqqbQxbZ
flimsy net,5,tree branch,,,,,,,,,,,280,200,NA,Tom Nook,,0,1.0.0,Tools,107,22,jF9AD5TZekwWomWwJ
flimsy shovel,5,hardwood,,,,,,,,,,,280,200,NA,Blathers; Nook's Cranny,,0,1.0.0,Tools,103,19,bPp3TpiueJDRte9wT
flimsy watering can,5,softwood,,,,,,,,,,,280,200,NA,Tom Nook; Nook's Cranny,,0,1.0.0,Tools,109,20,FnnhLbn7KQdg2Xqey
floral swag,10,clump of weeds,,,,,,,,,,,NFS,200,NA,Normal villagers,,50,1.0.0,Wall-mounted,1230,121,d2brTtEXPaFRfbcFh
flower stand,1,red roses,2,pink roses,2,orange roses,2,white liles,1,yellow lilies,4,purple windflowers,NFS,200,NA,Big Sister villagers,,100,1.0.0,Housewares,3508,608,faN686NpjrFkDricn
flying saucer,15,star fragment,10,iron nugget,,,,,,,,,NFS,200,NA,Celeste,,0,1.0.0,Housewares,2227,233,JDCn8zkKX2JwHBxBh
forest flooring,1,rare mushroom,2,round mushroom,2,skinny mushroom,2,flat mushroom,10,clump of weeds,,,NFS,200,NA,Balloons,Only available during Mushroom Season,0,1.0.0,Floors,3060,488,Qb6n9omuBxypP7aje
forest wall,2,elegant mushroom,2,round mushroom,2,skinny mushroom,2,flat mushroom,10,wood,,,NFS,200,NA,Balloons,Only available during Mushroom Season,0,1.0.0,Wallpaper,3050,484,dtfYZqMNT9jsPDwTj
fossil doorplate,1,fossil,2,stone,,,,,,,,,NFS,200,NA,Jock villagers,,50,1.0.0,Wall-mounted,840,464,eig2yBncaDeGLkfKP
fountain,1,drinking fountain,20,stone,8,iron nugget,,,,,,,NFS,200,3000,Nook Miles Exchange,,0,1.0.0,Housewares,804,599,LWAeuHiDEv25pHRQx
frozen arch,1,large snowflake,10,snowflake,,,,,,,,,NFS,200,NA,Snowboy,Reward for making a perfect Snowboy; Only available during Winter,0,1.0.0,Housewares,3206,140,FqCNQ69DMLvgxruE9
frozen bed,1,large snowflake,10,snowflake,,,,,,,,,NFS,200,NA,Snowboy,Reward for making a perfect Snowboy; Only available during Winter,0,1.0.0,Housewares,3204,149,zBcsrLsdydLH3xHNE
frozen chair,1,large snowflake,3,snowflake,,,,,,,,,NFS,200,NA,Snowboy,Reward for making a perfect Snowboy; Only available during Winter,0,1.0.0,Housewares,3201,142,jJq4Bjw6SaE7S8mnT
frozen counter,1,large snowflake,5,snowflake,,,,,,,,,NFS,200,NA,Snowboy,Reward for making a perfect Snowboy; Only available during Winter,0,1.0.0,Housewares,3202,143,p76DgzdnhT9SCNipu
frozen partition,1,large snowflake,6,snowflake,,,,,,,,,NFS,200,NA,Snowboy,Reward for making a perfect Snowboy; Only available during Winter,0,1.0.0,Housewares,3205,147,8MAAQxYSHaQBQ6A2t
frozen pillar,1,large snowflake,4,snowflake,,,,,,,,,NFS,200,NA,Snowboy,Reward for making a perfect Snowboy; Only available during Winter,0,1.0.0,Housewares,3207,148,NLsTNAekFvRenddKs
frozen sculpture,1,large snowflake,4,snowflake,,,,,,,,,NFS,200,NA,Snowboy,Reward for making a perfect Snowboy; Only available during Winter,0,1.0.0,Housewares,3208,141,GGrDCvwPHpbzRnhzi
frozen table,1,large snowflake,8,snowflake,,,,,,,,,NFS,200,NA,Snowboy,Reward for making a perfect Snowboy; Only available during Winter,0,1.0.0,Housewares,3203,146,ERiC3P6oPfo8EgJcb
frozen tree,1,large snowflake,8,snowflake,,,,,,,,,NFS,200,NA,Snowboy,Reward for making a perfect Snowboy; Only available during Winter,0,1.0.0,Housewares,3209,145,CiiuZA9ZJhtjTrD8C
frozen-treat set,1,large snowflake,1,snowflake,,,,,,,,,NFS,200,NA,Snowboy,Reward for making a perfect Snowboy; Only available during Winter,0,1.0.0,Miscellaneous,3200,194,ygrBuPoB8ZKRjnXXD
fruit basket,1,apple,1,pear,1,cherry,1,orange,1,peach,,,NFS,200,NA,Cranky villagers,,100,1.0.0,Miscellaneous,1900,56,sAtJ8kdcam2FX5MJb
fruit wreath,2,apple,1,pear,3,cherry,3,orange,1,peach,,,NFS,200,NA,Cranky villagers,,100,1.0.0,Wall-mounted,1940,223,FPCNEvg2aBDZZkjxu
frying pan,2,iron nugget,,,,,,,,,,,NFS,200,NA,DIY for Beginners,Purchase DIY for Beginners at Nook's Cranny,0,1.0.0,Miscellaneous,908,199,bgMKMNGmxjKPXaDNp
galaxy flooring,5,star fragment,1,large star fragment,,,,,,,,,NFS,200,NA,Celeste,,0,1.0.0,Floors,2260,482,e3XyJ7j4bQYXSRDBW
garbage-heap flooring,2,empty can,2,boot,2,old tire,,,,,,,NFS,200,NA,Fishing up trash,,0,1.0.0,Floors,660,486,Ksn3xwxp4aqcty4Z6
garbage-heap wall,2,empty can,2,boot,2,old tire,,,,,,,NFS,200,NA,Fishing up trash,,0,1.0.0,Wallpaper,650,301,pmFETBqn6JQFmXnA3
garden bench,12,wood,4,iron nugget,,,,,,,,,NFS,200,NA,Snooty villagers,,0,1.0.0,Housewares,1009,124,AToP4B59FCDjcpbHj
garden rock,15,stone,,,,,,,,,,,NFS,200,NA,Lazy villagers,,0,1.0.0,Housewares,805,48,gH69947Ybie3us6SB
garden wagon,3,white hyacinths,3,red cosmos,3,yellow roses,8,wood,2,iron nugget,,,NFS,200,NA,Peppy villagers,,0,1.0.0,Housewares,436,571,4g5iFxN9TFG7KwndZ
Gemini closet,3,star fragment,2,Gemini fragment,2,gold nugget,6,stone,,,,,NFS,200,NA,Celeste,,0,1.0.0,Housewares,2302,377,jD3cfJDgrgBozKYnz
giant teddy bear,1,Papa bear,1,Mama bear,1,Baby bear,,,,,,,NFS,200,NA,Peppy villagers,,100,1.0.0,Housewares,2160,577,jPYidbBoH7RNB4jRQ
gold armor,8,gold nugget,,,,,,,,,,,NFS,200,NA,Smug villagers,,100,1.0.0,Dresses,1181,566,9ThvdcF6fyMHcpzx2
gold bars,3,gold nugget,,,,,,,,,,,NFS,200,NA,Snooty villagers,,100,1.0.0,Miscellaneous,1100,81,3DtQMaiAHW8XDdX4c
gold helmet,5,gold nugget,,,,,,,,,,,NFS,200,NA,Smug villagers,,200,1.0.0,Headwear,1180,644,ihpryTYADPJmMyH3G
gold rose crown,6,gold roses,,,,,,,,,,,NFS,200,NA,All Villagers,,200,1.0.0,Headwear,3616,460,RAj5rwhgZgfNLzsTh
gold rose wreath,10,gold roses,,,,,,,,,,,NFS,200,NA,All Villagers,,200,1.0.0,Wall-mounted,3556,449,fYHqu9bGpt2ivTWRt
gold-armor shoes,4,gold nugget,,,,,,,,,,,NFS,200,NA,Smug villagers,,200,1.0.0,Shoes,1182,643,4nY6xoTSqFMjzsTLp
gold-screen wall,2,gold nugget,1,screen wall,,,,,,,,,NFS,200,NA,Smug villagers,,100,1.0.0,Wallpaper,1151,298,oCeLPYajbm2MHZyGn
golden arowana model,3,gold nugget,,,,,,,,,,,NFS,200,NA,Lazy villagers,,100,1.0.0,Miscellaneous,1132,602,TG3z4Bf2ju3Wo5tRK
golden axe,1,axe,1,gold nugget,,,,,,,,,NFS,200,NA,Breaking 100 axes,,0,1.0.0,Tools,112,663,M67DJhFjbWusf3xXk
golden candlestick,2,gold nugget,,,,,,,,,,,NFS,200,NA,Smug villagers,,0,1.0.0,Miscellaneous,1102,130,F78p9Pkj6X2TRfpDT
golden casket,8,gold nugget,,,,,,,,,,,NFS,200,NA,Smug villagers,,200,1.0.0,Housewares,1105,569,erQLwMgyX6NwbpNmG
golden dishes,1,gold nugget,,,,,,,,,,,NFS,200,NA,Snooty villagers,,0,1.0.0,Miscellaneous,1101,131,NX2ZZ8qZnEqqWtSGH
golden dung beetle,3,gold nugget,,,,,,,,,,,NFS,200,NA,Lazy villagers,,100,1.0.0,Miscellaneous,1131,601,XhKhDoMTgc8eAoJna
golden flooring,4,gold nugget,,,,,,,,,,,NFS,200,NA,Smug villagers,,100,1.0.0,Floors,1160,475,Xju8kS2TB7B9EXbDG
golden gears,1,gold nugget,3,iron nugget,,,,,,,,,NFS,200,NA,Smug villagers,,50,1.0.0,Wall-mounted,1130,595,5JDaCQoYazbP4QkGN
golden net,1,net,1,gold nugget,,,,,,,,,NFS,200,NA,Completing bug Critterpedia,,0,1.0.0,Tools,115,658,cnQ4qLNgFDK7F4NQJ
golden rod,1,fishing rod,1,gold nugget,,,,,,,,,NFS,200,NA,Completing fish Critterpedia,,0,1.0.0,Tools,114,662,FTWgTtoCgm3jNGhM4
golden seat,5,gold nugget,,,,,,,,,,,NFS,200,NA,Snooty villagers,,200,1.0.0,Housewares,1103,133,EgGa9re6PRbpcCESz
golden shovel,1,shovel,1,gold nugget,,,,,,,,,NFS,200,NA,Helping Gulliver 30 times,,0,1.0.0,Tools,113,660,aEtPEYkwgj9BJ48Et
golden slingshot,1,slingshot,1,gold nugget,,,,,,,,,NFS,200,NA,Shooting 300 balloons,,0,1.0.0,Tools,117,661,W7WY5fpjB4Lc36YYs
golden toilet,6,gold nugget,,,,,,,,,,,NFS,200,NA,Snooty villagers,,200,1.0.0,Housewares,1106,262,LExLS6QXyLuhewyZm
golden wall,4,gold nugget,,,,,,,,,,,NFS,200,NA,Smug villagers,,100,1.0.0,Wallpaper,1150,299,u7gdHaAk5nbB4p5Ru
golden wand,2,gold nugget,3,star fragment,,,,,,,,,NFS,200,NA,Celeste,,0,1.0.0,Tools,1190,539,RgNWgCdnAK2qjJTmo
golden watering can,1,watering can,1,gold nugget,,,,,,,,,NFS,200,NA,5-star town evaluation,,0,1.0.0,Tools,116,659,HShnyCLB3cPL5xNTx
gong,6,iron nugget,5,wood,,,,,,,,,NFS,200,NA,Cranky villagers,,0,1.0.0,Housewares,910,393,sLG4MSw3ReWmoBQNf
grass skirt,7,clump of weeds,,,,,,,,,,,NFS,200,NA,Normal villagers,,0,1.0.0,Bottoms,1286,603,zuxKqmoD6WAAzheNq
grass standee,2,wood,2,softwood,,,,,,,,,NFS,200,NA,Normal villagers,,0,1.0.0,Housewares,378,582,Q7M9H8k9C9iTsWafA
green grass skirt,7,clump of weeds,,,,,,,,,,,NFS,200,NA,Peppy villagers,,0,1.0.0,Bottoms,1287,605,mzQREt22Mh8reP5WY
green-leaf pile,1,young spring bamboo,10,clump of weeds,,,,,,,,,NFS,200,NA,Balloons,Only available during Spring,0,1.0.0,Housewares,2501,587,yN7Ly9tsMKDvKqHu8
hanging terrarium,12,clump of weeds,4,iron nugget,,,,,,,,,NFS,200,NA,Peppy villagers,,50,1.0.0,Wall-mounted,1232,396,GNtJWEuH8EoLwwi2a
hay bed,20,clump of weeds,,,,,,,,,,,NFS,200,NA,DIY for Beginners,Purchase DIY for Beginners at Nook's Cranny,0,1.0.0,Housewares,1200,167,7TFmXPG98wdcvvQe6
hearth,2,bamboo piece,5,iron nugget,4,clay,5,hardwood,,,,,NFS,200,NA,Wildest Dreams DIY,Purchase Wildest Dreams DIY from Nook's Cranny,0,1.0.0,Housewares,2407,217,HwZwNAuYqaBbwS2YL
hedge,10,weed,5,branch,2,stone,,,,,,,NFS,200,NA,Tom Nook,Obtained from Tom Nook after completing one Nature Day Nook Miles+ task,0,1.2.0,Fencing,1291,713,m9LpprrQ6sP6EnArD
hedge standee,2,wood,3,softwood,,,,,,,,,NFS,200,NA,Normal villagers,,0,1.0.0,Housewares,379,583,6Gq4PMmcJqzJySt7G
holiday candle,5,red ornament,5,clump of weeds,,,,,,,,,NFS,200,NA,Balloons,Only available during Festive Season,0,1.0.0,Miscellaneous,3401,372,5f7xR7Kvm2mMwpGjz
honeycomb flooring,5,wasp nest,,,,,,,,,,,NFS,200,NA,Jock villagers,,0,1.0.0,Floors,2060,472,Yq6j7ppP9e4k6GuSz
honeycomb wall,6,wasp nest,,,,,,,,,,,NFS,200,NA,Jock villagers,,0,1.0.0,Wallpaper,2050,296,XJZCow9k2yrtvYDSc
hyacinth crown,4,red hyacinths,2,yellow hyacinths,2,white hyacinths,,,,,,,NFS,200,NA,All Villagers,,0,1.0.0,Headwear,3620,237,wChSX5vstYGQaWma7
hyacinth lamp,5,purple hyacinths,3,clay,,,,,,,,,NFS,200,NA,Big Sister villagers,,50,1.0.0,Miscellaneous,3506,506,fBKmq2YprMreQQrYo
hyacinth wand,1,pink hyacinths,3,star fragment,,,,,,,,,NFS,200,NA,Celeste,,0,1.0.0,Tools,3676,524,SfyT7DJYnMvjQmSRX
hyacinth wreath,3,white hyacinths,3,red hyacinths,3,yellow hyacinths,,,,,,,NFS,200,NA,All Villagers,,50,1.0.0,Wall-mounted,3560,232,ysyo8kjy4NBvj929M
ice flooring,1,large snowflake,8,snowflake,,,,,,,,,NFS,200,NA,Snowboy,Reward for making a perfect Snowboy; Only available during Winter,0,1.0.0,Floors,3260,288,r4NnQCo7BTJX7QwLd
ice wall,1,large snowflake,8,snowflake,,,,,,,,,NFS,200,NA,Snowboy,Reward for making a perfect Snowboy; Only available during Winter,0,1.0.0,Wallpaper,3250,293,An3uWvJLZrfNtdewM
ice wand,1,large snowflake,3,star fragment,,,,,,,,,NFS,200,NA,Snowboy,Reward for making a perfect Snowboy; Only available during Winter,0,1.0.0,Tools,3290,533,pfuLcy3eLoxPsFMQy
iceberg flooring,10,snowflake,,,,,,,,,,,NFS,200,NA,Balloons,Only available during Winter,0,1.0.0,Floors,3361,289,hbGr49z9cKw5qeryp
iceberg wall,1,large snowflake,8,snowflake,,,,,,,,,NFS,200,NA,Balloons,Only available during Winter,0,1.0.0,Wallpaper,3351,302,89NQTyckGsnbPBcxX
illuminated present,3,red ornament,4,gold ornament,3,iron nugget,,,,,,,NFS,200,NA,Balloons,Only available during Festive Season,0,1.0.0,Housewares,3408,401,ZC8ykvryfN44HMCiJ
illuminated reindeer,6,gold ornament,5,iron nugget,,,,,,,,,NFS,200,NA,Balloons,Only available during Festive Season,0,1.0.0,Housewares,3409,392,PWkTWdSn5n9DncHBJ
illuminated snowflakes,9,blue ornament,3,gold nugget,,,,,,,,,NFS,200,NA,Balloons,Only available during Festive Season,0,1.0.0,Housewares,3407,406,R2G2JJGg5deoW7GxT
illuminated tree,3,red ornament,4,gold ornament,3,iron nugget,,,,,,,NFS,200,NA,Balloons,Only available during Festive Season,0,1.0.0,Housewares,3410,203,S8meymsrnGbZRN5XM
imperial fence,6,wood,4,softwood,,,,,,,,,NFS,200,1000,Nook Miles Exchange,,0,1.0.0,Fencing,597,550,6xscDDXokkLGARAzw
infused-water dispenser,2,apple,2,pear,2,cherry,2,orange,2,peach,2,coconut,NFS,200,NA,Cranky villagers,,100,1.0.0,Miscellaneous,1901,400,t24vHrtE8fyRkzyWK
iron armor,8,iron nugget,,,,,,,,,,,NFS,200,NA,Cranky villagers,,100,1.0.0,Dresses,981,640,qMDWWFfXPFTMpGTpQ
iron closet,12,iron nugget,,,,,,,,,,,NFS,200,NA,Big Sister villagers,,0,1.0.0,Housewares,904,573,PamdzQi8BcNbAqHmL
iron doorplate,2,iron nugget,,,,,,,,,,,NFS,200,NA,Big Sister villagers,,50,1.0.0,Wall-mounted,940,468,ckD6nctsXhWjtaRmJ
iron fence,6,iron nugget,,,,,,,,,,,NFS,200,1000,Nook Miles Exchange,,0,1.0.0,Fencing,991,267,6b9c3c3cRkfK3sqXu
iron frame,20,iron nugget,,,,,,,,,,,NFS,200,NA,Jock villagers,,0,1.0.0,Housewares,915,79,hzFGkyKC77m5kAHSA
iron garden bench,8,iron nugget,,,,,,,,,,,NFS,200,NA,Big Sister villagers,,0,1.0.0,Housewares,902,63,oDze7K3AbxFpni27M
iron garden chair,3,iron nugget,,,,,,,,,,,NFS,200,NA,Tom Nook; Big sister villagers,Obtained during the main storyline during the villager house development quest,0,1.0.0,Housewares,900,64,GTMdcZkxvPs6tDdQZ
iron garden table,5,iron nugget,,,,,,,,,,,NFS,200,NA,Tom Nook; Big sister villagers,Obtained during the main storyline during the villager house development quest,0,1.0.0,Housewares,901,65,LfmT6j46no2RNRXDi
iron hanger stand,3,iron nugget,,,,,,,,,,,NFS,200,NA,Cranky villagers,,0,1.0.0,Housewares,906,365,sFNTL2NeXckRLskP7
iron shelf,14,iron nugget,,,,,,,,,,,NFS,200,NA,Big Sister villagers,,0,1.0.0,Housewares,905,128,McdRNpxXrk9xKkK4S
iron wall lamp,4,iron nugget,2,clay,,,,,,,,,NFS,200,NA,Wildest Dreams DIY,Purchase Wildest Dreams DIY from Nook's Cranny,0,1.0.0,Wall-mounted,930,122,b9KAgbNSetaJieTKp
iron wall rack,3,iron nugget,1,clay,,,,,,,,,NFS,200,NA,Smug villagers,,50,1.0.0,Wall-mounted,931,123,DYTTSvnJoQAtBqSpL
iron wand,3,iron nugget,3,star fragment,,,,,,,,,NFS,200,NA,Celeste,,0,1.0.0,Tools,999,540,MYYovLTdmLov8y2hL
iron worktable,10,iron nugget,,,,,,,,,,,NFS,200,NA,Big Sister villagers,,0,1.0.0,Housewares,903,126,yoWsZbmhYnfeXhTgr
iron-and-stone fence,6,stone,3,iron nugget,,,,,,,,,NFS,200,1000,Nook Miles Exchange,,0,1.0.0,Fencing,891,555,qe9qWWJB7wDbMLKTG
ironwood bed,20,wood,10,iron nugget,,,,,,,,,NFS,200,NA,Smug villagers,,0,1.0.0,Housewares,1005,87,Gs6r4jNYwqfyjcBAQ
ironwood cart,6,wood,4,iron nugget,,,,,,,,,NFS,200,NA,Smug villagers,,0,1.0.0,Housewares,1001,85,MdPCQSxd8CnBRe9Ac
ironwood chair,3,wood,2,iron nugget,,,,,,,,,NFS,200,NA,Smug villagers,,0,1.0.0,Housewares,1000,83,geDcbiFqc4L4eZojy
ironwood clock,2,wood,2,iron nugget,,,,,,,,,NFS,200,NA,Smug villagers,,50,1.0.0,Wall-mounted,1040,94,vWYzQ9pTSBH5Wbmmk
ironwood cupboard,12,wood,6,iron nugget,1,ironwood dresser,,,,,,,NFS,200,NA,Snooty villagers,,100,1.0.0,Housewares,1006,92,bFD87nMsrphrQcGhi
ironwood DIY workbench,12,wood,6,iron nugget,1,mini DIY workbench,,,,,,,NFS,200,NA,Cranky villagers,,100,1.0.0,Housewares,1008,125,qfemQxWGxbseGW4pR
ironwood dresser,7,wood,4,iron nugget,,,,,,,,,NFS,200,NA,Snooty villagers,,0,1.0.0,Housewares,1002,86,zHZA38BSSukQPvfAx
ironwood kitchenette,4,wood,3,iron nugget,1,ironwood dresser,1,cutting board,,,,,NFS,200,NA,Wildest Dreams DIY,Purchase Wildest Dreams DIY from Nook's Cranny,0,1.0.0,Housewares,1007,91,Aws83WvmsMbK8mamt
ironwood low table,6,wood,4,iron nugget,,,,,,,,,NFS,200,NA,Snooty villagers,,0,1.0.0,Housewares,1004,84,hZCJc27R4RDJwNj6y
ironwood table,12,wood,6,iron nugget,,,,,,,,,NFS,200,NA,Cranky villagers,,0,1.0.0,Housewares,1003,35,kWp7B34ACYfXs4HEk
jail bars,5,iron nugget,,,,,,,,,,,NFS,200,NA,Cranky villagers,,0,1.0.0,Housewares,912,435,cQRevEHviBPSXaDRz
Jingle wall,5,red ornament,5,blue ornament,5,gold ornament,5,clay,,,,,NFS,200,NA,Balloons,Only available during Festive Season,0,1.0.0,Wallpaper,3450,291,yHZv2YNkbKzqaCich
juicy-apple TV,10,apple,2,iron nugget,,,,,,,,,NFS,200,NA,Big Sister villagers,,100,1.0.0,Housewares,1701,6,gjc7Wju56JYDhkwvJ
jungle flooring,10,clump of weeds,10,clay,,,,,,,,,NFS,200,NA,Jock villagers,,0,1.0.0,Floors,1260,470,8Dg67mD5L3628ZfXP
jungle wall,15,clump of weeds,3,wood,3,hardwood,3,softwood,,,,,NFS,200,NA,Jock villagers,,0,1.0.0,Wallpaper,1250,326,sKFxDKgEMLzZtPu7K
kettle bathtub,8,iron nugget,2,wood,1,campfire,,,,,,,NFS,200,NA,Cranky villagers,,0,1.0.0,Housewares,916,490,WJQG9QKBGGGyAiGxk
kettlebell,5,iron nugget,,,,,,,,,,,NFS,200,NA,Jock villagers,,0,1.0.0,Miscellaneous,913,600,Mmspyi3WpibXgBh2u
key holder,3,wood,1,iron nugget,,,,,,,,,NFS,200,NA,Big Sister villagers,,50,1.0.0,Wall-mounted,480,437,cXTKSu7vAHz2c3tmD
knight's helmet,5,iron nugget,,,,,,,,,,,NFS,200,NA,Cranky villagers,,100,1.0.0,Headwear,980,641,3u8tk4SyAemkHTRzz
knitted-grass backpack,20,clump of weeds,,,,,,,,,,,NFS,200,NA,Normal villagers,,0,1.0.0,Bags,1288,636,CoEssbnPs7xhuMbTF
ladder,4,wood,4,hardwood,4,softwood,,,,,,,NFS,200,NA,Tom Nook; Nook's Cranny,Obtained during the main storyline during the villager house development quest,0,1.0.0,Tools,122,107,QHAFqRRLE65RSvmQh
large cardboard boxes,5,cardboard box,,,,,,,,,,,NFS,200,NA,Lazy villagers,,0,1.0.0,Housewares,2136,611,6eBT8zf9Fv2GWbZRk
lattice fence,8,softwood,,,,,,,,,,,NFS,200,1000,Nook Miles Exchange,,0,1.0.0,Fencing,592,657,LRSdBoRQia8MgkGRg
leaf,5,clump of weeds,,,,,,,,,,,NFS,200,NA,Jock villagers,,0,1.0.0,Accessories,1280,261,cJ9rqxsr9oZKrjHXJ
leaf campfire,3,pine cone,5,clump of weeds,3,tree branch,,,,,,,NFS,200,NA,Balloons,Only available during Fall,0,1.0.0,Housewares,2903,509,ziEwyR6mTntmTaKfX
leaf mask,10,clump of weeds,,,,,,,,,,,NFS,200,NA,Peppy villagers,,0,1.0.0,Headwear,1281,635,ng67WBZo7rRfQSWDa
leaf stool,3,maple leaf,3,wood,,,,,,,,,NFS,200,NA,Balloons,Only available during Maple Leaf Season,0,1.0.0,Housewares,2904,519,u2hwyRwKoRYdCHrHY
leaf umbrella,15,clump of weeds,,,,,,,,,,,NFS,200,NA,Big Sister villagers,,0,1.0.0,Umbrellas,1282,456,DyPomQRjemr3vjDQt
leaf-egg outfit,3,leaf egg,,,,,,,,,,,NFS,200,NA,Collecting leaf eggs,Only available during Bunny Day,0,1.1.0a,Dresses,3767,680,iJeXo3dJrybEpPEHw
leaf-egg shell,2,leaf egg,,,,,,,,,,,NFS,200,NA,Collecting leaf eggs,Only available during Bunny Day,0,1.1.0a,Headwear,3766,679,9Bf5xhQJQHvW8n8Jc
leaf-egg shoes,2,leaf egg,,,,,,,,,,,NFS,200,NA,Collecting leaf eggs,Only available during Bunny Day,0,1.1.0a,Shoes,3768,681,wKxwrd3MDWZDidSGp
Leo sculpture,3,star fragment,2,Leo fragment,2,gold nugget,3,stone,,,,,NFS,200,NA,Celeste,,0,1.0.0,Wall-mounted,2304,407,5QHREHAwKLPzLmmDi
Libra scale,3,star fragment,2,Libra fragment,2,gold nugget,,,,,,,NFS,200,NA,Celeste,,0,1.0.0,Miscellaneous,2306,132,td7wJhwym4yZKy6tQ
light bamboo rug,6,young spring bamboo,,,,,,,,,,,NFS,200,NA,Balloons,Only available during Spring,0,1.0.0,Rugs,2570,671,QfT9N8GGPr4x3u9hH
lily crown,2,red lilies,2,yellow lilies,2,white lilies,,,,,,,NFS,200,NA,All Villagers,,0,1.0.0,Headwear,3623,255,kAqnCE6oFFAeZvYXN
lily record player,5,white lilies,3,iron nugget,3,wood,,,,,,,NFS,200,NA,Cranky villagers,,50,1.0.0,Housewares,3507,515,Y9NXrLeRe8XHPFRDN
lily wand,1,white lilies,3,star fragment,,,,,,,,,NFS,200,NA,Celeste,,0,1.0.0,Tools,3677,530,sKXdSX9eDXe7mEpxG
lily wreath,3,white lilies,3,red lilies,3,yellow lilies,,,,,,,NFS,200,NA,All Villagers,,50,1.0.0,Wall-mounted,3563,438,T79DghfmPpWspJ9Eq
log bed,30,hardwood,,,,,,,,,,,NFS,200,NA,Tom Nook; Peppy villagers,Obtained during the main storyline during the villager house development quest,0,1.0.0,Housewares,338,119,kCWnjzgmGXnkRY4Ww
log bench,5,hardwood,,,,,,,,,,,NFS,200,NA,Tom Nook; Normal villagers,Obtained during the main storyline during the villager house development quest,0,1.0.0,Housewares,331,112,AQwJbwnFqY9yQ2XJ4
log chair,8,hardwood,,,,,,,,,,,NFS,200,NA,Normal villagers,,0,1.0.0,Housewares,336,117,JiLieKMNcaY7QF8Zb
log decorative shelves,2,log bench,3,hardwood,,,,,,,,,NFS,200,NA,Normal villagers,,100,1.0.0,Housewares,339,114,fKdr6A8t6WiZxXqco
log dining table,15,hardwood,,,,,,,,,,,NFS,200,NA,Tom Nook; Cranky villagers,Obtained during the main storyline during the villager house development quest,0,1.0.0,Housewares,333,118,TeyLyttsCPPGxsfgu
log extra-long sofa,2,log chair,,,,,,,,,,,NFS,200,NA,Normal villagers,,100,1.0.0,Housewares,337,110,LbsREdAkxGBWWFja2
