Name,VFX,VFX Type,DIY,Buy,Sell,Color 1,Color 2,Miles Price,Source,Source Notes,Catalog,Window Type,Window Color,Pane Type,Curtain Type,Curtain Color,Ceiling Type,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Version,Filename,Internal ID,Unique Entry ID
honeycomb wall,No,NA,Yes,NFS,3600,Yellow,Yellow,NA,Crafting,,Not for sale,None,NA,NA,None,NA,Stone,fancy,facility,None,Tile Walls,1.0.0,RoomTexWallHoney00,4865,hB3LqvkNidDmzrZ8z
honeycomb-tile wall,No,NA,No,1680,420,Brown,Brown,NA,Nook's Cranny,,For sale,Sliding Pane,Black Metal,Glass,None,NA,Stone,bathroom,facility,None,Honeycomb,1.0.0,RoomTexWallHoneycomb00,4909,S3bCMm6KGHKF6Ynzg
ice wall,Yes,NA,Yes,NFS,8200,Light blue,Light blue,NA,Crafting,,Not for sale,None,NA,NA,None,NA,Plain,freezing cold,facility,frozen,Special Walls,1.0.0,RoomSpWallIce00,5505,d84Y3R4CzrtjCasov
iceberg wall,No,NA,Yes,NFS,4000,Light blue,White,NA,Crafting,,Not for sale,None,NA,NA,None,NA,Stone,freezing cold,None,None,Neta Walls,1.0.0,RoomTexWallIceFloe00,5662,XqrwARWP9bzsmsjiF
imperial wall,No,NA,No,3000,750,Red,Red,NA,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,expensive,None,None,Asia,1.0.0,RoomTexWallDynasty00,5224,YkuzvDjqXDB9CYHhm
industrial wall,No,NA,No,3000,750,Black,Black,NA,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,facility,None,None,Iron Walls,1.0.0,RoomTexWallFactory00,4876,ao5GCHQqnwssDNRGN
ivy wall,No,NA,No,3000,750,Brown,Green,NA,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,facility,shop,None,Nature Walls,1.0.0,RoomTexWallIvy00,4850,t6XmWqkyhZt8Axyeh
Jingle wall,Yes,Synchro,Yes,NFS,2500,Green,Colorful,NA,Crafting,,Not for sale,None,NA,NA,None,NA,Stone,fancy,party,festive,Special Walls,1.0.0,RoomSpWallXmas00,5230,ZjBHKK8ckePAaKpxe
jungle wall,No,NA,Yes,NFS,1380,Green,Green,NA,Crafting,,Not for sale,None,NA,NA,None,NA,Cloth,garden,facility,None,Nature Walls,1.0.0,RoomTexWallJungle00,5457,pJFdFWHgQRiYAn67i
kisses wall,No,NA,No,3000,750,Pink,White,NA,Saharah,,Not for sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Tile,party,fancy,None,Cloth Walls,1.0.0,RoomTexWallKiss00,4881,ZeuGwoWptbyaQDsbu
laboratory wall,Yes,Random,No,3000,750,Black,Black,NA,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,facility,None,None,Special Inorganic Walls,1.0.0,RoomSpWallLabo00,5495,kNrqC5Xs7RFybYfkN
lattice wall,No,NA,No,1780,445,Brown,Brown,NA,Nook's Cranny,,For sale,None,NA,NA,None,NA,Stone,zen-style,shop,None,Asia,1.0.0,RoomTexWallLattice00,4830,ZQFuCuh6fdtufMYzs
magma-cavern wall,Yes,Synchro,No,3000,750,Orange,Orange,NA,Saharah,,Not for sale,None,NA,NA,None,NA,Cloth,horror,None,None,Special Warm Nature Walls,1.0.0,RoomSpWallVolcano00,5506,ugvpYYqX4F9bgLbnj
manga-library wall,No,NA,Yes,NFS,1050,White,White,NA,Crafting,,Not for sale,None,NA,NA,None,NA,Plain,facility,den,None,Library Walls,1.0.0,RoomTexWallLibrary01,4838,wRBeXRoDHw6Curx44
mangrove wall,No,NA,No,3000,750,Green,Green,NA,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,garden,None,None,Nature Walls,1.0.0,RoomTexWallMangrove00,5514,j8cYo8ozHYBaAm3JH
marine pop wall,No,NA,No,NFS,805,Light blue,Blue,NA,Fishing Tourney,,Not for sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Plain,ocean,child's room,None,Cloth Walls,1.0.0,RoomTexWallFish00,4879,DmheJHpCg6xk8dX3R
meadow vista,Yes,Synchro,No,3000,750,Green,Light blue,NA,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,garden,None,None,Special Cool Nature Walls,1.0.0,RoomSpWallHighLands00,5484,QdWj45HftWrWwC3dH
misty-garden wall,Yes,Random,No,3000,585,Gray,Gray,NA,Saharah,,Not for sale,None,NA,NA,None,NA,Cloth,garden,None,None,Special Cool Nature Walls,1.0.0,RoomSpWallRain00,11915,hgiWgFTr76YtZH8sH
mod wall,No,NA,No,1220,305,Orange,Orange,NA,Nook's Cranny,,For sale,Four Pane,Natural Wood,Glass,Roller Shades,Undyed,Wood,party,None,None,Cloth Walls,1.0.0,RoomTexWallMod00,4908,Tiya4QoMRwThyKcG8
modern shoji-screen wall,Yes,NA,No,1150,287,Brown,White,NA,Nook's Cranny,,For sale,None,NA,NA,None,NA,Wood,zen-style,shop,None,Japanese Style,1.0.0,RoomSpWallShojiModem00,4864,WBh8T7xJBavLRKZpB
modern tearoom wall,No,NA,No,1750,437,Brown,Brown,NA,Nook's Cranny,,For sale,Circle,Dark Wood,Screen,None,NA,Stone,zen-style,shop,None,Tea Room Walls,1.0.0,RoomTexWallMud02,11178,Yk5NZC7SSyjDEpnA7
modern wood wall,No,NA,Yes,NFS,1800,Brown,Brown,NA,Crafting,,Not for sale,Single Pane,Natural Wood,Glass,Slatted Blinds,Brown Wood,Wood,living room,child's room,None,Wood Walls,1.0.0,RoomTexWallMixwood00,4904,KZjTLMR8uhbpJGQ64
monochromatic dotted wall,No,NA,No,1100,275,Gray,White,NA,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,Curtains,White,Stone,fancy,child's room,None,Dot,1.0.0,RoomTexWallDot00,4892,SWkrbmL8ME6NeQd9Q
monochromatic-tile wall,No,NA,No,1420,355,Gray,White,NA,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,bathroom,facility,None,Tile Walls,1.0.0,RoomTexWallTile00,4910,6pk8nNbm4EmT3PrBr
mortar wall,No,NA,No,3000,750,Gray,Gray,NA,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,zen-style,None,None,Stone Walls,1.0.0,RoomTexWallPlaster00,5215,mfRLEniEAEB9YAjCY
mosaic-tile wall,No,NA,No,1450,362,Black,White,NA,Nook's Cranny,,For sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Stone,bathroom,facility,None,Tile Walls,1.0.0,RoomTexWallMosaicTile00,4862,2T8d9sRKwijHhESDS
mossy-garden wall,No,NA,No,3000,750,Green,Green,NA,Saharah,,Not for sale,None,NA,NA,None,NA,Cloth,zen-style,None,None,Nature Walls,1.0.0,RoomTexWallMoss00,5458,nuuPHdxH5skMPdehs
mush wall,No,NA,Yes,NFS,21400,Orange,Brown,NA,Crafting,,Not for sale,Four Pane,White Wood,Glass,Roller Shades,Undyed,Wood,fancy,None,mush,Cloth Walls,1.0.0,RoomTexWallMush00,5164,6xJHWgQgJA9e2n4jJ
Nook Inc. wall,No,NA,No,NFS,6000,White,Light blue,1200,Nook Miles Shop,,Not for sale,Four Pane,Dark Wood,Glass,Curtains,White,Plain,fancy,shop,None,Cloth Walls,1.0.0,RoomTexWallFirst00,6004,e7uEC5di7XvHpvkuk
ocean-horizon wall,Yes,Synchro,No,3000,750,Blue,Light blue,NA,Saharah,,Not for sale,None,NA,NA,None,NA,Tile,ocean,None,None,Special Cool Nature Walls,1.0.0,RoomSpWallHorizon00,5486,BYpn3AZyJ8PWCAxHj
office wall,No,NA,No,3000,750,White,Light blue,NA,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,office,None,None,Special Walls,1.0.0,RoomTexWallOffice00,5218,gSMtrRvmA9mYgtKtD
old wallpaper,No,NA,No,200,50,Beige,Beige,NA,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,None,NA,Stone,horror,None,None,Cloth Walls,1.0.0,RoomTexWallOld00,4857,LvLyyhmz3TH3qjBi4
olive desert-tile wall,No,NA,No,2440,610,Yellow,Yellow,NA,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Cloth,bathroom,facility,None,Morocco,1.0.0,RoomTexWallMorocco03,6863,z5bNEBbKNL56CwQKo
orange camo wall,No,NA,No,1150,287,Orange,Orange,NA,Nook's Cranny,,For sale,Single Pane,Grey Wood,Glass,Slatted Blinds,White Plastic,Cloth,party,child's room,None,Camouflage,1.0.0,RoomTexWallCamouflage03,6855,xiaFSrf6okC624pCz
orange molded-panel wall,No,NA,No,1980,495,Orange,Beige,NA,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Cloth,fancy,child's room,None,Panel Mold Walls,1.0.0,RoomTexWallPanelMold00,4870,zW3vwqmKDGhK68rCJ
orange wall,No,NA,Yes,NFS,4000,Orange,Orange,NA,Crafting,,Not for sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Stone,fancy,child's room,fruits,Fruit Walls,1.0.0,RoomTexWallOrange00,4915,4GirW6p4notkWfhs7
orange-paint wall,No,NA,No,1600,400,Orange,Orange,NA,Nook's Cranny,,For sale,Four Pane,Natural Wood,Glass,None,NA,Stone,fancy,child's room,None,Stucco Walls,1.0.0,RoomTexWallStucco01,4809,TFsdbmb9sti7Gz3pt
paintball wall,No,NA,No,3000,750,White,Colorful,NA,Saharah,,Not for sale,Single Pane,Grey Metal,Glass,Slatted Blinds,Aluminium,Stone,garage,facility,None,Stone Walls,1.0.0,RoomTexWallAtelier00,4854,qnE76Sd6WdnihirBL
palace wall,Yes,NA,No,3000,750,Beige,White,NA,Saharah,,Not for sale,None,NA,NA,None,NA,Cloth,expensive,folk art,None,Special Inorganic Walls,1.0.0,RoomSpWallPalace00,5502,fGigBL7P6sRsv25Au
party wall,No,NA,No,NFS,370,Colorful,White,NA,Birthday,,Not for sale,Four Pane,Dark Wood,Glass,Roller Shades,White,Wood,party,fancy,None,Cloth Walls,1.0.0,RoomTexWallParty00,5226,9v4H4NeFMQR9tKLj7
pastel dotted wall,No,NA,No,1100,275,White,Colorful,NA,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,Curtains,White,Cloth,fancy,child's room,None,Dot,1.0.0,RoomTexWallDot01,4899,m4ha6kr7tPuio5AcL
pastel puzzle wall,No,NA,No,1540,385,White,White,NA,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,fancy,child's room,None,Puzzle Walls,1.0.0,RoomTexWallPuzzle00,4886,b3EvGiavTx8QPHrfP
peach two-toned tile wall,No,NA,No,1850,462,Pink,Pink,NA,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Cloth,bathroom,facility,None,Two-Tone Tile Walls,1.0.0,RoomTexWallTwoToneTile04,6857,m9bGMPzT4cjdMddyY
peach wall,No,NA,Yes,NFS,4000,Pink,Pink,NA,Crafting,,Not for sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Cloth,fancy,child's room,fruits,Fruit Walls,1.0.0,RoomTexWallPeach00,4918,cpGXBrDm4SXGAXraz
pear wall,No,NA,Yes,NFS,4000,Green,Green,NA,Crafting,,Not for sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Tile,fancy,child's room,fruits,Fruit Walls,1.0.0,RoomTexWallPear00,4917,vtaaw7vsoJD8meQuM
perforated-board wall,No,NA,No,1180,295,Brown,Brown,NA,Nook's Cranny,,For sale,None,NA,NA,None,NA,Wood,music,facility,None,Pegboard Walls,1.0.0,RoomTexWallPegboard01,4921,BThQrmfp4EnBqyfv3
pink blossoming wall,No,NA,No,1760,440,Pink,Brown,NA,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,Curtains,Red Checkered,Stone,fancy,living room,None,Country,1.0.0,RoomTexWallCountry01,4895,zgZSrtarnCJG53AdD
pink diner wall,No,NA,No,2420,605,Pink,Colorful,NA,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Wood,fancy,shop,None,Diner Walls,1.0.0,RoomTexWallDiner01,7242,MXeKHor4q66HH3GJs
pink flower-print wall,No,NA,No,1780,445,Pink,Pink,NA,Nook's Cranny,,For sale,Four Pane,Natural Wood,Glass,Curtains,Pink,Cloth,fancy,living room,None,Flower Walls,1.0.0,RoomTexWallFlower00,4893,eCN5rZb7sXsoWSCmW
pink heart-pattern wall,No,NA,No,1280,320,Pink,Pink,NA,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Roller Shades,White,Wood,fancy,child's room,None,Heart Walls,1.0.0,RoomTexWallHeart01,4875,4f732CJdDvXxHDQsd
pink painted-wood wall,No,NA,No,1650,412,Pink,Pink,NA,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,None,NA,Cloth,fancy,child's room,None,Painted Wood,1.0.0,RoomTexWallPaintWood02,4802,tjx2TsuHTcr4jaMHM
pink playroom wall,No,NA,No,2540,635,Pink,Pink,NA,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Cloth,child's room,fancy,None,Toy Walls,1.0.0,RoomTexWallToy01,4889,xYNWemEyTsD9zG8iC
pink quilt wall,No,NA,No,2150,537,Pink,White,NA,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Curtains,White Lace,Stone,fancy,child's room,None,Dollhouse Walls,1.0.0,RoomTexWallDollhouse00,7274,gToedZLPo7MbMvpah
pink shanty wall,No,NA,No,620,155,Pink,Pink,NA,Nook's Cranny,,For sale,Single Pane,Grey Wood,Glass,Slatted Blinds,White Plastic,Wood,garage,None,None,Tin Walls,1.0.0,RoomTexWallTin01,4924,WfmPknxrLpp25SMbS
pink simple-cloth wall,No,NA,No,750,187,Pink,Pink,NA,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Curtains,White,Tile,child's room,living room,None,Simple Walls,1.0.0,RoomTexWallSimple02,4868,mH2zs7NpfPgERmHwm
pink-crown wall,No,NA,No,2350,587,Pink,White,NA,Nook's Cranny,,For sale,None,NA,NA,None,NA,Cloth,fancy,expensive,None,Crown Walls,1.0.0,RoomTexWallCrown02,4816,cwBg3xvzjfh2qm7Lg
pink-striped wall,No,NA,No,1520,380,Pink,White,NA,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Roller Shades,White,Cloth,fancy,child's room,None,Stripe Walls,1.0.0,RoomTexWallStripe01,4943,Pwd2z87xxFm52tA28
purple camo wall,No,NA,No,1150,287,Purple,Purple,NA,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,party,child's room,None,Camouflage,1.0.0,RoomTexWallCamouflage02,4885,AY2jSyyAd4BD74xQ7
purple desert-tile wall,No,NA,No,2440,610,Purple,Purple,NA,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Wood,bathroom,facility,None,Morocco,1.0.0,RoomTexWallMorocco02,6864,2y5jPPPs3so7APToC
purple dotted wall,No,NA,No,1100,275,Purple,White,NA,Nook's Cranny,,For sale,Four Pane,Natural Wood,Glass,Curtains,White,Cloth,fancy,child's room,None,Dot,1.0.0,RoomTexWallDot04,4902,JRu4Xs5kYG4ognk2P
purple puzzle wall,No,NA,No,1540,385,Purple,Colorful,NA,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Cloth,None,None,None,Puzzle Walls,1.0.0,RoomTexWallPuzzle03,6875,iG8MR3f2F2jDsLjT9
purple quilt wall,No,NA,No,2150,537,Purple,White,NA,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Curtains,White Lace,Wood,fancy,child's room,None,Dollhouse Walls,1.0.0,RoomTexWallDollhouse03,7275,tmY5uczEnYXA6fdeQ
purple-rose wall,No,NA,No,1720,430,Purple,Purple,NA,Nook's Cranny,,For sale,Arch,Grey Metal,Glass,None,NA,Stone,fancy,None,None,Rose Walls,1.0.0,RoomTexWallRose01,4907,kHEHhFZSfDXTHtZAa
rammed-earth wall,No,NA,No,1800,450,Brown,Beige,NA,Nook's Cranny,,For sale,None,NA,NA,None,NA,Stone,folk art,None,None,Stone Walls,1.0.0,RoomTexWallHanchiku00,4845,9AafcLh3QkLp2tdWj
ramshackle wall,No,NA,No,3000,750,Brown,Beige,NA,Saharah,,Not for sale,Four Pane,Dark Wood,Glass,None,NA,Wood,horror,None,None,Stone Walls,1.0.0,RoomTexWallRuins00,5225,bTb98gEchXobwaqdt
red art-deco wall,No,NA,No,2780,695,Red,Black,NA,Nook's Cranny,,For sale,Arch,Grey Metal,Glass,None,NA,Wood,child's room,living room,None,Art Deco Walls,1.0.0,RoomTexWallArtDeco01,4818,R3zgKkrxc3ar4y9A8
red delicate-blooms wall,No,NA,No,1900,475,Red,Brown,NA,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,Roller Shades,Undyed,Wood,expensive,living room,None,Manor Walls,1.0.0,RoomTexWallManor01,4897,F7oWFwEAh4evtkJcb
red dotted wall,No,NA,No,1100,275,Red,Red,NA,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Curtains,White,Cloth,fancy,child's room,None,Dot,1.0.0,RoomTexWallDot02,4900,3mfqbt8sXR88eDfTk
red heart-pattern wall,No,NA,No,1280,320,Red,Red,NA,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Roller Shades,White,Wood,fancy,child's room,None,Heart Walls,1.0.0,RoomTexWallHeart03,6870,TPrtAkkWJa7KpLady
red intricate wall,No,NA,No,1570,392,Red,White,NA,Nook's Cranny,,For sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Tile,living room,shop,None,Flower Pop Walls,1.0.0,RoomTexWallFlowerPop03,6879,yasngHr44QgXc9tYs
red perforated-board wall,No,NA,No,1180,295,Red,Red,NA,Nook's Cranny,,For sale,None,NA,NA,None,NA,Stone,music,facility,None,Pegboard Walls,1.0.0,RoomTexWallPegboard03,6853,TCLSE3BdkCQeiM7wX
red two-toned tile wall,No,NA,No,1850,462,Red,Red,NA,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Wood,bathroom,facility,None,Two-Tone Tile Walls,1.0.0,RoomTexWallTwoToneTile03,6856,u9dKmtft32t4cxxiW
red-brick wall,No,NA,No,1000,250,Red,Brown,NA,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,None,NA,Wood,facility,shop,None,Brick,1.0.0,RoomTexWallBrick01,4928,Hu3jyiCP23j78PCdX
retro flower-print wall,No,NA,No,1660,415,Green,Green,NA,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Curtains,White Lace,Plain,fancy,living room,None,Cloth Walls,1.0.0,RoomTexWallKitsch00,4847,MdWwebM7zyeBdykxp
rice-paddy wall,Yes,Synchro,No,3000,750,Light blue,Green,NA,Saharah,,Not for sale,None,NA,NA,None,NA,Plain,garden,None,None,Special Cool Nature Walls,1.0.0,RoomSpWallFarm00,5487,TnHvGeJGKioxc95mH
ringside seating,Yes,NA,No,3000,750,Black,Black,NA,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,fitness,None,None,Special Walls,1.0.0,RoomSpWallWrestling00,5512,bg9rQRYAbzeD8rLCw
rock-climbing wall,No,NA,No,3000,750,White,Colorful,NA,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,fitness,None,None,Neta Walls,1.0.0,RoomTexWallBouldering00,4851,CRvqDNWfXzY2ibXvG
rose wall,No,NA,No,1720,430,Red,White,NA,Nook's Cranny,,For sale,Arch,Wood,Glass,None,NA,Stone,fancy,None,None,Rose Walls,1.0.0,RoomTexWallRose00,4906,azgSWFRcgeuopRWrH
ruins wall,No,NA,No,3000,750,Black,Gray,NA,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,horror,folk art,None,Nature Walls,1.0.0,RoomTexWallRemains00,5228,ZHiKhqts5brebhYH9
rustic-stone wall,No,NA,Yes,NFS,1750,Gray,Gray,NA,Crafting,,Not for sale,Four Pane,Dark Wood,Glass,None,NA,Wood,facility,shop,None,Stone Walls,1.0.0,RoomTexWallStone00,4813,xP7S673w2oNwNHowp
sakura-wood wall,No,NA,Yes,NFS,3200,Pink,Pink,NA,Crafting,,Not for sale,Four Pane,Grey Wood,Glass,Curtains,Pink,Tile,child's room,fancy,cherry blossoms,Wood Walls,1.0.0,RoomTexWallSolidWood00,4947,jFtMrj8NBC3o4ALzG
sci-fi wall,Yes,Random,Yes,NFS,7500,Black,Black,NA,Crafting,,Not for sale,None,NA,NA,None,NA,Wood,space,facility,None,Special Inorganic Walls,1.0.0,RoomSpWallSF00,5510,y48TLWMbXCbrWQp5a
screen wall,No,NA,No,3000,750,White,White,NA,Nook's Cranny,,For sale,None,NA,NA,None,NA,Plain,zen-style,facility,None,Japanese Style,1.0.0,RoomTexWallFusuma00,4819,wk4ST89FjabXnZPXy
sea view,Yes,Synchro,No,3000,750,Light blue,Blue,NA,Saharah,,Not for sale,None,NA,NA,None,NA,Tile,ocean,None,None,Special Cool Nature Walls,1.0.0,RoomSpWallSeaView00,5501,fHQn9EzoTxznm7nJ9
security-monitors wall,Yes,Random,No,3000,750,Black,Gray,NA,Saharah,,Not for sale,None,NA,NA,None,NA,Cloth,facility,None,None,Special Inorganic Walls,1.0.0,RoomSpWallMonitor00,5491,N6T3rBvQdYoJoXkrH
sepia puzzle wall,No,NA,No,1540,385,Beige,Colorful,NA,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Tile,fancy,child's room,None,Puzzle Walls,1.0.0,RoomTexWallPuzzle02,6874,2mtYv7D25wDqMWi6P
server-room wall,Yes,Random,No,3000,750,Black,Black,NA,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,facility,None,None,Special Inorganic Walls,1.0.0,RoomSpWallServer00,5490,ycnhxNaWfeXEq5x7A
shoji screen,Yes,NA,No,1880,470,Beige,White,NA,Nook's Cranny,,For sale,None,NA,NA,None,NA,Stone,zen-style,None,None,Japanese Style,1.0.0,RoomSpWallShoji00,4863,5RdqeAZAvdCR5QxqM
shutter wall,No,NA,No,3000,750,White,Gray,NA,Saharah,,Not for sale,None,NA,NA,None,NA,Plain,facility,shop,None,Iron Walls,1.0.0,RoomTexWallShutter00,4825,4ez74JDpR9kmiroQr
ski-slope wall,Yes,Synchro,Yes,NFS,3200,White,White,NA,Crafting,,Not for sale,None,NA,NA,None,NA,Cloth,freezing cold,None,None,Special Cool Nature Walls,1.0.0,RoomSpWallGelande00,5498,hCdDcFDBWEe6pmctp
skull wall,Yes,LightOff,No,3000,750,Black,Black,NA,Nook's Cranny,,For sale,Single Pane,Black Metal,Glass,Slatted Blinds,Black Plastic,Plain,horror,child's room,None,Special Inorganic Walls,1.0.0,RoomSpWallSkull00,5520,7GLt2YDxMDyp8EJth
sky wall,Yes,Synchro,No,3000,750,Light blue,White,NA,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,fancy,None,None,Special Cool Nature Walls,1.0.0,RoomSpWallCloud00,5504,9YmTrPqSZRCvxRtLi
skyscraper wall,No,NA,No,3000,750,Black,Gray,NA,Saharah,,Not for sale,None,NA,NA,None,NA,Cloth,expensive,None,None,Neta Walls,1.0.0,RoomTexWallSkyscraper00,4852,Ah36ZRM9QBHBt7HZF
snowflake wall,No,NA,Yes,NFS,4800,Light blue,Light blue,NA,Crafting,,Not for sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Wood,freezing cold,None,None,Cloth Walls,1.0.0,RoomTexWallSnowCrystal00,4855,w5MEjbgphAwDo42mk
soothing tearoom wall,No,NA,No,1750,437,White,Beige,NA,Nook's Cranny,,For sale,Circle,Natural Wood,Screen,None,NA,Wood,zen-style,shop,None,Tea Room Walls,1.0.0,RoomTexWallMud01,11177,Bke28iGoY3LhDagx4
stacked-wood wall,No,NA,Yes,NFS,1800,Brown,Brown,NA,Crafting,,Not for sale,None,NA,NA,None,NA,Plain,garage,facility,None,Wood Walls,1.0.0,RoomTexWallFireWood00,4844,TZi9bo7GYzJxPJNNe
stadium wall,Yes,NA,No,3000,750,Colorful,Colorful,NA,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,fitness,None,None,Special Cool Nature Walls,1.0.0,RoomSpWallStadium00,5503,oJoGTXMzLnYTpdBaf
standard tearoom wall,No,NA,No,1750,437,Green,Green,NA,Nook's Cranny,,For sale,Circle,Natural Wood,Screen,None,NA,Cloth,zen-style,None,None,Tea Room Walls,1.0.0,RoomTexWallMud00,5521,4Zv8KLzxrsm6k53pN
starry wall,Yes,LightOff,Yes,NFS,7500,Gray,White,NA,Crafting,,Not for sale,Four Pane,White Wood,Glass,Roller Shades,White,Plain,fancy,child's room,None,Special Cool Nature Walls,1.0.0,RoomSpWallStarPrint00,5528,sjnLXANKDEPMzdGbn
starry-sky wall,Yes,NA,Yes,NFS,7500,Blue,Blue,NA,Crafting,,Not for sale,None,NA,NA,None,NA,Stone,space,None,stars,Special Cool Nature Walls,1.0.0,RoomSpWallStarSky00,5500,iMQgW8pWYPWbj9Qom
stately wall,No,NA,No,2450,612,White,White,NA,Nook's Cranny,,For sale,None,NA,NA,None,NA,Stone,expensive,None,None,Asia,1.0.0,RoomTexWallRenaissance00,4861,BdPATBHc8m7YvJzwP
steel-frame wall,No,NA,Yes,NFS,6000,Red,Gray,NA,Crafting,,Not for sale,None,NA,NA,None,NA,Stone,garage,facility,None,Iron Walls,1.0.0,RoomTexWallSteel00,4801,K2uSKanJ3r6bQt6MG
stone wall,No,NA,Yes,NFS,1500,Black,Gray,NA,Crafting,,Not for sale,None,NA,NA,None,NA,Plain,horror,facility,None,Stone Walls,1.0.0,RoomTexWallBasement00,5216,8hnPcADHfoEpvgSAS
stormy-night wall,Yes,Random,No,3000,750,Black,Gray,NA,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,horror,None,None,Special Warm Nature Walls,1.0.0,RoomSpWallThunder00,5499,Y3sjyMeHtDFcdBfrM
straw wall,No,NA,No,3000,750,Beige,Beige,NA,Saharah,,Not for sale,None,NA,NA,None,NA,Tile,folk art,None,None,Wood Walls,1.0.0,RoomTexWallStraw00,5217,u3orRaGAX2iwdtCLG
strawberry-chocolate wall,No,NA,No,3000,750,Pink,Pink,NA,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,fancy,None,None,Chocolate,1.0.0,RoomTexWallChocolate02,4934,G5QeNa2L26MwuCexA
street-art wall,No,NA,No,3000,750,Colorful,Colorful,NA,Saharah,,Not for sale,None,NA,NA,None,NA,Plain,garage,None,None,Neta Walls,1.0.0,RoomTexWallStreetArt00,5221,88hCuytidryqimPXr
summit wall,Yes,Synchro,No,3000,750,Black,White,NA,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,garden,None,None,Special Cool Nature Walls,1.0.0,RoomSpWallMountainTop00,5513,hFmF2iNjDvLGfF3Rf
tree-lined wall,No,NA,No,3000,750,Green,Light blue,NA,Saharah,,Not for sale,None,NA,NA,None,NA,Plain,garden,None,None,Nature Walls,1.0.0,RoomTexWallRoadsideTree00,5456,aLzrLXC7Nyk6h6pDw
tropical vista,Yes,Synchro,Yes,NFS,6000,Light blue,Beige,NA,Crafting,,Not for sale,None,NA,NA,None,NA,Plain,ocean,None,None,Special Cool Nature Walls,1.0.0,RoomSpWallTropical00,5661,sZgNFwEcxpLSAxB4X
underwater wall,Yes,Synchro,Yes,NFS,8600,Blue,Light blue,NA,Crafting,,Not for sale,None,NA,NA,None,NA,Stone,ocean,None,None,Special Cool Nature Walls,1.0.0,RoomSpWallFishTank00,5508,QXNnruZcwJursNmjP
wavy-tile wall,No,NA,No,1740,435,Gray,White,NA,Nook's Cranny,,For sale,None,NA,NA,None,NA,Plain,shop,facility,None,Tile Walls,1.0.0,RoomTexWallWaveTile00,4832,eLQ2JDZKjrzcnP9gn
