Name,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Version,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Outdoor,Speaker Type,Lighting Type,Catalog,Filename,Variant ID,Internal ID,Unique Entry ID
desktop computer,Pink,NA,Programming,Screen,No,No,Yes,7,100000,25000,Pink,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,No,Does not play music,Monitor,For sale,FtrDesktopPC_Remake_3_4,3_4,3590,iACRi6a6jwvtdWxzC
desktop computer,Pink,NA,Art program,Screen,No,No,Yes,7,100000,25000,Pink,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,No,Does not play music,Monitor,For sale,FtrDesktopPC_Remake_3_5,3_5,3590,ppMb4zaozfXfSZ6F4
desktop computer,Pink,NA,Digital audio workstation,Screen,No,No,Yes,7,100000,25000,Pink,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,No,Does not play music,Monitor,For sale,FtrDesktopPC_Remake_3_6,3_6,3590,SXJXM5ejmeRsXNs7x
digital alarm clock,Orange,NA,NA,NA,No,No,No,NA,1600,400,Orange,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,child's room,None,None,Yes,Clock,No,Does not play music,No lighting,For sale,FtrDigitalclock_Remake_0_0,0_0,2731,ujdZj24KoBL9tHmMJ
digital alarm clock,Lime,NA,NA,NA,No,No,No,NA,1600,400,Green,Green,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,child's room,None,None,Yes,Clock,No,Does not play music,No lighting,For sale,FtrDigitalclock_Remake_1_0,1_0,2731,hmjWpazXPws4Jaxgq
digital alarm clock,Light blue,NA,NA,NA,No,No,No,NA,1600,400,Light blue,Orange,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,child's room,None,None,Yes,Clock,No,Does not play music,No lighting,For sale,FtrDigitalclock_Remake_2_0,2_0,2731,mJkmRjhAJSvADbFB6
digital alarm clock,Blue,NA,NA,NA,No,No,No,NA,1600,400,Blue,Yellow,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,child's room,None,None,Yes,Clock,No,Does not play music,No lighting,For sale,FtrDigitalclock_Remake_3_0,3_0,2731,JEW3nGZhECi4g5snm
digital alarm clock,Purple,NA,NA,NA,No,No,No,NA,1600,400,Purple,Green,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,child's room,None,None,Yes,Clock,No,Does not play music,No lighting,For sale,FtrDigitalclock_Remake_4_0,4_0,2731,M6sEf2R4a2q4tbjNv
digital alarm clock,Pink,NA,NA,NA,No,No,No,NA,1600,400,Red,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,child's room,None,None,Yes,Clock,No,Does not play music,No lighting,For sale,FtrDigitalclock_Remake_5_0,5_0,2731,g3ujAK7DYAe8grBzM
digital alarm clock,White,NA,NA,NA,No,No,No,NA,1600,400,White,Light blue,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,child's room,None,None,Yes,Clock,No,Does not play music,No lighting,For sale,FtrDigitalclock_Remake_6_0,6_0,2731,sjWPQqAqszjMu4Aqo
digital alarm clock,Black,NA,NA,NA,No,No,No,NA,1600,400,Black,Red,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,child's room,None,None,Yes,Clock,No,Does not play music,No lighting,For sale,FtrDigitalclock_Remake_7_0,7_0,2731,wLYWhFuspRrCKsQ7Y
dinnerware,NA,NA,NA,NA,No,No,No,NA,930,232,White,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,No,Kitchen Things,No,Does not play music,No lighting,For sale,FtrDishes,NA,1798,qRkNS5tawnxzngTJK
dish-drying rack,White,NA,NA,NA,No,No,No,NA,530,132,White,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,No,Kitchen Things,No,Does not play music,No lighting,For sale,FtrDrainerbasket_Remake_0_0,0_0,3400,tZ2EDaYM7SrfFPrMr
dish-drying rack,Black,NA,NA,NA,No,No,No,NA,530,132,Black,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,No,Kitchen Things,No,Does not play music,No lighting,For sale,FtrDrainerbasket_Remake_1_0,1_0,3400,DrRxM8YH5gLxrJTi4
dish-drying rack,Silver,NA,NA,NA,No,No,No,NA,530,132,Gray,Gray,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,No,Kitchen Things,No,Does not play music,No lighting,For sale,FtrDrainerbasket_Remake_2_0,2_0,3400,fTPfJYf5DMmdobQe4
dish-drying rack,Red,NA,NA,NA,No,No,No,NA,530,132,Red,Pink,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,No,Kitchen Things,No,Does not play music,No lighting,For sale,FtrDrainerbasket_Remake_3_0,3_0,3400,4rRf2RJq9N42Kdixo
dish-drying rack,Blue,NA,NA,NA,No,No,No,NA,530,132,Blue,Light blue,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,No,Kitchen Things,No,Does not play music,No lighting,For sale,FtrDrainerbasket_Remake_4_0,4_0,3400,TDidSLaYnhWLoE8Ny
dish-drying rack,Yellow,NA,NA,NA,No,No,No,NA,530,132,Green,Yellow,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,No,Kitchen Things,No,Does not play music,No lighting,For sale,FtrDrainerbasket_Remake_5_0,5_0,3400,uX8yCBXA7DkFkQffT
diving beetle model,NA,NA,NA,NA,No,No,No,NA,NFS,2400,Black,Green,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Insect,No,Does not play music,No lighting,Not for sale,FtrInsectGengorouToy,NA,7057,yK4ZZsqW5P7x5bkb5
document stack,NA,NA,Resource documents,Writing,Yes,No,Yes,2,1600,400,White,Light blue,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,office,den,None,None,No,Office,No,Does not play music,No lighting,For sale,FtrOfficePapers_Remake_0_0,0_0,1750,NW8389r8CQP22h6Bx
document stack,NA,NA,Text documents,Writing,Yes,No,Yes,2,1600,400,White,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,office,den,None,None,No,Office,No,Does not play music,No lighting,For sale,FtrOfficePapers_Remake_0_1,0_1,1750,WKr7KoaznEM4CmvwS
document stack,NA,NA,Exam papers,Writing,Yes,No,Yes,2,1600,400,White,Red,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,office,den,None,None,No,Office,No,Does not play music,No lighting,For sale,FtrOfficePapers_Remake_0_2,0_2,1750,tEdFYTBXipPNgHEif
document stack,NA,NA,Storyboards,Writing,Yes,No,Yes,2,1600,400,White,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,office,den,None,None,No,Office,No,Does not play music,No lighting,For sale,FtrOfficePapers_Remake_0_3,0_3,1750,5yKf3Ly3bJXiaLL8s
dolly,Red,NA,NA,NA,No,No,No,NA,1600,400,Red,Beige,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,child's room,fancy,None,None,No,Toy,No,Does not play music,No lighting,For sale,FtrDoll_Remake_0_0,0_0,1495,hbQLLScKhueHesoYq
dolly,Blue,NA,NA,NA,No,No,No,NA,1600,400,Blue,Beige,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,child's room,fancy,None,None,No,Toy,No,Does not play music,No lighting,For sale,FtrDoll_Remake_1_0,1_0,1495,yhjYoiki4JMry74jb
dolly,Green,NA,NA,NA,No,No,No,NA,1600,400,Green,Beige,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,child's room,fancy,None,None,No,Toy,No,Does not play music,No lighting,For sale,FtrDoll_Remake_2_0,2_0,1495,arc7BwNEDYoXfhgnJ
dolly,Pink,NA,NA,NA,No,No,No,NA,1600,400,Pink,Beige,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,child's room,fancy,None,None,No,Toy,No,Does not play music,No lighting,For sale,FtrDoll_Remake_3_0,3_0,1495,7j89JBTbZsm77yBMS
dolly,Purple,NA,NA,NA,No,No,No,NA,1600,400,Black,Beige,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,child's room,fancy,None,None,No,Toy,No,Does not play music,No lighting,For sale,FtrDoll_Remake_4_0,4_0,1495,Sw9CjJHeoAHdPYHbZ
dolly,White,NA,NA,NA,No,No,No,NA,1600,400,White,Beige,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,child's room,fancy,None,None,No,Toy,No,Does not play music,No lighting,For sale,FtrDoll_Remake_5_0,5_0,1495,YnFTa7mCDAbjjxMQ8
dorado model,NA,NA,NA,NA,No,No,No,NA,NFS,45000,Yellow,Black,1x1,C.J.,Trade 3 fish to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Fish,No,Does not play music,No lighting,Not for sale,FtrFishDoladoToy,NA,7837,AqLmk2o84jfS3g2eo
drone beetle model,NA,NA,NA,NA,No,No,No,NA,NFS,600,Green,Green,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Insect,No,Does not play music,No lighting,Not for sale,FtrInsectKanabunToy,NA,7114,6yohwFwFZfX4qLwYH
dung beetle model,NA,NA,NA,NA,No,No,No,NA,NFS,9000,Black,Beige,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Insect,No,Does not play music,No lighting,Not for sale,FtrInsectFunkorogashiToy,NA,7066,kptqPDnkxCJyGAijA
earth-boring dung b. model,NA,NA,NA,NA,No,No,No,NA,NFS,900,Purple,Black,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Insect,No,Does not play music,No lighting,Not for sale,FtrInsectSenchikoganeToy,NA,7074,CmFN6RZ9WHsdHruCE
electronics kit,Green,NA,NA,NA,No,No,No,NA,1300,325,Green,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,school,facility,None,None,Yes,School,No,Does not play music,Emission,For sale,FtrElectronicset_Remake_0_0,0_0,4071,PMNdcMWBRp3SbTCZy
electronics kit,Black,NA,NA,NA,No,No,No,NA,1300,325,Black,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,school,facility,None,None,Yes,School,No,Does not play music,Emission,For sale,FtrElectronicset_Remake_1_0,1_0,4071,25zWZtJQknFgxDshn
emperor butterfly model,NA,NA,NA,NA,No,No,No,NA,NFS,12000,Blue,Black,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Insect,No,Does not play music,No lighting,Not for sale,FtrInsectMorufuochoToy,NA,7086,ems5tvkQ9KxRdf6kj
espresso maker,Silver,NA,NA,NA,No,No,No,NA,5600,1400,Gray,Gray,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,Yes,Dining,No,Does not play music,No lighting,For sale,FtrEspresso_Remake_0_0,0_0,954,Q4GNDHGCFcWL9bnqB
espresso maker,Red,NA,NA,NA,No,No,No,NA,5600,1400,Red,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,Yes,Dining,No,Does not play music,No lighting,For sale,FtrEspresso_Remake_1_0,1_0,954,obbkS9czZYQwfjvDs
espresso maker,Yellow,NA,NA,NA,No,No,No,NA,5600,1400,Yellow,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,Yes,Dining,No,Does not play music,No lighting,For sale,FtrEspresso_Remake_2_0,2_0,954,uZCbmAEFwmGaxATWG
espresso maker,Blue,NA,NA,NA,No,No,No,NA,5600,1400,Blue,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,Yes,Dining,No,Does not play music,No lighting,For sale,FtrEspresso_Remake_3_0,3_0,954,3D5LbsHmvX24r8K9g
espresso maker,Green,NA,NA,NA,No,No,No,NA,5600,1400,Green,Brown,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,Yes,Dining,No,Does not play music,No lighting,For sale,FtrEspresso_Remake_4_0,4_0,954,ub6s5caXiQE7TQG67
espresso maker,White,NA,NA,NA,No,No,No,NA,5600,1400,White,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,Yes,Dining,No,Does not play music,No lighting,For sale,FtrEspresso_Remake_5_0,5_0,954,7Fec2Lv8fTbzKdipH
espresso maker,Black,NA,NA,NA,No,No,No,NA,5600,1400,Black,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,Yes,Dining,No,Does not play music,No lighting,For sale,FtrEspresso_Remake_6_0,6_0,954,vcQwWteYKMXcXNsFi
essay set,Blank,NA,NA,NA,No,No,No,NA,650,162,White,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,den,None,None,None,No,Study,No,Does not play music,No lighting,For sale,FtrWriterset_Remake_0_0,0_0,4110,S77ZuGAX8LhFBt7uY
essay set,Writer's block,NA,NA,NA,No,No,No,NA,650,162,White,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,den,None,None,None,No,Study,No,Does not play music,No lighting,For sale,FtrWriterset_Remake_1_0,1_0,4110,qzn2qDAYvfbiKrvaa
essay set,In progress,NA,NA,NA,No,No,No,NA,650,162,White,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,den,None,None,None,No,Study,No,Does not play music,No lighting,For sale,FtrWriterset_Remake_2_0,2_0,4110,Wa27BDHwd596eE9xL
essay set,Letter,NA,NA,NA,No,No,No,NA,650,162,White,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,den,None,None,None,No,Study,No,Does not play music,No lighting,For sale,FtrWriterset_Remake_3_0,3_0,4110,igLQ9TpWZykQ67tRN
evening cicada model,NA,NA,NA,NA,No,No,No,NA,NFS,1650,Black,Black,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Insect,No,Does not play music,No lighting,Not for sale,FtrInsectHigurashiToy,NA,7063,JD6PSB2AmjrmdMMtD
fancy violin,Natural,NA,NA,NA,No,No,No,NA,140000,35000,Brown,Black,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,music,expensive,None,None,Yes,Musical Instrument,No,Does not play music,No lighting,For sale,FtrViolin_Remake_0_0,0_0,2772,eKNNFj6C7ejvnojpF
fancy violin,White,NA,NA,NA,No,No,No,NA,140000,35000,White,Black,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,music,expensive,None,None,Yes,Musical Instrument,No,Does not play music,No lighting,For sale,FtrViolin_Remake_1_0,1_0,2772,85Tnvo4mmEPLWfdip
fancy violin,Black,NA,NA,NA,No,No,No,NA,140000,35000,Black,Black,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,music,expensive,None,None,Yes,Musical Instrument,No,Does not play music,No lighting,For sale,FtrViolin_Remake_2_0,2_0,2772,sDgnS2Ytyx5bBtnu2
fax machine,White,NA,Document,Printout,No,No,Yes,1,1500,375,White,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,office,None,None,None,Yes,Office,No,Does not play music,No lighting,For sale,FtrFax_Remake_0_0,0_0,4101,AZjBktGNYjSPTrD2Z
fax machine,White,NA,Graph,Printout,No,No,Yes,1,1500,375,White,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,office,None,None,None,Yes,Office,No,Does not play music,No lighting,For sale,FtrFax_Remake_0_1,0_1,4101,4Q9Qv9Cp9vDT5bKwD
fax machine,White,NA,Illustration,Printout,No,No,Yes,1,1500,375,White,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,office,None,None,None,Yes,Office,No,Does not play music,No lighting,For sale,FtrFax_Remake_0_2,0_2,4101,5DnY4mzS5emxqE6Dc
fax machine,White,NA,Written note,Printout,No,No,Yes,1,1500,375,White,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,office,None,None,None,Yes,Office,No,Does not play music,No lighting,For sale,FtrFax_Remake_0_3,0_3,4101,XtBgPf9p5eZGkRQR3
fax machine,Red,NA,Document,Printout,No,No,Yes,1,1500,375,Red,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,office,None,None,None,Yes,Office,No,Does not play music,No lighting,For sale,FtrFax_Remake_1_0,1_0,4101,XbgAiFwvsdprynyGH
fax machine,Red,NA,Graph,Printout,No,No,Yes,1,1500,375,Red,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,office,None,None,None,Yes,Office,No,Does not play music,No lighting,For sale,FtrFax_Remake_1_1,1_1,4101,MJCbv4Cq4xdqbrxFX
fax machine,Red,NA,Illustration,Printout,No,No,Yes,1,1500,375,Red,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,office,None,None,None,Yes,Office,No,Does not play music,No lighting,For sale,FtrFax_Remake_1_2,1_2,4101,NpvAHGJnNgnvHrZag
fax machine,Red,NA,Written note,Printout,No,No,Yes,1,1500,375,Red,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,office,None,None,None,Yes,Office,No,Does not play music,No lighting,For sale,FtrFax_Remake_1_3,1_3,4101,KbQ4ktEye6gNqExaW
fax machine,Brown,NA,Document,Printout,No,No,Yes,1,1500,375,Brown,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,office,None,None,None,Yes,Office,No,Does not play music,No lighting,For sale,FtrFax_Remake_2_0,2_0,4101,FqZeWSFLYggF25fep
fax machine,Brown,NA,Graph,Printout,No,No,Yes,1,1500,375,Brown,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,office,None,None,None,Yes,Office,No,Does not play music,No lighting,For sale,FtrFax_Remake_2_1,2_1,4101,3TBCepRr5MRe8pJPE
fax machine,Brown,NA,Illustration,Printout,No,No,Yes,1,1500,375,Brown,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,office,None,None,None,Yes,Office,No,Does not play music,No lighting,For sale,FtrFax_Remake_2_2,2_2,4101,5dkX95fpN3W9m7E82
fax machine,Brown,NA,Written note,Printout,No,No,Yes,1,1500,375,Brown,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,office,None,None,None,Yes,Office,No,Does not play music,No lighting,For sale,FtrFax_Remake_2_3,2_3,4101,muJxaBZ9XaWFRAwXq
fax machine,Black,NA,Document,Printout,No,No,Yes,1,1500,375,Black,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,office,None,None,None,Yes,Office,No,Does not play music,No lighting,For sale,FtrFax_Remake_3_0,3_0,4101,AQSnZP7Dr9uKgbQ6C
fax machine,Black,NA,Graph,Printout,No,No,Yes,1,1500,375,Black,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,office,None,None,None,Yes,Office,No,Does not play music,No lighting,For sale,FtrFax_Remake_3_1,3_1,4101,YjGrgsiXYgKReGghp
fax machine,Black,NA,Illustration,Printout,No,No,Yes,1,1500,375,Black,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,office,None,None,None,Yes,Office,No,Does not play music,No lighting,For sale,FtrFax_Remake_3_2,3_2,4101,2QbJboGiyCpgMAyxv
fax machine,Black,NA,Written note,Printout,No,No,Yes,1,1500,375,Black,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,office,None,None,None,Yes,Office,No,Does not play music,No lighting,For sale,FtrFax_Remake_3_3,3_3,4101,wvzjRvDG2fBhWAdes
festive top set,NA,NA,NA,NA,Yes,No,No,NA,NFS,320,Colorful,Red,1x1,Crafting,,1.0.0,party,fancy,festive,None,No,Toy,No,Does not play music,No lighting,Not for sale,FtrFestivaltop,NA,12230,8mSCcvhqPaMExrTvb
film projector,NA,NA,NA,NA,No,No,No,NA,2400,600,Black,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,facility,None,None,None,Yes,Facility Decor,No,Does not play music,Spotlight,For sale,FtrProjector,NA,3963,jBN7k6HbEvByJpiWT
firefly model,NA,NA,NA,NA,No,No,No,NA,NFS,900,Black,Black,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Insect,No,Does not play music,No lighting,Not for sale,FtrInsectHotaruToy,NA,7065,GYJXuPEWAsEc2Bzt6
firewood,NA,NA,NA,NA,Yes,No,No,NA,NFS,960,Brown,Beige,1x1,Crafting,,1.0.0,garage,garden,None,None,No,Plants,Yes,Does not play music,No lighting,Not for sale,FtrFirewood,NA,5970,qm8zDyK9mtsNpFudJ
flea model,NA,NA,NA,NA,No,No,No,NA,NFS,210,Brown,Brown,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Insect,No,Does not play music,No lighting,Not for sale,FtrInsectNomiToy,NA,5935,GztqYCmFnd7XMvNrc
floating-biotope planter,Brown,NA,NA,NA,No,No,No,NA,1600,400,Brown,Green,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,garden,None,None,No,Plants,Yes,Does not play music,No lighting,For sale,FtrBiotope_Remake_0_0,0_0,4094,jvheZyGuYB9KzbWo9
floating-biotope planter,Artistic,NA,NA,NA,No,No,No,NA,1600,400,Blue,Green,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,garden,None,None,No,Plants,Yes,Does not play music,No lighting,For sale,FtrBiotope_Remake_1_0,1_0,4094,5jS6TqHYJdhqqeDoF
floating-biotope planter,White,NA,NA,NA,No,No,No,NA,1600,400,White,Green,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,garden,None,None,No,Plants,Yes,Does not play music,No lighting,For sale,FtrBiotope_Remake_2_0,2_0,4094,TnAn9vhCLp6m5aRgw
floating-biotope planter,Black,NA,NA,NA,No,No,No,NA,1600,400,Black,Green,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,garden,None,None,No,Plants,Yes,Does not play music,No lighting,For sale,FtrBiotope_Remake_3_0,3_0,4094,9WMnssWNzgGcM5F8b
floor sign,Warning,NA,NA,NA,No,No,No,NA,890,222,Yellow,Red,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,garage,facility,None,None,No,Vehicle,No,Does not play music,No lighting,For sale,FtrSafetycone_Remake_0_0,0_0,7260,A2vgmqLg6DE7MJPLJ
floor sign,Stop,NA,NA,NA,No,No,No,NA,890,222,Yellow,Red,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,garage,facility,None,None,No,Vehicle,No,Does not play music,No lighting,For sale,FtrSafetycone_Remake_1_0,1_0,7260,YyZcBdjBgdGCNANXu
floor sign,No Entry,NA,NA,NA,No,No,No,NA,890,222,Yellow,Red,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,garage,facility,None,None,No,Vehicle,No,Does not play music,No lighting,For sale,FtrSafetycone_Remake_2_0,2_0,7260,JhrXxgq9Lv8NsDQ7T
floor sign,Slippery,NA,NA,NA,No,No,No,NA,890,222,Yellow,Red,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,garage,facility,None,None,No,Vehicle,No,Does not play music,No lighting,For sale,FtrSafetycone_Remake_3_0,3_0,7260,T43X5danNp9qeD5yJ
floor sign,No Parking,NA,NA,NA,No,No,No,NA,890,222,Yellow,Red,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,garage,facility,None,None,No,Vehicle,No,Does not play music,No lighting,For sale,FtrSafetycone_Remake_4_0,4_0,7260,EKduwBLWZoBofyAGX
fly model,NA,NA,NA,NA,No,No,No,NA,NFS,180,Black,Black,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Insect,No,Does not play music,No lighting,Not for sale,FtrInsectHaeToy,NA,7060,g3FdrKRuwECfsnmdj
football,NA,NA,NA,NA,No,No,No,NA,400,100,Orange,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fitness,school,None,None,No,Sports,Yes,Does not play music,No lighting,For sale,FtrFootball,NA,4381,F39nbERtmDPBgMpRG
football fish model,NA,NA,NA,NA,No,No,No,NA,NFS,7500,Black,Black,1x1,C.J.,Trade 3 fish to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Fish,No,Does not play music,No lighting,Not for sale,FtrFishChouchinankouToy,NA,6940,PL2Bd4M6nPhpMkGzQ
fortune-telling set,Purple,NA,NA,NA,No,No,No,NA,1000,250,Light blue,Purple,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,child's room,horror,None,None,Yes,Study,No,Does not play music,Candle,For sale,FtrPsychicset_Remake_0_0,0_0,3961,Cw4hpudQ7vw9FmtJt
fortune-telling set,Black,NA,NA,NA,No,No,No,NA,1000,250,Purple,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,child's room,horror,None,None,Yes,Study,No,Does not play music,Candle,For sale,FtrPsychicset_Remake_1_0,1_0,3961,ZtH8i8DRS3Gyz8d7C
fragrance diffuser,White,NA,NA,NA,No,No,No,NA,1400,350,White,Beige,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,None,None,None,Yes,Beauty,No,Does not play music,Emission,For sale,FtrAromadiffuser_Remake_0_0,0_0,8418,euKnSzN4P9dg7unmJ
fragrance diffuser,Yellow,NA,NA,NA,No,No,No,NA,1400,350,Yellow,Brown,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,None,None,None,Yes,Beauty,No,Does not play music,Emission,For sale,FtrAromadiffuser_Remake_1_0,1_0,8418,2b4iGtMyBGXtCoL7x
fragrance diffuser,Pink,NA,NA,NA,No,No,No,NA,1400,350,Pink,Pink,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,None,None,None,Yes,Beauty,No,Does not play music,Emission,For sale,FtrAromadiffuser_Remake_2_0,2_0,8418,aGKrqCc9kFZfWeTGo
