order,family,Genus,species,mass,gestation,newborn,weaning,wean mass,AFR,max. life,litter size,litters/year
Carnivora,Mustelidae,Meles,meles,13000,1.89,84.25,3.18,-999,13.25,194,3.11,0.75
Carnivora,Mustelidae,Mellivora,capensis,10000,5.86,210,-999,-999,-999,317,2.33,2
Carnivora,Mustelidae,Melogale,personata,2000,-999,not measured,-999,-999,-999,0,3,
Carnivora,Mustelidae,Mephitis,macroura,965,2,not measured,-999,-999,-999,0,5.33,
Carnivora,Mustelidae,Mephitis,mephitis,1821.25,1.63,28.1,2.08,493.5,11.17,60,5.1,1.21
Carnivora,Mustelidae,Mustela,nigripes,809,1.44,not measured,-999,-999,12,144,3.43,
Carnivora,Mustelidae,Mustela,lutreola,440,3.32,7.5,1.88,-999,10.67,120,4.5,
Carnivora,Mustelidae,Mustela,altaica,171,1.25,not measured,1.63,-999,-999,0,6.1,
Carnivora,Mustelidae,Mustela,sibirica,405,1.06,not measured,2,-999,-999,106,7,
Carnivora,Mustelidae,Mustela,vison,899.75,1.19,8.64,1.6,110,8.59,120,4.76,1
Carnivora,Mustelidae,Mustela,frenata,150.6,0.82,3.1,1.22,34.6,5.33,0,6.22,1
Carnivora,Mustelidae,Mustela,erminea,110.33,1.43,2.3,1.49,26.57,3.12,84,6.77,1
Carnivora,Mustelidae,Mustela,eversmannii,1350,1.2,5.73,1.67,-999,10.5,0,9.41,1
Carnivora,Mustelidae,Mustela,putorius,588.67,1.05,9.26,1.64,-999,10,168,7.68,1.26
Carnivora,Mustelidae,Mustela,nivalis,49.75,1.32,2.61,1.39,36,3.73,120,5.37,1.67
Carnivora,Mustelidae,Poecilogale,albinucha,257.5,1.05,4,2.14,50,14.43,0,2.2,1.25
Carnivora,Mustelidae,Pteronura,brasiliensis,24000,2.26,202.83,3.67,-999,24,174,1.94,1
Carnivora,Mustelidae,Spilogale,pygmaea,260,1.57,6.9,-999,-999,-999,0,3.67,1
Carnivora,Mustelidae,Spilogale,putorius,511.5,2.19,13.8,1.64,160,7.5,118,4.73,1.5
Carnivora,Mustelidae,Taxidea,taxus,6050,1.83,101.88,1.68,3000,7.35,312,3.07,0.74
Carnivora,Mustelidae,Vormela,peregusna,542.5,2,not measured,1,-999,3,107,5.76,
Carnivora,Odobenidae,Odobenus,rosmarus,650000,11.5,51883.33,20.37,200000,52.14,480,1.14,0.5
Carnivora,Otariidae,Arctocephalus,galapagoensis,27000,7,3533.33,16.6,15000,42,264,1,0.5
Carnivora,Otariidae,Arctocephalus,tropicalis,50000,11.75,4420,7.85,-999,-999,0,1,1
Carnivora,Otariidae,Arctocephalus,forsteri,55000,7.75,3833.33,11,-999,60,0,1,1
Carnivora,Otariidae,Arctocephalus,gazella,40500,9,5933.33,3.9,15800,34,240,1,1
Carnivora,Otariidae,Arctocephalus,pusillus,77666.67,9.17,5955.56,11.57,26150,42.53,252,1,1
Carnivora,Otariidae,Arctocephalus,australis,45000,7.75,4250,13.5,-999,36,360,1,1
Carnivora,Otariidae,Eumetopias,jubatus,288932.5,8.75,19215,9.71,106610,56.08,360,1,1
Carnivora,Otariidae,Neophoca,cinerea,79633.33,11.75,7075,18.75,59724,36,192,1,0.69
Carnivora,Otariidae,Otaria,byronia,140000,12,12763.33,12,-999,44.28,298,1,1
Carnivora,Otariidae,Phocarctos,hookeri,-999,12,7000,8.67,-999,-999,276,1,1
Carnivora,Otariidae,Zalophus,californianus,84666.67,11.14,6817.14,10.75,25000,68,300,1,1
Carnivora,Otariidae ,Callorhinus,ursinus,49100,8.37,5182.73,3.22,12920,48.9,312,1,0.89
Carnivora,Phocidae,Cystophora,cristata,212000,8.01,15388.89,0.3,44980,35.88,420,1,1
Carnivora,Phocidae,Erignathus,barbatus,286666.67,8.71,36950,1,72666.67,65.02,372,1,1
Carnivora,Phocidae,Halichoerus,grypus,186000,7.87,12820,0.61,43077.78,50.52,552,1,0.93
Carnivora,Phocidae,Hydrurga,leptonyx,398666.67,9.5,30875,1,-999,41.7,312,1,
Carnivora,Phocidae,Leptonychotes,weddellii,421666.67,9.6,28394,1.33,117917.14,48.51,300,1,
Carnivora,Phocidae,Lobodon,carcinophagus,238333.33,8.5,22333.33,1.09,120000,48.16,468,1,1
Carnivora,Phocidae,Mirounga,leonina,579400,7.63,39918.89,0.76,130192.31,31.29,276,1,0.86
Carnivora,Phocidae,Mirounga,angustirostris,716666.67,8.45,35250,0.88,138037.14,41.62,240,1,1
Carnivora,Phocidae,Monachus,monachus,275000,10,19600,1.55,-999,48,284,1,
Carnivora,Phocidae,Monachus,schauinslandi,173000,11,30675,1.24,64000,60,360,1,0.5
Carnivora,Phocidae,Ommatophoca,rossii,187666.67,8.13,20266.67,1,-999,41.51,252,1,1
Carnivora,Phocidae,Phoca,largha,80000,10.5,7100,0.78,21300,42,420,1,
Carnivora,Phocidae,Phoca,caspica,86000,11,5000,1,-999,61,600,1,
Carnivora,Phocidae,Phoca,hispida,86140,8.2,5909.09,1.6,11350,73.93,516,1,0.8
Carnivora,Phocidae,Phoca,groenlandica,128786.67,7.63,8476.92,0.37,34377.78,49.8,0,1,1
Carnivora,Phocidae,Phoca,fasciata,82500,9,10250,0.88,30000,29.43,240,1,1
Carnivora,Phocidae,Phoca,vitulina,101250,8.35,11083.64,1.13,23945,46.51,408,1,1
Carnivora,Phocidae,Phoca,sibirica,81666.67,9,3000,2.14,66900,57.88,672,1.01,1
Carnivora,Procyonidae,Bassaricyon,gabbii,1242.5,2.45,51,-999,-999,21.35,0,1,
Carnivora,Procyonidae,Bassariscus,sumichrasti,900,2.15,not measured,-999,-999,-999,281,1.5,
Carnivora,Procyonidae,Bassariscus,astutus,975.5,1.81,28.58,2.26,219.35,10.7,192,2.7,1
Carnivora,Procyonidae,Nasua,nasua,4750,2.51,153.33,2.82,730,32,0,3.81,
Carnivora,Procyonidae,Nasua,narica,3750,2.56,140,4.17,-999,23,204,4.17,
Carnivora,Procyonidae,Potos,flavus,3000,3.84,165.66,3.35,-999,27.65,384,1,1
Carnivora,Procyonidae,Procyon,cancrivorus,6270,-999,not measured,-999,-999,-999,0,2.75,
Carnivora,Procyonidae,Procyon,lotor,4400,2.13,76.14,2.95,1200,11.34,247,3.39,1
Carnivora,Ursidae,Ailuropoda,melanoleuca,111600,4.31,109.29,6.7,15000,77.26,408,1.54,0.7
Carnivora,Ursidae,Ailurus,fulgens,4325,4.3,120.17,4,1140,19.51,210,2.02,1
Carnivora,Ursidae,Helarctos,malayanus,46000,3.68,275,3,-999,78,372,1.16,
Carnivora,Ursidae,Melursus,ursinus,100000,6.42,not measured,2.5,-999,-999,480,1.69,
Carnivora,Ursidae,Tremarctos,ornatus,61000,7.33,320,2.96,-999,-999,464,1.65,
Carnivora,Ursidae,Ursus,thibetanus,76666.67,7,351.67,3.25,-999,31.33,432,1.67,
Carnivora,Ursidae,Ursus,maritimus,286366.67,8.11,634.25,12.68,31156,55.22,540,1.66,0.36
Carnivora,Ursidae,Ursus,arctos,203500,6.93,494.82,13.78,26000,60.01,472,2.36,0.36
Carnivora,Ursidae,Ursus,americanus,110560,6.75,294.47,6.42,14050,40.71,372,2.54,0.38
Carnivora,Viverridae,Arctictis,binturong,12250,2.74,316.38,2.59,2100,30.34,311,2.63,2
Carnivora,Viverridae,Arctogalidia,trivirgata,2250,1.5,not measured,2,-999,36,193,2.5,2
Carnivora,Viverridae,Chrotogale,owstoni,3250,2,81.5,-999,-999,-999,0,2,1.5
Carnivora,Viverridae,Civettictis,civetta,13666.67,2.31,417,4.19,1955.75,14.62,336,2.26,2.25
Carnivora,Viverridae,Cryptoprocta,ferox,9500,3,100,4.08,-999,49.17,240,3,
Carnivora,Viverridae,Cynogale,bennettii,4000,-999,not measured,-999,-999,-999,0,2,
Carnivora,Viverridae,Eupleres,goudotii,3000,-999,150,2.13,-999,-999,0,1.5,
Carnivora,Viverridae,Fossa,fossana,1540,2.9,67.5,2.28,-999,23.92,132,1,
Carnivora,Viverridae,Genetta,maculata,2225,-999,not measured,-999,-999,-999,0,2.33,
Carnivora,Viverridae,Genetta,genetta,1866.67,2.5,74.2,2.75,-999,48.64,258,2.34,2
Carnivora,Viverridae,Genetta,tigrina,1820,2.32,71,1.94,-999,-999,0,2.38,2
Carnivora,Viverridae,Hemigalus,derbyanus,2375,-999,125,2.33,-999,-999,216,2,
Carnivora,Viverridae,Nandinia,binotata,1900,2.13,not measured,2.13,-999,36.27,190,2,2
Carnivora,Viverridae,Paguma,larvata,4300,-999,not measured,-999,-999,-999,240,2.39,2
Carnivora,Viverridae,Paradoxurus,zeylonensis,2380,-999,not measured,-999,-999,-999,0,2.5,
Carnivora,Viverridae,Paradoxurus,hermaphroditus,3100,1.5,87.08,-999,-999,11.22,300,3.29,2
Carnivora,Viverridae,Prionodon,pardicolor,4500,-999,not measured,-999,-999,-999,0,2,
Carnivora,Viverridae,Prionodon,linsang,698,-999,40,-999,-999,-999,128,2,
Carnivora,Viverridae,Viverra,zibetha,10000,-999,not measured,1,-999,-999,240,2.6,2
Carnivora,Viverridae,Viverricula,indica,3000,-999,not measured,4.25,-999,-999,126,3.88,
Cetacea,Balaenidae,Balaena,mysticetus,80000000,12.37,not measured,11.25,-999,210,1200,1,0.29
Cetacea,Balaenidae,Eubalaena,australis,23000000,12.55,not measured,-999,-999,108,0,1,
Cetacea,Balaenidae,Eubalaena,glacialis,23000000,11.5,not measured,7,-999,110,804,1,0.29
Cetacea,Balaenopteridae,Balaenoptera,physalus,66800000,10.93,1850000,6.5,-999,89.7,1368,1.01,0.36
Cetacea,Balaenopteridae,Balaenoptera,musculus,149000000,10.71,2250000,7.08,19075000,72.34,1320,1.01,0.41
Cetacea,Balaenopteridae,Balaenoptera,borealis,14766666.67,11.4,650000,7.56,-999,77.15,888,1.01,0.45
Cetacea,Balaenopteridae,Balaenoptera,edeni,20000000,12.35,not measured,9,-999,105.25,864,1,0.5
Cetacea,Balaenopteridae,Balaenoptera,acutorostrata,16266666.67,10.15,not measured,5,-999,98.73,564,1.01,1
Cetacea,Balaenopteridae,Megaptera,novaeangliae,30000000,11.43,1325000,9.08,-999,64.28,924,1.01,0.5
Cetacea,Delphinidae,Cephalorhynchus,heavisidii,-999,-999,9500,-999,-999,-999,0,-999,
Cetacea,Delphinidae,Cephalorhynchus,commersonii,72400,12,5500,-999,-999,78,216,1,
Cetacea,Delphinidae,Cephalorhynchus,hectori,-999,-999,not measured,-999,-999,93,240,1,0.42
Cetacea,Delphinidae,Delphinus,delphis,76365,9.57,7050,10.5,40000,55.02,240,1,0.42
Cetacea,Delphinidae,Feresa,attenuata,133000,-999,not measured,-999,-999,-999,0,1,
Cetacea,Delphinidae,Globicephala,melas,1060000,14.8,109666.67,26.69,-999,81.22,720,1,0.2
Cetacea,Delphinidae,Globicephala,macrorhynchus,726000,15.25,60000,48,-999,106.2,756,1,0.24
Cetacea,Delphinidae,Grampus,griseus,425000,12,not measured,-999,-999,-999,0,-999,
Cetacea,Delphinidae,Lagenodelphis,hosei,164000,11,not measured,-999,-999,87,192,1,
Cetacea,Delphinidae,Lagenorhynchus,albirostris,180000,-999,not measured,-999,-999,-999,0,1,
Cetacea,Delphinidae,Lagenorhynchus,obliquidens,103000,10,not measured,-999,-999,126,552,1,
Cetacea,Delphinidae,Lagenorhynchus,acutus,182000,10.5,24000,18,-999,73.34,324,1,0.4
Cetacea,Delphinidae,Lagenorhynchus,obscurus,110000,11.63,not measured,12,-999,-999,0,1,0.42
Cetacea,Delphinidae,Orcaella,brevirostris,190000,14,12300,15.5,45000,-999,360,1,
Cetacea,Delphinidae,Orcinus,orca,4300000,14.89,159333.33,15.5,-999,138.22,1080,1,0.21
Cetacea,Delphinidae,Peponocephala,electra,206000,12,not measured,-999,-999,141,564,-999,
Cetacea,Delphinidae,Pseudorca,crassidens,1360000,14.92,not measured,16.5,-999,114.73,750,-999,0.14
Cetacea,Delphinidae,Sotalia,fluviatilis,46666.67,10.7,not measured,-999,-999,-999,0,1,
Cetacea,Delphinidae,Stenella,coeruleoalba,122950,12.1,11300,14.83,-999,94.65,684,1.5,0.31
Cetacea,Delphinidae,Stenella,longirostris,70333.33,10.4,not measured,18,-999,61.96,0,1,0.33
Cetacea,Delphinidae,Stenella,attenuata,68700,11.4,not measured,17.95,-999,93.73,552,1,0.35
Cetacea,Delphinidae,Steno,bredanensis,122500,-999,not measured,-999,-999,120,384,-999,
Cetacea,Delphinidae,Tursiops,truncatus,173333.33,12.12,18920,18.94,-999,97.41,588,1,0.5
Cetacea,Eschrichtiidae,Eschrichtius,robustus,25066666.67,12.36,529666.67,6.1,-999,79.28,840,1,0.5
Cetacea,Monodontidae,Delphinapterus,leucas,665000,13.44,71400,22.6,-999,56.21,360,1.02,0.33
Cetacea,Monodontidae,Monodon,monoceros,900000,14.83,80000,17,-999,72,600,1,0.33
Cetacea,Neobalaenidae,Caperea,marginata,3200000,10,not measured,5.5,-999,-999,0,1,
Cetacea,Phocoenidae,Neophocaena,phocaenoides,32500,10.5,7066.67,10.5,24500,68.67,276,1,0.5
Cetacea,Phocoenidae,Phocoena,sinus,45000,-999,not measured,-999,-999,-999,0,1,
Cetacea,Phocoenidae,Phocoena,phocoena,53183.33,9.66,6775,8.5,-999,34.71,156,1,
Cetacea,Phocoenidae,Phocoenoides,dalli,101666.67,9.98,not measured,11.43,-999,65.62,264,1,0.71
Cetacea,Physeteridae,Kogia,simus,190233.33,-999,not measured,-999,-999,-999,0,1,
Cetacea,Physeteridae,Kogia,breviceps,363000,11,82000,-999,-999,-999,0,1,1
Cetacea,Physeteridae,Physeter,catodon,15400000,15.8,942666.67,18.4,-999,103.36,924,1,0.17
Cetacea,Platanistidae,Inia,geoffrensis,96500,9.83,6800,-999,-999,-999,360,1,
Cetacea,Platanistidae,Lipotes,vexillifer,83500,10.5,not measured,-999,-999,96,288,1,0.5
Cetacea,Platanistidae,Platanista,minor,-999,10.25,7000,-999,-999,-999,0,1,
Cetacea,Platanistidae,Platanista,gangetica,21000,10,not measured,12,-999,80.95,240,1,
Cetacea,Platanistidae,Pontoporia,blainvillei,40333.33,10.92,7900,10.5,-999,28.03,192,1,0.5
Cetacea,Ziphiidae,Berardius,arnuxii,-999,10,not measured,-999,-999,-999,0,-999,
Cetacea,Ziphiidae,Berardius,bairdii,8200000,14.67,not measured,-999,-999,124.29,1008,-999,
Cetacea,Ziphiidae,Hyperoodon,ampullatus,5266666.67,12,not measured,12,-999,117.38,444,1,0.75
Cetacea,Ziphiidae,Mesoplodon,carlhubbsi,1500000,12,not measured,-999,-999,-999,0,-999,
Cetacea,Ziphiidae,Mesoplodon,densirostris,1050000,-999,not measured,-999,-999,108,324,-999,
Cetacea,Ziphiidae,Mesoplodon,bidens,3400000,12,not measured,12,-999,-999,0,1,
Cetacea,Ziphiidae,Ziphius,cavirostris,2952500,12,not measured,-999,-999,-999,432,1,
Dermoptera,Cynocephalidae,Cynocephalus,variegatus,1000,2,not measured,-999,-999,-999,0,1,
Dermoptera,Cynocephalidae,Cynocephalus,volans,-999,3.5,35.9,6.34,-999,-999,210,1,
Hyracoidea,Procaviidae,Dendrohyrax,arboreus,2950,7.59,not measured,5,-999,-999,147,1.35,
Hyracoidea,Procaviidae,Dendrohyrax,dorsalis,3116.67,7,236,-999,-999,13.33,0,1.5,
Hyracoidea,Procaviidae,Heterohyrax,brucei,2456.67,7.57,225,3,-999,16,0,1.94,
Hyracoidea,Procaviidae,Procavia,capensis,3600,7.44,232.18,2.81,500,22.18,132,2.38,
Insectivora,Chrysochloridae,Amblysomus,hottentotus,64.8,-999,4.5,-999,-999,-999,0,2,
Insectivora,Chrysochloridae,Chrysochloris,stuhlmanni,39.8,-999,not measured,2.5,-999,-999,0,-999,
Insectivora,Chrysochloridae,Chrysochloris,asiatica,42,-999,not measured,2.5,-999,-999,0,2.75,
Insectivora,Chrysochloridae,Chrysospalax,villosus,104,-999,not measured,-999,-999,-999,0,2,
Insectivora,Chrysochloridae,Eremitalpa,granti,23.2,-999,not measured,-999,-999,-999,0,1,
Insectivora,Erinaceidae,Atelerix,algirus,745,1.3,not measured,1.33,-999,-999,0,5,
Insectivora,Erinaceidae,Atelerix,albiventris,334,1.24,7.92,1.45,-999,2.77,0,3.81,1
Insectivora,Erinaceidae,Atelerix,frontalis,309,1.22,10.49,1.17,-999,12,0,5.4,1.5
Insectivora,Erinaceidae,Echinosorex,gymnura,956.5,1.25,14.5,-999,-999,-999,55,1.8,2
Insectivora,Erinaceidae,Erinaceus,concolor,719,-999,22,-999,-999,7,49,4.5,
Insectivora,Erinaceidae,Erinaceus,europaeus,771,1.2,15.7,1.37,203,10.8,96,4.64,1.58
Insectivora,Erinaceidae,Hemiechinus,micropus,171,1.24,8.5,2,-999,10,0,3.13,1
Insectivora,Erinaceidae,Hemiechinus,hypomelas,292,-999,not measured,2,-999,-999,86,3.2,1
Insectivora,Erinaceidae,Hemiechinus,aethiopicus,358,-999,8.5,1.64,-999,-999,0,3.75,1
Insectivora,Erinaceidae,Hemiechinus,auritus,342,1.26,10.14,1.17,-999,7,0,4.05,1
Insectivora,Erinaceidae,Hylomys,suillus,64,1.08,not measured,-999,-999,-999,0,2.43,2
Insectivora,Solenodontidae,Solenodon,cubanus,1000,-999,not measured,-999,-999,-999,78,1.5,
Insectivora,Solenodontidae,Solenodon,paradoxus,900,2.8,53.75,2.5,-999,-999,136,1.86,2
Insectivora,Soricidae,Blarina,carolinensis,9.25,-999,not measured,-999,-999,-999,0,4,
Insectivora,Soricidae,Blarina,hylophaga,14.5,0.75,not measured,1,14.5,-999,24,6.5,1.5
Insectivora,Soricidae,Blarina,brevicauda,21.63,0.66,0.97,0.72,-999,2.21,33,5.73,3
Insectivora,Soricidae,Crocidura,fuliginosa,12,-999,not measured,-999,-999,-999,0,1.5,
Insectivora,Soricidae,Crocidura,turba,15,-999,not measured,-999,-999,-999,0,2,
Insectivora,Soricidae,Crocidura,canariensis,7.5,1,0.8,-999,-999,-999,0,2.1,
Insectivora,Soricidae,Crocidura,fuscomurina,5,-999,0.82,0.57,3.2,-999,0,2.8,
Insectivora,Soricidae,Crocidura,planiceps,2.5,-999,not measured,-999,-999,-999,0,3,
Insectivora,Soricidae,Crocidura,crossei,7.2,-999,not measured,-999,-999,-999,0,3,
Insectivora,Soricidae,Crocidura,mariquensis,9.7,-999,not measured,-999,-999,-999,0,3.5,
Insectivora,Soricidae,Crocidura,viaria,17.1,-999,1.4,0.67,13.7,-999,0,3.5,
Insectivora,Soricidae,Crocidura,flavescens,22,0.84,2.26,-999,20.7,-999,0,3.5,
Insectivora,Soricidae,Crocidura,leucodon,9.91,0.99,0.88,0.7,-999,4.98,36,4.72,
Insectivora,Soricidae,Crocidura,hirta,13.67,0.6,1,0.59,10,-999,0,3.45,2
Insectivora,Soricidae,Crocidura,russula,11.63,0.97,0.88,0.84,7.7,4.34,38,4.88,3.5
Insectivora,Soricidae,Crocidura,suaveolens,7.7,0.93,0.63,0.83,4,5.75,48,5.61,3.5
Insectivora,Soricidae,Cryptotis,parva,6.2,0.67,0.34,0.69,3.85,1.63,31,5.13,
Insectivora,Soricidae,Diplomesodon,pulchellum,10,-999,not measured,-999,-999,-999,0,5,
Insectivora,Soricidae,Myosorex,varius,11,-999,1,0.7,-999,-999,16,2.95,
Insectivora,Soricidae,Myosorex,cafer,13,-999,not measured,-999,-999,-999,0,3,
Insectivora,Soricidae,Myosorex,geata,-999,-999,not measured,-999,-999,-999,0,4,
Insectivora,Soricidae,Neomys,anomalus,16,0.75,0.58,0.97,-999,5.25,24,5.53,
Insectivora,Soricidae,Neomys,fodiens,14.32,0.73,0.78,1.2,10,5.25,37,5.51,1.8
Insectivora,Soricidae,Notiosorex,crawfordi,4.15,-999,0.41,1.42,3.6,-999,0,3.83,2
Insectivora,Soricidae,Sorex,mirabilis,-999,-999,not measured,-999,-999,11,0,-999,
Insectivora,Soricidae,Sorex,dispar,4.9,-999,not measured,-999,-999,-999,0,3.5,
Insectivora,Soricidae,Sorex,pacificus,6.71,-999,not measured,-999,-999,-999,0,4.24,
Insectivora,Soricidae,Sorex,bairdii,8.34,-999,not measured,-999,-999,-999,0,4.8,
Insectivora,Soricidae,Sorex,bendirii,15.88,-999,not measured,-999,-999,-999,0,5,
Insectivora,Soricidae,Sorex,coronatus,9.6,0.77,0.58,1,8.6,-999,20,5.05,
Insectivora,Soricidae,Sorex,merriami,4,-999,not measured,-999,-999,-999,0,6,
Insectivora,Soricidae,Sorex,cinereus,4.26,0.64,0.28,0.75,3.5,5.05,21,6.22,
Insectivora,Soricidae,Sorex,arcticus,8.2,-999,not measured,-999,-999,12,18,6.57,
Insectivora,Soricidae,Sorex,ornatus,5.57,0.7,0.5,-999,-999,12,18,5,1
Insectivora,Soricidae,Sorex,hoyi,4.37,-999,not measured,-999,-999,-999,0,5.28,1
Insectivora,Soricidae,Sorex,monticolus,6,-999,not measured,0.7,-999,12,18,5.68,1.33
Insectivora,Soricidae,Sorex,trowbridgii,4.44,-999,not measured,-999,-999,-999,18,4.4,1.5
Insectivora,Soricidae,Sorex,minutus,7.25,0.77,0.25,0.84,-999,9.92,24,5.77,1.5
Insectivora,Soricidae,Sorex,haydeni,3,0.68,not measured,0.84,-999,-999,0,7,1.5
Insectivora,Soricidae,Sorex,araneus,8.98,0.69,0.47,0.85,8.5,10.71,24,6.03,1.9
Insectivora,Soricidae,Sorex,longirostris,3.68,-999,not measured,0.88,-999,-999,14,5.75,2
Insectivora,Soricidae,Sorex,nanus,2.5,-999,not measured,-999,-999,-999,0,6.5,2
Insectivora,Soricidae,Sorex,fumeus,8.2,0.55,not measured,-999,4,10,17,5,2.5
Insectivora,Soricidae,Sorex,vagrans,5.58,0.67,0.42,0.7,5.5,-999,18,5.25,2.5
Insectivora,Soricidae,Sorex,palustris,12.47,0.75,not measured,-999,-999,3,18,5.7,2.5
Insectivora,Soricidae,Suncus,murinus,45.87,1.05,2.6,0.65,19.08,1.54,30,2.96,
Insectivora,Soricidae,Suncus,varilla,-999,-999,not measured,-999,-999,-999,0,3.3,
Insectivora,Soricidae,Suncus,etruscus,2.1,0.93,0.21,0.66,2.09,7.5,32,3.91,
Insectivora,Soricidae,Surdisorex,norae,-999,-999,not measured,-999,-999,-999,0,1,
Insectivora,Soricidae,Surdisorex,polulus,-999,-999,not measured,-999,-999,-999,0,1.5,
Insectivora,Soricidae,Sylvisorex,granti,-999,-999,not measured,-999,-999,-999,0,2,
Insectivora,Talpidae,Condylura,cristata,55.33,-999,not measured,0.79,30,10,0,4.42,1
Insectivora,Talpidae,Desmana,moschata,383,1.54,not measured,1.17,-999,1.3,0,3.86,2
Insectivora,Talpidae,Galemys,pyrenaicus,61.3,1,not measured,-999,-999,24,48,3.75,2
Insectivora,Talpidae,Neurotrichus,gibbsii,10,-999,0.67,-999,-999,-999,0,2.63,
Insectivora,Talpidae,Parascalops,breweri,50.18,1.21,10.1,0.98,34.77,10.5,60,4.38,1
Insectivora,Talpidae,Scalopus,aquaticus,74.6,1.35,5.36,1.17,-999,10.27,36,3.61,1
Insectivora,Talpidae,Scapanus,townsendii,118.8,1.17,5,1,65,10,0,2.86,1
Insectivora,Talpidae,Scapanus,orarius,76.9,1,not measured,1,-999,10,0,3.25,1
Insectivora,Talpidae,Scapanus,latimanus,52,-999,not measured,-999,-999,-999,0,3.58,1
Insectivora,Talpidae,Talpa,altaica,85,-999,3.5,1.03,-999,-999,0,4.35,0.82
Insectivora,Talpidae,Talpa,europaea,133.3,1.06,3.38,1.25,44.2,10.41,72,4.09,1.15
Insectivora,Talpidae,Urotrichus,talpoides,19.5,-999,not measured,1,-999,12,0,3.53,1.5
Insectivora,Tenrecidae,Echinops,telfairi,180,1.9,7.74,0.94,50,8.32,156,5.01,1
Insectivora,Tenrecidae,Geogale,aurita,6.7,2.06,0.7,1.21,-999,-999,25,3.9,2
Insectivora,Tenrecidae,Hemicentetes,semispinosus,149.6,1.79,8.18,0.67,-999,1.44,32,5.02,2
Insectivora,Tenrecidae,Limnogale,mergulus,79.5,-999,not measured,-999,-999,-999,0,3,1
Insectivora,Tenrecidae,Microgale,dobsoni,37.8,2.06,3.95,0.94,-999,22,67,1.99,
Insectivora,Tenrecidae,Microgale,talazaci,48.1,2.03,3.65,0.97,-999,21.5,70,2.25,
Insectivora,Tenrecidae,Micropotamogale,lamottei,69.6,-999,not measured,-999,-999,-999,0,4,
Insectivora,Tenrecidae,Potamogale,velox,761.7,-999,not measured,-999,-999,-999,0,1.63,2
Insectivora,Tenrecidae,Setifer,setosus,259.45,1.89,24.85,0.75,-999,6.48,127,3.04,1
Insectivora,Tenrecidae,Tenrec,ecaudatus,884,2.01,21.38,1.11,225,6.33,76,13.89,1.5
Lagomorpha,Leporidae,Brachylagus,idahoensis,421.33,0.89,not measured,-999,-999,8.42,0,6,2.5
Lagomorpha,Leporidae,Bunolagus,monticularis,1250,-999,45,-999,-999,-999,0,1,
Lagomorpha,Leporidae,Caprolagus,hispidus,2500,-999,not measured,-999,-999,-999,0,-999,2.5
Lagomorpha,Leporidae,Lepus,nigricollis,2099.5,1.3,not measured,-999,-999,5.92,0,1.42,
Lagomorpha,Leporidae,Lepus,callotis,1820,-999,not measured,-999,-999,-999,0,2.2,
Lagomorpha,Leporidae,Lepus,insularis,-999,1.4,not measured,-999,-999,-999,0,3.5,
Lagomorpha,Leporidae,Lepus,tolai,2110,1.53,110,-999,-999,12.2,0,3.8,
Lagomorpha,Leporidae,Lepus,othus,4506.33,1.53,102.5,1.83,2042,12.2,0,6.3,1
Lagomorpha,Leporidae,Lepus,arcticus,3766,1.72,105,2.13,-999,11.56,0,5.03,1.8
Lagomorpha,Leporidae,Lepus,timidus,3030.43,1.65,107.93,0.76,491.99,8.73,216,3.96,2.07
Lagomorpha,Leporidae,Lepus,americanus,1489.25,1.22,61.03,0.66,362,10.12,0,3.28,2.6
Lagomorpha,Leporidae,Lepus,townsendii,3035.5,1.29,94.32,0.88,737,10.95,96,4.32,2.76
Lagomorpha,Leporidae,Lepus,capensis,2358,1.42,118.4,1.08,943.33,7.48,0,2.58,3.28
Lagomorpha,Leporidae,Lepus,alleni,3759.67,1.5,118.1,1.75,3000,24,0,2.21,3.5
Lagomorpha,Leporidae,Lepus,californicus,2317,1.43,84.34,1.34,1300,8,81,2.93,3.73
Lagomorpha,Leporidae,Lepus,europaeus,3673.33,1.42,119.67,0.94,390,7.77,89,2.82,3.75
Lagomorpha,Leporidae,Lepus,saxatilis,2686,1.38,98,-999,-999,-999,0,1.58,3.9
Lagomorpha,Leporidae,Oryctolagus,cuniculus,1558.25,1.02,39.61,0.85,214,5.13,120,5.54,4.33
Lagomorpha,Leporidae,Poelagus,marjorita,2500,1.25,not measured,-999,-999,-999,0,1.5,
Lagomorpha,Leporidae,Pronolagus,randensis,2470,-999,not measured,-999,-999,-999,0,1.1,
Lagomorpha,Leporidae,Pronolagus,crassicaudatus,1945,-999,not measured,-999,-999,-999,0,1.5,
Lagomorpha,Leporidae,Pronolagus,rupestris,1700,-999,not measured,-999,-999,-999,0,2,
Lagomorpha,Leporidae,Romerolagus,diazi,494.5,1.27,30.62,0.86,102.6,6.33,0,2.18,
Lagomorpha,Leporidae,Sylvilagus,brasiliensis,950,1.19,not measured,0.88,-999,4.17,0,3.2,4.5
Lagomorpha,Leporidae ,Sylvilagus,palustris,1233,1.11,not measured,-999,-999,7.21,0,2.34,
Lagomorpha,Leporidae ,Sylvilagus,transitionalis,902.6,0.93,30,0.53,-999,3.96,0,4.75,2.5
Lagomorpha,Leporidae ,Sylvilagus,aquaticus,2120.67,1.26,57.67,0.47,160,6.53,0,3.14,3.23
Lagomorpha,Leporidae ,Sylvilagus,bachmani,707.67,0.9,28.17,0.63,-999,5.07,0,3.64,3.25
