Table S3. Ecological and life history traits for the 551 species include in the CBC trend analyses.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Order,Family,Common Name,Scientific Name,Diet,Life Expectancy,Habitat,Urban Affiliate,Migratory Strategy,log10(mass),Mean Eggs per Clutch,Mean Age at Sexual Maturity,Population Size,Winter Range Area,Range in CBC,Strata,Circles,Feeder Bird,Median Trend,Lower 95% CI,Upper 95% CI
Ciconiiformes,Anhingidae,Anhinga,Anhinga anhinga,Vertebrates,Middle,Wetland,No,Withdrawal,3.13,4,2,NA,14272680,0.4,16,281,No,1.022,1.017,1.028
Ciconiiformes,Ardeidae,American Bittern,Botaurus lentiginosus,Vertebrates,Short,Wetland,No,Short,2.85,4.5,1,NA,3490819,42.4,28,497,No,0.982,0.975,0.990
Ciconiiformes,Ardeidae,Black-crowned Night-Heron,Nycticorax nycticorax,Vertebrates,Middle,Wetland,Yes,Short,2.91,4,1,NA,17035591,9.9,53,721,No,1.038,1.026,1.052
Ciconiiformes,Ardeidae,Cattle Egret,Bubulcus ibis,Invertebrates,Middle,Wetland,Yes,Short,2.58,3.5,2.5,NA,25380422,28.3,18,396,No,0.981,0.966,1.001
Ciconiiformes,Ardeidae,Great Blue Heron,Ardea herodias,Vertebrates,Middle,Wetland,No,Short,3.40,4.5,1.5,NA,9519274,69.2,133,2480,No,1.019,1.017,1.022
Ciconiiformes,Ardeidae,Great Egret,Ardea alba,Vertebrates,Middle,Wetland,No,Short,2.98,3.5,2,NA,19081394,4.3,45,756,No,1.031,1.023,1.038
Ciconiiformes,Ardeidae,Green Heron,Butorides virescens,Vertebrates,Middle,Wetland,No,Short,2.38,3,1,NA,4770884,18.6,22,471,No,0.984,0.979,0.990
Ciconiiformes,Ardeidae,Least Bittern,Ixobrychus exilis,Vertebrates,Short,Wetland,No,Short,1.94,4.5,1,NA,4237613,3.7,4,87,No,1.030,1.013,1.052
Ciconiiformes,Ardeidae,Little Blue Heron,Egretta caerulea,Vertebrates,Middle,Wetland,No,Short,2.53,4,1,NA,6207606,5.5,16,279,No,0.994,0.987,1.000
Ciconiiformes,Ardeidae,Reddish Egret,Egretta rufescens,Vertebrates,Middle,Wetland,No,Withdrawal,2.79,3.5,4,NA,630128,8.6,7,114,No,1.002,0.991,1.014
Ciconiiformes,Ardeidae,Snowy Egret,Egretta thula,Invertebrates,Middle,Wetland,No,Short,2.57,4.5,1.5,NA,17835338,2.4,26,470,No,1.028,1.019,1.037
Ciconiiformes,Ardeidae,Tricolored Heron,Egretta tricolor,Vertebrates,Middle,Wetland,No,Short,2.50,3.5,1.5,NA,2477342,16.1,17,262,No,1.002,0.996,1.010
Ciconiiformes,Ardeidae,Yellow-crowned Night-Heron,Nyctanassa violacea,Invertebrates,Short,Wetland,No,Withdrawal,2.83,3.5,2,NA,2562842,2.6,9,162,No,0.996,0.989,1.004
Ciconiiformes,Ciconiidae,Wood Stork,Mycteria americana,Vertebrates,Long,Wetland,No,Withdrawal,3.41,3,3.5,NA,14909423,2.6,4,101,No,1.056,1.045,1.067
Ciconiiformes,Fregatidae,Magnificent Frigatebird,Fregata magnificens,Vertebrates,Long,Ocean,No,Withdrawal,3.17,1,5,NA,8285259,0.1,1,42,No,1.015,1.001,1.033
Ciconiiformes,Pelecanidae,American White Pelican,Pelecanus erythrorhynchos,Vertebrates,Long,Wetland,No,Moderate,3.75,1.5,3,NA,2168484,43,35,484,No,1.087,1.060,1.121
Ciconiiformes,Pelecanidae,Brown Pelican,Pelecanus occidentalis,Vertebrates,Long,Ocean,Yes,Withdrawal,3.54,3,1.5,NA,2377715,0.3,17,261,No,1.045,1.027,1.069
Ciconiiformes,Phalacrocoracidae,Brandt's Cormorant,Phalacrocorax penicillatus,Vertebrates,Middle,Ocean,No,Withdrawal,3.35,4.5,3,NA,703143,2.4,5,138,No,1.042,1.030,1.055
Ciconiiformes,Phalacrocoracidae,Double-crested Cormorant,Phalacrocorax auritus,Vertebrates,Middle,Wetland,Yes,Short,3.26,4,2,NA,3435520,57.4,91,1400,No,1.074,1.056,1.104
Ciconiiformes,Phalacrocoracidae,Great Cormorant,Phalacrocorax carbo,Vertebrates,Middle,Ocean,No,Short,3.40,4,3,NA,226000,11.1,22,240,No,1.034,1.003,1.065
Ciconiiformes,Phalacrocoracidae,Neotropic Cormorant,Phalacrocorax brasilianus,Vertebrates,Middle,Wetland,No,Withdrawal,3.15,3.5,1,NA,18055579,0.2,7,107,No,1.086,1.060,1.109
Ciconiiformes,Phalacrocoracidae,Pelagic Cormorant,Phalacrocorax pelagicus,Vertebrates,Middle,Ocean,No,Short,3.27,3.5,2.5,NA,2739839,53.6,8,184,No,1.023,1.005,1.041
Ciconiiformes,Phalacrocoracidae,Red-faced Cormorant,Phalacrocorax urile,Vertebrates,Middle,Ocean,No,Resident,3.33,3,3,NA,644235,0.3,3,12,No,0.960,0.915,1.020
Ciconiiformes,Sulidae,Brown Booby,Sula leucogaster,Vertebrates,Long,Ocean,No,Resident,3.11,2,3,NA,10284417,0,1,12,No,0.977,0.934,1.015
Ciconiiformes,Sulidae,Northern Gannet,Morus bassanus,Vertebrates,Middle,Ocean,No,Short,3.48,1,3,NA,492970,1.8,22,228,No,1.045,1.020,1.071
Ciconiiformes,Threskiornithidae,Glossy Ibis,Plegadis falcinellus,Invertebrates,Long,Wetland,No,Withdrawal,2.80,3.5,2.5,NA,662259,34.6,8,124,No,1.078,1.061,1.093
Ciconiiformes,Threskiornithidae,Roseate Spoonbill,Ajaia ajaja,Vertebrates,Long,Wetland,No,Withdrawal,3.17,2.5,2.5,NA,8489285,1,5,130,No,1.054,1.035,1.079
Ciconiiformes,Threskiornithidae,White Ibis,Eudocimus albus,Invertebrates,Long,Wetland,Yes,Withdrawal,2.95,2.5,1.5,NA,1265518,22.3,16,257,No,1.036,1.027,1.047
Ciconiiformes,Threskiornithidae,White-faced Ibis,Plegadis chihi,Invertebrates,Middle,Wetland,No,Short,2.79,3.5,2,NA,5958026,6,8,155,No,1.113,1.065,1.170
Columbiformes,Columbidae,Band-tailed Pigeon,Patagioenas fasciata,Seed,Middle,Woodland,Yes,Withdrawal,2.55,1.5,1,940000,2340120,23.8,7,237,Yes,1.009,0.990,1.028
Columbiformes,Columbidae,Common Ground-Dove,Columbina passerina,Seed,Short,Shrubland,No,Resident,1.55,2,0.2,2000000,6798642,17.5,15,295,Occassionally,0.997,0.985,1.014
Columbiformes,Columbidae,Eurasian Collared-Dove,Streptopelia decaocto,Seed,Middle,,Yes,Resident,2.17,2,1,NA,973690,96.2,68,835,Yes,1.262,1.097,1.304
Columbiformes,Columbidae,Inca Dove,Columbina inca,Seed,Short,Shrubland,Yes,Resident,1.71,6,1,870000,2939860,32.9,18,248,Yes,0.999,0.982,1.013
Columbiformes,Columbidae,Mourning Dove,Zenaida macroura,Seed,Middle,Various,Yes,Withdrawal,2.08,2,0.3,100000000,10076271,73.1,143,2775,Yes,1.024,1.021,1.026
Columbiformes,Columbidae,Red-billed Pigeon,Patagioenas flavirostris,Fruit,Middle,Woodland,No,Resident,2.40,1,1,NA,923503,0,1,4,No,1.007,0.922,1.089
Columbiformes,Columbidae,Ruddy Ground-dove,Columbina talpacoti,Seed,Short,,Yes,Resident,1.66,2,0.3,NA,14617274,0,3,17,No,1.143,1.066,1.223
Columbiformes,Columbidae,Spotted Dove,Streptopelia chinensis,Seed,Short,,Yes,Resident,2.22,2,1,NA,11296231,100,3,53,Yes,0.996,0.977,1.014
Columbiformes,Columbidae,White-crowned Pigeon,Patagioenas leucocephala,Seed,Middle,Woodland,No,Resident,2.38,2,1,NA,240194,0.7,1,12,No,0.996,0.972,1.024
Columbiformes,Columbidae,White-tipped Dove,Leptotila verreauxi,Seed,Short,Woodland,No,Resident,2.17,2,1,NA,13486868,0.3,2,26,Occassionally,1.045,1.030,1.061
Columbiformes,Columbidae,White-winged Dove,Zenaida asiatica,Seed,Middle,Various,Yes,Withdrawal,2.19,2,1,4000000,577101,25,17,268,Yes,1.176,1.136,1.222
Coraciiformes,Alcedinidae,Belted Kingfisher,Megaceryle alcyon,Vertebrates,Short,Wetland,No,Short,2.23,7,0.8,1700000,10344861,70.6,139,2644,No,1.007,1.006,1.009
Coraciiformes,Alcedinidae,Green Kingfisher,Chloroceryle americana,Vertebrates,Short,Wetland,No,Resident,1.57,4.5,1,NA,17030975,1,6,52,No,1.013,0.992,1.029
Coraciiformes,Alcedinidae,Ringed Kingfisher,Megaceryle torquata,Vertebrates,Short,Wetland,No,Resident,2.51,4.5,1,NA,16727698,0.1,2,23,No,1.056,1.039,1.074
Cuculiformes,Crotophagidae,Groove-billed Ani,Crotophaga sulcirostris,Invertebrates,Short,Shrubland,No,Withdrawal,1.91,4,2,NA,2629777,4.4,3,61,No,0.921,0.887,0.958
Cuculiformes,Crotophagidae,Smooth-billed Ani,Crotophaga ani,Invertebrates,Short,Shrubland,Yes,Resident,2.04,5.5,2,NA,14200618,0.4,1,30,No,0.866,0.820,0.909
Cuculiformes,Cuculidae,Greater Roadrunner,Geococcyx californianus,Vertebrates,Short,Shrubland,Yes,Resident,2.57,5,2.5,650000,2939045,62.2,24,400,Occassionally,0.999,0.993,1.004
Falconiformes,Accipitridae,Bald Eagle,Haliaeetus leucocephalus,Vertebrates,Long,Wetland,No,Short,3.67,2,4.5,NA,6505972,89.7,145,2575,No,1.046,1.034,1.057
Falconiformes,Accipitridae,Broad-winged Hawk,Buteo platypterus,Vertebrates,Middle,Woodland,No,Long,2.66,2.5,1.5,1700000,6556365,0.3,2,61,No,0.989,0.975,1.001
Falconiformes,Accipitridae,Cooper's Hawk,Accipiter cooperii,Vertebrates,Middle,Woodland,Yes,Short,2.63,4.5,2,700000,8177752,76.1,133,2423,Occassionally,1.038,1.036,1.039
Falconiformes,Accipitridae,Ferruginous Hawk,Buteo regalis,Vertebrates,Middle,Grassland,No,Short,3.17,3,1.5,80000,2866056,71,31,491,No,1.017,0.980,1.026
Falconiformes,Accipitridae,Golden Eagle,Aquila chrysaetos,Vertebrates,Long,Various,No,Short,3.63,2.5,5.5,130000,10086859,78.4,47,767,No,1.007,0.997,1.016
Falconiformes,Accipitridae,Gray Hawk,Buteo nitidus,Vertebrates,Middle,Woodland,No,Withdrawal,2.63,2,2,NA,11201397,0.2,1,8,No,1.065,1.042,1.084
Falconiformes,Accipitridae,Harris's Hawk,Parabuteo unicinctus,Vertebrates,Middle,Shrubland,Yes,Resident,2.93,9,1,50000,6001693,5.7,8,122,No,1.015,1.002,1.031
Falconiformes,Accipitridae,Hook-billed Kite,Chondrohierax uncinatus,Invertebrates,Middle,Woodland,No,Resident,2.49,2.5,1,NA,9848122,0,1,3,No,1.035,0.983,1.084
Falconiformes,Accipitridae,Northern Goshawk,Accipiter gentilis,Vertebrates,Middle,Woodland,No,Withdrawal,2.94,3,2,200000,13235779,54.4,129,1661,Occassionally,0.995,0.963,1.004
Falconiformes,Accipitridae,Northern Harrier,Circus cyaneus,Vertebrates,Middle,Various,No,Short,2.59,4,2.5,700000,9138915,71.6,129,2439,No,1.009,1.006,1.011
Falconiformes,Accipitridae,Red-shouldered Hawk,Buteo lineatus,Invertebrates,Middle,Woodland,No,Short,2.78,3.5,1,1100000,3241122,82.9,81,1570,No,1.034,1.031,1.037
Falconiformes,Accipitridae,Red-tailed Hawk,Buteo jamaicensis,Vertebrates,Long,Woodland,Yes,Short,3.04,3,3,2000000,8831886,75.2,143,2849,No,1.028,1.026,1.029
Falconiformes,Accipitridae,Rough-legged Hawk,Buteo lagopus,Vertebrates,Middle,Grassland,No,Moderate,2.98,4.5,2.5,300000,6991058,98.2,103,1976,No,1.005,1.000,1.011
Falconiformes,Accipitridae,Sharp-shinned Hawk,Accipiter striatus,Vertebrates,Middle,Woodland,Yes,Short,2.12,4.5,2,500000,14477905,47.2,142,2577,Occassionally,1.025,1.016,1.033
Falconiformes,Accipitridae,Short-tailed Hawk,Buteo brachyurus,Vertebrates,Middle,Woodland,No,Withdrawal,2.71,2,1.5,NA,14433437,0.2,1,44,No,1.065,1.054,1.077
Falconiformes,Accipitridae,Snail Kite,Rostrhamus sociabilis,Invertebrates,Middle,Wetland,No,Resident,2.57,3,1,NA,11541636,0.5,1,25,No,1.068,1.048,1.091
Falconiformes,Accipitridae,Swainson's Hawk,Buteo swainsoni,Vertebrates,Middle,Various,No,Long,2.98,3,1.5,540000,666124,0,5,94,No,0.965,0.946,0.985
Falconiformes,Accipitridae,White-tailed Hawk,Buteo albicaudatus,Vertebrates,Middle,Grassland,No,Resident,3.01,2.5,2,NA,9468449,0.9,3,52,No,1.067,1.045,1.085
Falconiformes,Accipitridae,White-tailed Kite,Elanus leucurus,Vertebrates,Short,Various,No,Withdrawal,2.54,4.5,1,NA,9441677,4.1,10,256,No,1.025,1.016,1.035
Falconiformes,Accipitridae,Zone-tailed Hawk,Buteo albonotatus,Vertebrates,Middle,Woodland,No,Short,2.88,1.5,2,NA,5749950,0,1,10,No,1.060,1.033,1.082
Falconiformes,Cathartidae,Black Vulture,Coragyps atratus,Vertebrates,Long,Various,Yes,Resident,3.28,2,7.5,NA,21048613,8.8,64,852,No,1.071,1.064,1.079
Falconiformes,Cathartidae,California Condor,Gymnogyps californianus,Vertebrates,Long,Various,No,Resident,3.93,1,6,NA,103930,100,1,5,No,1.029,0.947,1.127
Falconiformes,Cathartidae,Turkey Vulture,Cathartes aura,Vertebrates,Middle,Various,Yes,Withdrawal,3.18,2,10.5,5100000,21850843,7.8,68,1234,No,1.037,1.029,1.043
Falconiformes,Falconidae,American Kestrel,Falco sparverius,Invertebrates,Middle,Various,No,Short,2.06,5,1,2200000,19048901,32.3,135,2634,No,1.005,1.004,1.007
Falconiformes,Falconidae,Aplomado Falcon,Falco femoralis,Vertebrates,Middle,Grassland,No,Resident,2.53,2.5,1,NA,12752998,1.7,1,12,No,1.102,1.063,1.152
Falconiformes,Falconidae,Crested Caracara,Caracara cheriway,Vertebrates,Long,Shrubland,No,Resident,3.07,2.5,3,NA,4303949,5.4,5,111,No,1.112,1.103,1.123
Falconiformes,Falconidae,Gyrfalcon,Falco rusticolus,Vertebrates,Middle,Grassland,No,Irruptive,3.16,4.5,2,40000,8319239,43.3,3,25,No,1.011,0.983,1.036
Falconiformes,Falconidae,Merlin,Falco columbarius,Vertebrates,Middle,Woodland,Yes,Short,2.28,5,1.5,1300000,7235784,46.4,84,1444,Occassionally,1.032,1.029,1.035
Falconiformes,Falconidae,Peregrine Falcon,Falco peregrinus,Vertebrates,Middle,Various,Yes,Short,2.88,4,2,NA,23458389,13.3,40,680,No,1.044,1.029,1.054
Falconiformes,Falconidae,Prairie Falcon,Falco mexicanus,Vertebrates,Short,Grassland,No,Short,2.85,4,1.5,70000,4411375,78.6,41,660,No,1.009,1.005,1.012
Falconiformes,Pandionidae,Osprey,Pandion haliaetus,Vertebrates,Middle,Wetland,Yes,Short,3.22,3,3,200000,16735373,2.8,25,482,No,1.053,1.048,1.058
Galliformes,Cracidae,Plain Chachalaca,Ortalis vetula,Seed,Short,Woodland,Yes,Resident,2.69,3,1,NA,606419,2.3,2,16,No,0.989,0.972,1.008
Galliformes,Meleagrididae,Wild Turkey,Meleagris gallopavo,Omnivore,Middle,Woodland,Yes,Resident,3.76,12.5,0.8,NA,4008729,90,114,1725,Occassionally,1.070,1.030,1.102
Galliformes,Odontophoridae,California Quail,Callipepla californica,Omnivore,Short,Shrubland,Yes,Resident,2.27,13,0.8,2800000,1273325,73.8,20,372,Occassionally,1.024,1.012,1.034
Galliformes,Odontophoridae,Gambel's Quail,Callipepla gambelii,Seed,Short,Shrubland,Yes,Resident,2.23,11,1,3900000,545492,74.2,11,108,Occassionally,1.006,0.995,1.018
Galliformes,Odontophoridae,Montezuma Quail,Cyrtonyx montezumae,Omnivore,Short,Woodland,No,Resident,2.27,10,1,NA,690632,10.1,3,24,Occassionally,0.995,0.955,1.041
Galliformes,Odontophoridae,Mountain Quail,Oreortyx pictus,Seed,Short,Shrubland,No,Resident,2.36,9,1,300000,346469,96.2,5,98,Occassionally,0.990,0.963,1.017
Galliformes,Odontophoridae,Northern Bobwhite,Colinus virginianus,Seed,Short,Shrubland,No,Resident,2.24,17,1,NA,4565937,84.1,76,1212,Occassionally,0.934,0.926,0.943
Galliformes,Odontophoridae,Scaled Quail,Callipepla squamata,Seed,Short,Shrubland,Yes,Resident,2.27,15.5,1,3000000,1419094,48.4,11,123,Occassionally,0.950,0.890,0.979
Galliformes,Phasianidae,Chukar,Alectoris chukar,Seed,Short,Various,No,Resident,2.70,15.5,1,500000,972623,100,10,101,Occassionally,0.956,0.916,0.991
Galliformes,Phasianidae,Gray Partridge,Perdix perdix,Seed,Short,Grassland,No,Resident,2.61,15,1,1300000,2766114,91.6,25,355,Occassionally,0.968,0.939,0.991
Galliformes,Phasianidae,Ring-necked Pheasant,Phasianus colchicus,Vegetation,Short,Grassland,No,Resident,3.05,9.5,1,14000000,4496716,96.3,95,1613,Occassionally,0.988,0.974,1.003
Galliformes,Tetraodonidae,Dusky Grouse,Dendragapus obscurus,Vegetation,Middle,Woodland,No,Resident,3.02,6.5,1,NA,2100788,74.4,2,22,No,0.973,0.947,1.001
Galliformes,Tetraodonidae,Greater Prairie-Chicken,Tympanuchus cupido,Seed,Short,Grassland,No,Resident,2.94,11,0.8,400000,415886,100,4,36,No,0.998,0.935,1.055
Galliformes,Tetraodonidae,Greater Sage-Grouse,Centrocercus urophasianus,Vegetation,Short,Shrubland,No,Resident,3.28,7.5,1,NA,1420287,100,2,20,No,0.946,0.859,1.002
Galliformes,Tetraodonidae,Lesser Prairie-Chicken,Tympanuchus pallidicinctus,Omnivore,Middle,Shrubland,No,Resident,2.86,11,1,NA,517363,100,1,3,No,0.858,0.790,0.937
Galliformes,Tetraodonidae,Rock Ptarmigan,Lagopus mutus,Vegetation,Short,Grassland,No,Withdrawal,2.73,9,1,4000000,7211074,80,2,8,No,1.082,1.022,1.144
Galliformes,Tetraodonidae,Ruffed Grouse,Bonasa umbellus,Vegetation,Short,Woodland,No,Resident,2.73,10.5,0.3,NA,8017073,49.4,70,1356,Occassionally,0.998,0.988,1.006
Galliformes,Tetraodonidae,Sharp-tailed Grouse,Tympanuchus phasianellus,Vegetation,Short,Shrubland,No,Resident,2.95,11,0.6,600000,6068000,36.8,25,245,No,0.998,0.968,1.019
Galliformes,Tetraodonidae,Spruce Grouse,Falcipennis canadensis,Omnivore,Middle,Woodland,No,Resident,3.05,6,0.9,NA,7569597,22,5,45,No,1.026,0.987,1.049
Galliformes,Tetraodonidae,White-tailed Ptarmigan,Lagopus leucura,Vegetation,Middle,Grassland,No,Resident,2.55,6,1,NA,1631990,47.4,1,5,No,0.953,0.878,1.031
Galliformes,Tetraodonidae,Willow Ptarmigan,Lagopus lagopus,Vegetation,Short,Shrubland,No,Withdrawal,2.75,9,1,14000000,7626416,7.7,5,43,No,0.991,0.936,1.048
Gaviiformes,Gaviidae,Common Loon,Gavia immer,Vertebrates,Short,Wetland,No,Moderate,3.70,2,2.5,NA,1283083,2.6,88,1355,No,1.027,1.009,1.048
Gaviiformes,Gaviidae,Arctic and Pacific Loon ¶,Gavia arctica and G. pacifica,Vertebrates,Middle,Wetland,No,Moderate,3.35,2,1.5,NA,629647,3,8,220,No,1.020,1.007,1.034
Gaviiformes,Gaviidae,Red-throated Loon,Gavia stellata,Vertebrates,Middle,Wetland,No,Moderate,3.17,2,2.5,NA,827210,2.5,28,440,No,1.021,1.007,1.034
Gaviiformes,Gaviidae,Yellow-billed Loon,Gavia adamsii,Vertebrates,Middle,Wetland,No,Moderate,3.69,2,3,NA,395628,4.7,2,24,No,0.986,0.961,1.010
Gruiformes,Aramidae,Limpkin,Aramus guarauna,Invertebrates,Middle,Wetland,No,Resident,3.03,6,1,NA,12296399,0.9,2,67,No,0.994,0.959,1.024
Gruiformes,Gruidae,Sandhill Crane,Grus canadensis,Omnivore,Middle,Wetland,No,Moderate,3.63,2,4.5,NA,1203806,68.5,23,361,No,1.056,1.020,1.094
Gruiformes,Gruidae,Whooping Crane,Grus americana,Invertebrates,Middle,Wetland,No,Moderate,3.77,2,4.5,NA,61809,99.9,1,5,No,1.029,1.018,1.042
Gruiformes,Rallidae,American Coot,Fulica americana,Vegetation,Short,Wetland,No,Short,2.75,9,1,NA,7372263,63.6,125,2113,No,1.007,0.986,1.019
Gruiformes,Rallidae,Black Rail,Laterallus jamaicensis,Invertebrates,Short,Wetland,No,Short,1.50,6,1,NA,486349,45,4,47,No,1.016,0.991,1.038
Gruiformes,Rallidae,Clapper Rail,Rallus longirostris,Omnivore,Short,Wetland,No,Resident,2.41,10.5,1,NA,561747,22.7,19,238,No,1.002,0.993,1.012
Gruiformes,Rallidae,Common Moorhen,Gallinula chloropus,Omnivore,Middle,Wetland,No,Withdrawal,2.53,7,1,NA,11946490,9.8,23,443,No,1.010,1.004,1.018
Gruiformes,Rallidae,King Rail,Rallus elegans,Invertebrates,Short,Wetland,No,Short,2.53,10,1,NA,1192685,68.7,16,230,No,0.988,0.975,1.000
Gruiformes,Rallidae,Purple Gallinule,Porphyrio martinicus,Omnivore,Middle,Wetland,No,Short,2.32,7.5,1,NA,13375011,0.7,7,85,No,1.010,0.985,18000.000
Gruiformes,Rallidae,Sora,Porzana carolina,Omnivore,Short,Wetland,No,Short,1.87,9.5,1,NA,4646721,23.4,31,536,No,1.007,0.999,1.014
Gruiformes,Rallidae,Virginia Rail,Rallus limicola,Invertebrates,Short,Wetland,No,Short,1.90,9.5,1,NA,2096169,45.8,54,785,No,1.017,0.966,1.031
Gruiformes,Rallidae,Yellow Rail,Coturnicops noveboracensis,Invertebrates,Short,Wetland,No,Moderate,1.75,7.5,1,NA,454494,97.8,1,9,No,1.029,1.002,1.054
Passeriformes,Aegithalidae,Bushtit,Psaltriparus minimus,Invertebrates,Short,Various,Yes,Resident,0.70,4.5,1,2300000,2166444,71.3,27,517,Yes,0.998,0.982,1.006
Passeriformes,Alaudidae,Horned Lark,Eremophila alpestris,Seed,Short,Grassland,No,Moderate,1.52,3.5,1,80000000,8813103,87.4,129,2249,Occassionally,0.991,0.970,1.005
Passeriformes,Alaudidae,Skylark,Alauda arvensis,Seed,Short,Grassland,No,Resident,1.57,3.5,1,NA,11,100,2,14,No,0.972,0.927,1.019
Passeriformes,Bombycillidae,Bohemian Waxwing,Bombycilla garrulus,Fruit,Middle,Woodland,Yes,Irruptive,1.74,5,1,2000000,979536,66.7,49,784,Occassionally,0.965,0.905,0.998
Passeriformes,Bombycillidae,Cedar Waxwing,Bombycilla cedrorum,Fruit,Short,Woodland,Yes,Irruptive,1.50,3.5,1,52000000,11021363,74.8,144,2601,Occassionally,1.019,1.001,1.029
Passeriformes,Calcaridae,McCown's Longspur,Rhynchophanes mccownii,Seed,Short,Grassland,No,Moderate,1.41,5,1,600000,822612,58.3,5,33,No,0.986,0.933,1.046
Passeriformes,Cardinalidae,Black-headed Grosbeak,Pheucticus melanocephalus,Omnivore,Middle,Woodland,No,Short,1.62,3.5,1,12000000,809142,0,18,108,Occassionally,0.971,0.929,0.995
Passeriformes,Cardinalidae,Blue Grosbeak,Passerina caerulea,Omnivore,Short,Shrubland,No,Short,1.47,4,2,18000000,1560666,0.1,11,80,No,0.977,0.940,1.013
Passeriformes,Cardinalidae,Dickcissel,Spiza americana,Seed,Short,Grassland,No,Moderate,1.42,4,1,20000000,1541533,0,1,22,Occassionally,0.964,0.936,0.994
Passeriformes,Cardinalidae,Hepatic Tanager,Piranga flava,Omnivore,Middle,Woodland,No,Withdrawal,1.57,4,1,NA,7203177,0.1,1,6,No,1.144,1.092,1.217
Passeriformes,Cardinalidae,Indigo Bunting,Passerina cyanea,Seed,Short,Woodland,No,Moderate,1.17,3,1,78000000,1417350,0,4,114,Occassionally,1.010,0.992,1.029
Passeriformes,Cardinalidae,Lazuli Bunting,Passerina amoena,Seed,Short,Shrubland,No,Moderate,1.19,4,1,5600000,339905,3.3,1,13,No,1.027,0.973,1.092
Passeriformes,Cardinalidae,Northern Cardinal,Cardinalis cardinalis,Seed,Middle,Shrubland,Yes,Resident,1.63,3,1,91000000,5848254,77.6,113,2208,Yes,1.007,1.006,1.009
Passeriformes,Cardinalidae,Painted Bunting,Passerina ciris,Seed,Middle,Shrubland,No,Moderate,1.19,3.5,1,10000000,1212418,3,2,75,Occassionally,0.998,0.985,1.011
Passeriformes,Cardinalidae,Pyrrhuloxia,Cardinalis sinuatus,Omnivore,Short,Shrubland,No,Resident,1.55,2.5,1,1200000,1524764,37.1,11,173,Yes,0.992,0.982,1.001
Passeriformes,Cardinalidae,Rose-breasted Grosbeak,Pheucticus ludovicianus,Fruit,Middle,Woodland,No,Moderate,1.62,3,1,4100000,2138141,0,2,32,Occassionally,1.011,0.986,1.035
Passeriformes,Cardinalidae,Summer Tanager,Piranga rubra,Omnivore,Short,Woodland,No,Moderate,1.45,3,1,10000000,4984802,0,2,38,No,1.037,1.020,1.051
Passeriformes,Cardinalidae,Western Tanager,Piranga ludoviciana,Omnivore,Middle,Woodland,No,Moderate,1.48,4,1,11000000,982223,0.5,1,60,No,1.027,1.001,1.042
Passeriformes,Certhiidae,Brown Creeper,Certhia americana,Invertebrates,Short,Woodland,No,Short,0.90,5,1,8500000,12166776,78.2,145,2741,Yes,1.006,1.003,1.008
Passeriformes,Cinclidae,American Dipper,Cinclus mexicanus,Invertebrates,Short,Wetland,Yes,Resident,1.75,4.5,1,170000,4816434,54.9,33,539,No,1.004,0.998,1.011
Passeriformes,Corvidae,American Crow,Corvus brachyrhynchos,Omnivore,Middle,Various,Yes,Withdrawal,2.65,4.5,2,27000000,6966508,97.4,150,2900,Yes,1.025,1.022,1.028
Passeriformes,Corvidae,Black-billed Magpie,Pica hudsonia,Omnivore,Middle,Woodland,Yes,Resident,2.34,6,2,5400000,5674675,72.8,51,744,Yes,0.998,0.991,1.004
Passeriformes,Corvidae,Blue Jay,Cyanocitta cristata,Omnivore,Middle,Woodland,Yes,Withdrawal,1.94,4.5,1,13000000,6814741,85.1,129,2484,Yes,1.008,1.006,1.009
Passeriformes,Corvidae,Brown Jay,Psilorhinus morio,Omnivore,Middle,Woodland,No,Resident,2.31,4,5,NA,678899,1.4,1,3,Occassionally,0.970,0.885,1.053
Passeriformes,Corvidae,Chihuahuan Raven,Corvus cryptoleucus,Omnivore,Middle,Shrubland,No,Withdrawal,2.73,5.5,1,400000,1513859,38.4,12,114,No,1.039,1.010,1.062
Passeriformes,Corvidae,Clark's Nutcracker,Nucifraga columbiana,Seed,Middle,Woodland,No,Resident,2.11,3.5,2,230000,2255002,99.1,24,256,Occassionally,1.001,0.978,1.015
Passeriformes,Corvidae,Common Raven,Corvus corax,Omnivore,Middle,Various,Yes,Resident,2.97,5,1,6000000,15172222,31.5,99,1868,Occassionally,1.022,1.005,1.037
Passeriformes,Corvidae,Fish Crow,Corvus ossifragus,Omnivore,Middle,Wetland,Yes,Withdrawal,2.45,4.5,2,450000,973495,98.9,40,555,No,0.994,0.979,1.012
Passeriformes,Corvidae,Florida Scrub-Jay,Aphelocoma coerulescens,Omnivore,Middle,Shrubland,Yes,Resident,1.89,3,2.5,NA,5713,89.2,1,45,Occassionally,0.975,0.966,0.982
Passeriformes,Corvidae,Gray Jay,Perisoreus canadensis,Omnivore,Middle,Woodland,No,Resident,1.85,3.5,1,20000000,7285592,26.4,42,640,Yes,1.003,0.984,1.017
Passeriformes,Corvidae,Green Jay,Cyanocorax yncas,Omnivore,Middle,Woodland,Yes,Resident,1.90,4,1,NA,1098430,3.7,2,34,Yes,1.057,1.039,1.078
