IncidentNum,Month,Day,Year,Time,County,Location,Mode,Injury,Depth,Species,Comment,Longitude,Latitude,Confirmed Source,WFL Case #
137,8,2,2010,12:40,Santa Barbara,"Near Oil Rig Hondo, Gaviota",Kayaking / Canoeing,none,surface,White,"No injury, kayak bitten",-120.122,34.397,GSAF; SB Independent,
138,8,14,2010,10:00,San Mateo,Pigeon Point,Kayaking / Canoeing,none,surface,White,"No injury, kayak bitten",-122.7083333,37.19166667,GSAF; NBC News,
139,10,22,2010,9:00,Santa Barbara,"Surf Beach, Lompoc",Surfing / Boarding,fatal,surface,White,"Shark bit boogie boarder, dragging him underwater. Major injuries to thighs and legs.",-120.71,34.683,Lea/Mccosker; LA Times,
140,6,6,2011,17:00,San Diego," La Jolla, Children's Pool",Freediving,none,surface,Sevengill,"Sevengill shark bit spear fisherman's leg, marking wetsuit but no injury",-117.68,32.855,GSAF; SD Union,
141,6,24,2011,13:30,San Diego,San Onofre State Beach,Surfing / Boarding,none,surface,White,Shark leapt onto surfboard; surfer uninjured ,-118,33.37,GSAF; surfers village,
142,9,11,2011,12:30,Humboldt,Samoa Beach,Surfing / Boarding,none,surface,White,"No injury, board bitten",-124.204,40.8,GSAF; lost coast outpost,
143,10,29,2011,7:00,Monterey,Marina State Beach,Surfing / Boarding,major,surface,White,Shark bit surfers board with major injuries to neck and arm,-121.9,36.7,GSAF; CBS,
144,11,22,2011,11:30,San Mateo,Pigeon Point,Kayaking / Canoeing,none,surface,White,"No injury, kayak bitten",-122.8083333,37.19166667,GSAF; Surfline,
145,5,6,2012,7:30,Island - Catalina,Catalina Island,Paddleboarding,none,surface,White,"Paddle boarding, No injury, shark bit paddleboard",-118.5163,33.3879,GSAF; KCET,
146,5,12,2012,13:30,San Luis Obispo,"Cambria, Leffingwell Landing",Kayaking / Canoeing,none,surface,White,"Shark hit kayak, ejecting occupant without injury",-121.122,35.583,Lea/Mccosker; Cambria Tribune,
147,7,7,2012,8:30,Santa Cruz,"Santa Cruz, Pleasure Point",Kayaking / Canoeing,none,surface,White,"Shark hit kayak, ejecting occupant without injury; tooth fragment in kayak",-121.995,36.96,Lea/Mccosker; GSAF; KSBW 8,
148,7,31,2012,6:45,Los Angeles,Topanga Beach,Surfing / Boarding,minor,surface,Unknown,"Surfer knocked off board when something struck surfboard, minor abrasion to hand",-118.6,34,GSAF,
149,10,7,2012,18:30,Santa Cruz,Davenport Landing,Surfing / Boarding,none,surface,White,"No injury to boardrider, shark struck board breaking the mast",-122.7533333,37.05,GSAF; Surfline,
150,10,23,2012,11:00,Santa Barbara,"Surf Beach, Lompoc",Surfing / Boarding,fatal,surface,White,Shark bit surfers legs to torso with fatal injuries and mark on board,-120.81,34.683,Lea/Mccosker; GSAF; LA Times,
151,10,30,2012,12:00,Humboldt,"""Bunkers"", Humboldt Bay, north jetty",Surfing / Boarding,major,surface,White,Shark bit surfer's torso and board with major injuries,-124.5266667,40.77,Lea/Mccosker; GSAF; Mercury News,
152,6,25,2013,16:00,San Mateo,"San Pedro Point, Pacifica",Kayaking / Canoeing,none,surface,White,"Shark bit kayak, no injury but marks on kayak",-122.617,37.59666667,GSAF; CBS,
153,8,17,2013,13:00,San Mateo,"Half Moon Bay, Pillar Point",Surfing / Boarding,none,surface,White,"Shark bumped board, throwing surfer and was seen shortly afterwards",-122.799,37.492,GSAF; KSBW8,
154,8,31,2013,23:00,Santa Barbara,"Butterfly Beach, Santa Barbara",Swimming,minor,surface,Salmon,"Swimmer was bitten on foot, later a salmon shark washed ashore with matching dentition",-119.6492,34.4176,GSAF; Antioch University,
155,10,6,2013,8:30,Humboldt,"""Bunkers"", North Jetty, Humboldt Bay",Surfing / Boarding,major,surface,White,Surfer bitten in thigh,-124.6266667,40.77,GSAF; OutsideOnline,
156,7,5,2014,7:30,San Luis Obispo,"Oceano Dunes State Beach, Oceano",Surfing / Boarding,none,surface,White,Shark bit surfboard but surfer was uninjured,-120.635,35.11,GSAF; Tribune,
157,9,13,2014,18:45,Santa Cruz,Santa Cruz - Manresa Beach,Surfing / Boarding,none,surface,White,Shark bit surfboard knocking surfer into water with no injuries,-122,36.7,"GSAF; KSBY 8 News, with photos",
158,10,2,2014,17:30,Santa Barbara,Vandenberg AFB,Surfing / Boarding,minor,surface,White,Surfer bitten in knee with minor puncture wound,-120.64,34.76,GSAF; KEYT News,
159,10,3,2014,11:00,Santa Barbara,Vandenberg AFB,Kayaking / Canoeing,none,surface,White,"Shark bit kayak ejecting kayaker into water, second attack in same location on same day",-120.74,34.76,GSAF; Grind TV; KSBW 8,
160,10,3,2014,14:00,Santa Barbara,Vandenberg AFB,Kayaking / Canoeing,none,surface,White,"Shark bit kayak peddle drive, ejecting kayaker into water with no injuries",-120.84,34.76,GSAF; Grind TV; KSBW 8,
161,10,19,2014,14:30,Santa Barbara,Leadbetter Point,Kayaking / Canoeing,none,surface,White,"Shark bit outrigger canoe with teeth marks and punctures, no injuries",-119.701,34.398,GSAF; KEYT News,
162,12,28,2014,11:30,San Luis Obispo,Montana de Oro State Park,Surfing / Boarding,major,surface,White,Shark bit board and surfer with injuries to hip requiring hospitalization,-120.892,35.276,GSAF; Tribune,
163,7,10,2015,8:45,Orange,Huntington Beach-Lifeguard Tower 17,Surfing / Boarding,none,surface,White,"Shark bumped board, leaving marks",-118.3,33.7,GSAF; KTLA,
164,8,18,2015,7:30,Santa Barbara,Gaviota State Beach,Kayaking / Canoeing,none,surface,White,"Shark bit kayak, leaving marks",-120.21,34.367,GSAF; KSBY,
165,8,29,2015,10:15,San Luis Obispo,"Morro Rock, Morro Bay",Surfing / Boarding,none,surface,White,Shark bit surfboard but surfer was uninjured,-121.075,35.40333333,GSAF; Tribune,
166,9,5,2015,15:00,Ventura,"Deer Creek, Malibu/Ventura",Kayaking / Canoeing,minor,surface,Hammerhead,Shark bit kayakers foot dangling in water with minor injuries - shark seen and identified as hammerhead,-118.9986,34.0514,GSAF; NBC News,
167,9,6,2015,17:30,Los Angeles,"El Pescador State Beach, Malibu",Paddleboarding,none,surface,White,"Shark hit board, knocking paddler into water - Lot's of follow-up on other websites, but no additional confirmation",-118.894,34.038,GSAF,
168,9,20,2015,11:00,Island - Santa Cruz,Yellow Banks,Freediving,minor,surface,Hammerhead,"Shark hit spearfisherman with fish on belt on diver's right side, repeatedly attempted to bite again, diver shoved fish in shark's mouth and swam to boat, minor lacerations to right leg",-119.55,34,"Personal account from Matt Lum; Santa Barbara Independent, Undercurrents",
169,9,24,2015,11:00,Santa Barbara,"Horseshoe Rock, Santa Barbara",Kayaking / Canoeing,minor,surface,White,"Shark bit kayak, kayaker received minor scrape and dislocated thumb. Kayak marked",-119.595,34.417,GSAF; KEYT News,
170,5,29,2016,15:00,Orange,Corona del Mar State Beach,Swimming,major,surface,White,"Attacked while Swimming on surface, Broken ribs, torso injuries, broken pelvis",-117.8755,33.5933,GSAF; ABC News,
NOT COUNTED,7,15,2016,,Orange,Surfside,Surfing / Boarding,none*,surface*,White,Unclear that shark hit board or board hit shark. In surf and kite boarder knocked off board while moving,,,GSAF ONLY - NO MEDIA,
171,9,1,2016,9:00,Santa Barbara,Refugio State Beach,Freediving,minor,surface,White,Shark bit then repeatedly bumped free diver; broken toes and lacerations,-120.075,34.46,GSAF; KSBY; video online at: http://unofficialnetworks.com/2016/09/12/watch-great-white-shark-attack-caught-on-gopro-santa-barbara-california/,
172,9,17,2016,afternoon,Humboldt,"""Bunkers"", South Jetty, Humboldt Bay",Surfing / Boarding,none,surface,White,"Surfer's wetsuit and board were marked, but no injury",-124.7266667,40.77,GSAF; lost coast outpost,
173,3,18,2017,16:30,Monterey,"San Carlos Beach, Monterey",Kayaking / Canoeing,none,surface,White,Shark attacked kayak - knocking rider into water without injury. Continued to bite kayak for several minutes,-121.95,36.62666667,GSAF; CBS,
174,4,29,2017,17:30,San Diego,"""Church"", San Onofre State Beach",Swimming,major,surface,White,Shark bit swimmers thigh while wading with major injuries,-118.1,33.37,GSAF; OC Register,
175,7,11,2017,11:00,Santa Cruz,"Santa Cruz, ""Steamer Lane""",Kayaking / Canoeing,none,surface,White,"Shark bumped then bit kayak, throwing kayaker into water",-121.895,36.96,"KSBY 8 News, with photos",
176,7,20,2017,8:00,Santa Barbara,Goleta Beach,Paddleboarding,none,surface,White,"Shark bit paddleboard, removing nose of board but not injuring boarder. Approximately 8'",-119.8,34.398,SB Independent,
177,7,20,2017,11:15,Santa Barbara,"Stearns Warf, Santa Barbara",Kayaking / Canoeing,none,surface,White,"Shark bit kayak, kayaker jumped off and swam to nearby boat. No injury",-119.9,34.398,SB Independent,
178,8,1,2017,10:45,San Mateo,Pigeon Point/Bean Hollow,Kayaking / Canoeing,none,surface,White,"Shark hit kayak, knocking kayaker into the water without injury",-122.9083333,37.19166667,GSAF; Half Moon Bay Review,
179,11,24,2017,13:30,Monterey,Pebble Beach,Freediving,major,surface,White,"Shark buzzed diver at 30-40 feet deep, then bit leg when on surface, major injury but leg saved; confirmed white through DNA sample",-121.9423722,36.56425,CDFW Wardens; Santa Cruz Sentinel,C2775
180,12,30,2017,15:00,Marin,Drake's Estero,Surfing / Boarding,minor,surface,White,"Shark bit surfers foot with minor damage to toes. Surfer hit shark, estimated 12'. Refused treatment",-122.9417,38.0278,"National Park Service Tweet, Santa Rosa Press Democrat; Point Reyes Light",
181,6,25,2018,18:00,San Diego,Oceanside,Kayaking / Canoeing,none,surface,Unknown,"Shark bit outrigger canoe with teeth marks and punctures, no injuries",-117.430831,33.187739,NBC and Fox news,
NOT COUNTED,7,15,2018,,Humboldt,Trinidad State Beach,Walking in shallow,minor*,surface*,Salmon,Woman wading while trying to take photo of dying salmon shark was either bitten or scraped on foot,Not Used,,News Reports - Witness accounts,
182,8,24,2018,20:00,Orange,Huntington Beach,Swimming,none,surface,White,"Boy wading in ocean saw shark approach and bump him, no injuries",-118.4,33.7,Sacramento Bee and other news accounts,
NOT COUNTED,9,27,2018,,Humboldt,Shelter Cove,Kayaking / Canoeing,none*,surface*,White,Angler claims white shark hit kayak - no other data found,,,GSAF ONLY - NO MEDIA and Facebook Post not found,
183,9,29,2018,7:00,San Diego,Beacon's Beach - Encinitas,Freediving,major,surface,White,Freediving for lobster - shark bit upper torso with major injuries to shoulder. Rescued by nearby divers/kayakers - presumed white,-117.3047,33.0652,LA Times and other sources,
184,10,23,2018,10:00,Island - Farallones,Farallon Islands,Scuba Diving,major,Unkown,White,17 foot white shark bit diver in hand/arm diver helicoptered to shore,-123.6316667,37.72,CBS News and other news sources,
185,1,8,2019,14:00,San Luis Obispo,Montana de Oro State Park,Surfing / Boarding,major,surface,White,"15 foot white shark bit surfer in legs. Surfer able to swim to beach and drive to hospital, 50 stiches in legs",-120.992,35.276,"State parks, San Luis Tribune",
186,5,7,2019,Unknown,Sonoma,Salmon Creek Beach,Surfing / Boarding,none,surface,White,"White shark bit surfers leash, shook board, no injury",-123.6766667,38.35833333,"Mary Callahan, Staff Writer,The Press Democrat",
187,9,1,2019,12:00,San Diego,Solana Beach,Surfing / Boarding,none,surface,Thresher,"Surfer saw 8' shark with very long tail. As he tried to paddle away, shark bumped board then hit his leg with tail several times before swimming away",-117.4,33,Personal Email to Dept. Director,
188,10,5,2019,8:00,Island - Catalina,Ship Rock,Kayaking / Canoeing,none,surface,White,"Approximately 10 foot Shark bit kayak and pushed it leaving marks and teeth, no injury",-118.4917,33.4625,LA County Life Guards and photographs and local news,
189,12,21,2019,15:15,Island - Santa Rosa,Talcott Shoals,Surfing / Boarding,major,surface,White,"Approximately 15 foot shark bit surfer on upper thigh, rescued by buddy on boat and airlifted by USCG",-120.23333,34.01667,"National Marine Sanctuary, KTLA News, other news sources with video",C2947
190,3,27,2020,19:00,Santa Cruz,"Santa Cruz, Pleasure Point",Paddleboarding,none,surface,White,"Shark bit a lay-down paddle board, knocking boarder into water, no injury",-122.095,36.96,"KSBW News, Patch.com",
NOT COUNTED,4,28,2020,,San Diego,"Encinitas, Moonlight Beach",Surfing / Boarding,minor*,surface*,Unknown,"Surfer claims to have been circled by shark, then possibly kicked it, injury determined to be stingray and other bystanders said no shark",,,,
191,5,1,2020,14:30,Santa Barbara,"Padaro Lane, Carpenteria",Swimming,minor,surface,White,"Swimmer bumped by approximately 5' long shark, with dark dorsal, in areas where several young white sharks seen earlier, minor laceration to foot",-119.695,34.41333,"KEYT News, other local sources",
192,5,9,2020,13:30,Santa Cruz,Manresa State Beach - Sand Dollar Beach,Surfing / Boarding,fatal,surface,White,"Surfer bitten in leg pronounced dead on scene, no witnesses of the shark but white sharks known to be in area - Presumed white",-121.8558,36.919966,"CNN, CBS multiple others",C2973
193,5,25,2020,7:30,Humboldt,Shelter Cove,Kayaking / Canoeing,none,surface,White,"Kayak bitten and punctured. Kayaker hit shark. Kayak took on water, and kayaker rescued by boater",-124.283333,40.028333,"North Coast Journal, Lost Coast Journal",C2976 (ISAF)
194,6,19,2020,16:00,Island - Santa Cruz,San Pedro Point,Scuba Diving,none,35',White,"David Kushner, bumped on upper right side of body from behind while spearfishing for halibut then shark swam in front of him and away. ",-119.52207,34.034931,Personal account from David Kushner,
195,8,12,2020,17:42,Los Angeles,"Bluff Cove, Palos Verdes",Freediving,minor,surface,White,"Free diving spear fisherman had fish on a stringer and a 7-8' white shark grabbed fish, retreated when hit, then approached again. Stringer caused minor cut to fisherman's leg.",-118.4089628,33.79,Personal aacount emailed to Department with photo,
196,8,28,2020,17:00,Humboldt,Shelter Cove,Kayaking / Canoeing,none,surface,White,Kayak bitten and punctured. Kayaker thrown into water but able to get back on without injury,-124.383333,40.028333,FortheWin,C3007 (ISAF)
197,12,30,2020,14:00,San Diego,Coronado,Swimming,none,surface,White,Swimmer's fin bitten by juvenile white shark while swimming on surface. Not injury,-117.316667,32.685,NBC San Diego and multiple SD News outlets,
198,6,26,2021,9:00,San Mateo,Gray Whale State Beach (Devil's Slide),Freediving,major,surface,White,"Snorkeler was bitten on upper thigh, swam in to beach where fisherman assisted until emergency crews arrived. Originally reported as swimmer, then surfer.",-122.615003,37.564967,"NBC, SFGate and other news",
199,6,30,2021,7:15,Island - Catalina,Parson's Landing,Kayaking / Canoeing,minor,surface,White,"Canoer from boy scout camp was bitten on hand after feeling something bump boat, airlifted due to remote location but not for major injury. Location from LA life guards Parson's Landing",-118.55,33.47,NBC and ABC news,
200,7,5,2021,9:15,San Luis Obispo,"Cambria, Leffingwell Landing",Kayaking / Canoeing,none,surface,White,"Kayaker was struck from below, knocked into water, and bumped by shark. Shark then came back, grabbed kayak and pushed it 30 feet. No injury",-121.222,35.583,"Personal account emailed to Director, followed up with photos and DNA",C3096
201,7,22,2021,11:15,Monterey,Moss Landing Jetty,Surfing / Boarding,none,surface,Unknown,"Surfer was paddling and felt something hit his board, when he got to shore there were tooth marks, CDFW forensics lab could not detect WS DNA",-121.7917,36.8076,"Personal account by phone to CDFW staff, followed up with photos",C3106
202,10,3,2021,9:00,Sonoma,Salmon Creek Beach,Surfing / Boarding,major,surface,White,White shark bit surfer on leg/thigh with major injuries. Surfer medivaced to hospital. CDFW confirmed species from DNA,-123.7766667,38.35833333,"CDFW Wardens, media reports",C3133
203,12,22,2021,16:00,Sonoma,Salmon Creek Beach,Surfing / Boarding,none,surface,White,"Surfer saw 10'-12' shark which then ""charged"" him, circled, and charged again before surfer reached shore",-123.8766667,38.35833333,State parks incident form with first person account,
204,12,24,2021,10:40,San Luis Obispo,Morro Strand State Beach,Surfing / Boarding,fatal,surface,White,Surfer found victim face down in water. Signficant injuries to chest and pronounced dead at scene. Species confirmed through DNA by CDFW.,-121.175,35.40333333,"CDFW Wardens, media reports",C3156
205,2,26,2022,11:30,Island - San Miguel,San Miguel Island - Northeast side,Scuba Diving,major,surface,White,"Diver bitten on right foot by 12-14' white shark while on surface. Bleeding controlled on site, medevaced by USCG to Santa Barbara",-120.8366667,34.04,"LA Times, USCG Incident Report",
