geo,name,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
lie,Liechtenstein,5802,5802,5802,5802,5802,5802,5802,5802,5802,5802,5802,5802,5802,5802,5802,5802,5802,5802,5802,5810,5827,5852,5885,5927,5970,6012,6055,6098,6142,6186,6230,6274,6319,6364,6409,6455,6501,6548,6594,6641,6689,6736,6784,6833,6882,6931,6980,7030,7080,7130,7181,7234,7287,7340,7393,7447,7502,7556,7611,7667,7723,7779,7836,7893,7951,8009,8067,8126,8186,8245,8306,8366,8427,8489,8551,8613,8676,8739,8803,8867,8932,8997,9063,9129,9196,9263,9330,9398,9467,9536,9606,9676,9746,9817,9889,9961,10034,10107,10181,10255,10330,10405,10481,10558,10635,10712,10791,10869,10949,11032,11120,11212,11308,11409,11510,11613,11716,11820,11924,12007,12069,12111,12132,12132,12132,12132,12132,12132,12132,12146,12175,12218,12276,12349,12422,12495,12569,12643,12718,12793,12869,12945,13021,13098,13175,13253,13331,13410,13489,13607,13764,13999,14227,14466,14713,14969,15242,15539,15855,16170,16491,16860,17273,17700,18145,18602,19066,19554,20081,20622,21143,21594,21992,22397,22802,23198,23587,23971,24348,24721,25090,25462,25847,26238,26627,27009,27384,27759,28148,28532,28887,29279,29724,30170,30601,31033,31472,31899,32316,32727,33113,33444,33742,34060,34389,34691,34975,35226,35444,35717,35999,36270,36596,36910,37163,37400,37615,37850,38129,38440,38767,39044,39317,39598,39870,40128,40368,40594,40809,41010,41202,41392,41566,41722,41867,42005,42131,42242,42348,42448,42534,42617,42691,42755,42814,42861,42908,42944,42972,42996,43013,43031,43045,43053,43058,43050,43041,43047,43047,43044,43038,43031,43026,43017,43018,43022,43015,43010,43013,43016,43017,43026,43036,43048,43064,43084,43117,43154,43183,43212,43242,43269,43288,43310,43343,43371,43401,43426,43452,43477,43497,43514,43535,43556,43557,43563,43578,43587,43589,43595,43598
lka,Sri Lanka,1750000,1718222,1687020,1656386,1626307,1596775,1567779,1539310,1511357,1483912,1457455,1430989,1405004,1379490,1354440,1329845,1305696,1281986,1258706,1245181,1241422,1247445,1263271,1288922,1315094,1341798,1369044,1396842,1425206,1454145,1483672,1513799,1544537,1575899,1607898,1640547,1673859,1707847,1742526,1777908,1814009,1850844,1888426,1926771,1965894,2005813,2046541,2088097,2130497,2157803,2169961,2167943,2150631,2117930,2085726,2054011,2022778,1992019,1961728,1952838,1965870,2001369,2059908,2142087,2227544,2316410,2408820,2504917,2604846,2691180,2763216,2820223,2861438,2886068,2910909,2935964,2961234,2986720,3012425,3039606,3068289,3098500,3130269,3163621,3197329,3231394,3265822,3300616,3335780,3375175,3418909,3467096,3519850,3577287,3635660,3694985,3755277,3816552,3878826,3943704,4011256,4081558,4154685,4230714,4308134,4386969,4467247,4548992,4632232,4711229,4785831,4855884,4921229,4981704,5042920,5104888,5167617,5231114,5292941,5351774,5407545,5460188,5509634,5555813,5602379,5649335,5696685,5744431,5792578,5839786,5886036,5931312,5975595,6018867,6062452,6106353,6150572,6195111,6239973,6302273,6382492,6481124,6598672,6735650,6875472,7018196,7163882,7312594,7464392,7630343,7811047,7956334,8111560,8275144,8445935,8623331,8807219,9000996,9208817,9430152,9661389,9899372,10143754,10395040,10653397,10916965,11183928,11457328,11736088,12013858,12287110,12551910,12809205,13060916,13305693,13548984,13796770,14049371,14310128,14579614,14847974,15099414,15286567,15388794,15441860,15544154,15731256,15916576,16078621,16248557,16352458,16475354,16739284,17025918,17275773,17564068,17905018,18248200,18596003,18944731,19293054,19600362,19805752,19951521,20087605,20216524,20352411,20492545,20629378,20756435,20879089,21009048,21169458,21358827,21547456,21729971,21910772,22087522,22253118,22410552,22561807,22700372,22834965,22971617,23103565,23229470,23348315,23461560,23569175,23670637,23767952,23861630,23951250,24037619,24119294,24196475,24269517,24339994,24407043,24469399,24526699,24578647,24625365,24666659,24702869,24736435,24765737,24786708,24800753,24809176,24813690,24814757,24812222,24804892,24794938,24784167,24767426,24744905,24719441,24691035,24659373,24625465,24588826,24547759,24502408,24451440,24398193,24343068,24286152,24229898,24171322,24109928,24046768,23979901,23907583,23833459,23758779,23681151,23600423,23514635,23424964,23333082,23239506,23144157,23046216,22944819,22840247,22734998,22628781,22520551,22409403,22297748,22186409,22073390,21959070,21843305,21725828,21607571,21488019,21368143,21249406
lso,Lesotho,276361,276361,276361,276361,276361,276361,276361,276361,276361,276361,276361,276361,276361,276361,276361,276361,276361,276361,276361,275555,273955,271573,268419,264506,260650,256850,253105,249415,245779,242195,238664,235185,231756,228377,225048,221767,218533,215347,212208,209114,206065,203061,200100,197183,194308,191475,188684,185933,183222,181429,180549,180015,180381,181632,182890,184155,185427,186706,187992,189285,190585,191891,193205,194525,195853,197188,198529,199877,201233,202595,203965,205341,206725,208115,209513,210917,212328,213747,215172,216605,218044,219490,220944,222404,223871,225345,226826,228315,229810,231311,232820,234336,235858,237388,238924,240467,242017,243573,245137,247023,249237,251784,254668,257895,261160,264462,267802,271180,274597,277999,281387,284759,288115,291453,294826,298233,301675,305152,309883,315040,320636,326686,333205,340208,347358,354658,362112,369722,377493,385361,393328,401394,409560,417827,426260,434864,443642,452596,461732,470956,480269,489671,499162,508741,518504,528454,538596,548931,559466,569677,579551,590269,601947,614474,627894,642188,657311,674669,694315,714947,736500,758824,781814,805373,829437,854090,881870,913982,948105,983202,1019273,1056246,1094063,1132697,1172420,1213643,1253214,1289967,1327240,1366169,1406521,1448069,1490732,1534413,1578986,1624379,1666138,1703390,1739841,1775436,1809696,1842379,1873274,1901793,1927707,1951437,1972418,1988130,1998049,2003234,2003913,2000853,1994679,1985059,1971129,1953076,1945063,1953268,1966541,1980883,1996251,2014009,2034354,2056504,2080089,2104611,2130422,2157110,2183603,2209405,2235727,2261542,2286110,2311472,2337423,2363325,2389336,2415369,2441442,2467683,2493818,2520021,2546490,2573110,2599779,2626567,2653498,2680080,2706202,2732146,2757876,2783369,2808544,2833260,2857505,2881339,2904784,2927865,2950413,2972157,2993077,3013558,3033468,3052322,3070099,3087284,3103870,3119743,3135128,3150018,3164303,3177872,3190885,3202918,3213881,3224032,3233715,3243285,3252543,3261245,3269324,3276547,3282697,3288163,3293323,3297637,3301209,3304588,3307444,3309742,3311356,3312334,3312871,3312995,3312880,3312369,3311724,3310742,3309192,3307347,3305222,3302682,3299293,3295485,3291602,3287139,3282244,3277008,3271338,3265513,3259299
ltu,Lithuania,778655,778655,778655,778655,778655,778655,778655,778655,778655,778655,778655,778655,778655,778655,778655,778655,778655,778655,778655,780957,785594,792601,802014,813867,825895,838101,850488,863057,875813,888757,901892,915221,928747,942473,956403,970537,984881,999437,1014208,1029197,1044408,1059844,1075507,1091403,1107533,1123901,1140512,1157368,1174473,1191830,1209445,1226420,1243633,1261086,1278784,1296729,1314926,1333377,1352087,1371058,1390295,1409800,1429579,1449634,1469970,1490591,1511499,1532701,1554198,1575997,1598100,1620512,1643238,1666282,1689647,1713340,1737364,1761723,1786423,1811469,1836864,1862615,1888725,1915200,1942046,1969266,1996867,2024854,2053232,2082006,2111182,2140766,2170764,2201180,2232021,2263293,2295002,2327154,2359755,2392811,2426329,2460315,2494776,2529717,2565147,2601071,2637497,2674432,2711882,2726841,2719640,2690592,2640003,2568163,2498276,2430289,2364152,2299812,2238949,2194437,2165965,2153234,2155950,2173830,2191859,2210037,2228366,2246846,2265480,2280828,2292859,2301543,2306849,2308747,2310646,2312547,2314450,2316354,2318259,2321857,2327154,2334161,2342886,2353338,2363837,2374383,2384976,2395616,2406304,2418756,2432995,2458819,2486410,2515124,2544703,2575311,2607334,2641761,2678936,2722674,2769095,2812599,2853287,2891072,2928854,2965262,3000357,3035378,3070265,3103419,3135872,3170709,3204905,3236222,3266362,3295733,3324568,3353247,3380074,3404736,3428419,3452309,3477584,3505432,3534124,3562389,3593780,3627367,3672646,3696105,3695012,3701407,3697544,3680197,3654891,3627038,3599711,3573409,3547771,3522901,3500402,3473004,3444050,3415278,3376699,3322263,3269808,3231374,3198481,3163254,3097720,3028642,2988329,2958360,2933168,2905764,2869110,2829313,2802478,2795058,2795765,2794488,2816919,2854099,2859110,2830144,2797338,2774226,2751169,2728543,2706358,2684470,2662806,2641153,2619273,2597392,2575501,2553097,2530462,2507572,2484835,2462456,2439831,2416940,2394333,2372137,2349907,2327242,2304356,2281738,2258774,2235291,2211553,2187825,2164009,2139759,2115392,2091118,2066923,2042816,2018844,1995248,1971968,1949084,1926552,1903851,1881175,1858812,1836707,1814678,1792884,1771446,1750199,1729087,1707775,1686322,1664955,1643650,1622388,1601171,1579986,1558790,1537666,1516734,1496074,1475573,1455416,1435623,1415934,1396579,1377668,1359111,1340912,1323187,1306015,1289081,1272407,1256182,1240218,1224405,1208675
lux,Luxembourg,127030,127030,127030,127030,127030,127030,127030,127030,127030,127030,127030,127030,127030,127030,127030,127030,127030,127030,127030,127781,129306,131626,134767,138752,142854,147078,151426,155903,160513,164448,167685,170197,171960,172946,173937,174934,175937,176946,177960,179025,180143,181313,182537,183814,185100,186396,187700,189014,190336,191594,192785,193905,194957,195940,196928,197921,198919,199923,200931,201638,202042,202143,201941,201434,200928,200423,199920,199417,198917,198749,198916,199419,200259,201437,202621,203813,205011,206217,207429,208421,209191,209738,210059,210155,210250,210346,210441,210537,210633,211183,212194,213670,215617,218040,220491,222969,225475,228009,230572,233091,235566,237995,240378,242712,245069,247449,249852,252278,254728,256873,258710,260233,261440,262326,263215,264107,265001,265899,266805,268121,269851,272003,274581,277593,280637,283715,286826,289972,293152,295729,297698,299051,299781,299880,299980,300080,300180,300280,300380,300351,300193,299907,299492,298949,298407,297866,297326,296787,296248,296176,296570,298160,299901,301683,303481,305312,306958,308440,310038,312034,313877,316342,319651,322848,326233,329702,333077,335517,337007,338263,339332,341956,346072,349201,351425,353680,355872,358245,361046,362894,363705,364485,365056,365490,365897,366661,368406,370790,373783,377377,381700,386817,391964,397200,402590,408227,413776,418969,424154,429897,436132,441752,446389,451838,458296,465363,472866,480270,488990,498187,507410,518584,530947,543354,556279,569536,583506,596495,608101,620163,630597,640274,653313,665098,673036,680453,687448,694278,701077,707591,713667,719434,725078,730521,735651,740629,745418,749911,754311,758650,762673,766432,770069,773435,776535,779539,782347,784904,787351,789571,791464,793283,794906,796237,797493,798658,799412,799812,800205,800515,800675,800797,800771,800535,800258,799938,799551,799018,798328,797480,796328,795145,793929,792529,791182,789866,788499,787038,785565,784037,782395,780657,778774,777016,775302,773446,771558,769638,767782,766049,764384,762658,761034,759532,757956,756502,755032,753307,751533,749774,747990
lva,Latvia,590588,590588,590588,590588,590588,590588,590588,590588,590588,590588,590588,590588,590588,590588,590588,590588,590588,590588,590588,592524,596429,602334,610273,620277,630446,640782,651287,661965,672817,683847,695058,706453,718035,729807,741771,753932,766292,778855,791623,804602,817792,831199,844826,858676,872754,887062,901605,916386,931409,946679,962199,977756,993565,1009629,1025953,1042541,1059397,1076526,1093931,1111618,1129591,1147854,1166413,1185271,1204434,1223907,1243695,1263803,1284236,1304999,1326097,1347537,1369323,1391462,1413958,1436818,1460047,1483652,1507639,1532013,1556781,1581949,1607525,1633513,1659922,1686758,1714027,1741737,1769895,1798508,1827584,1857130,1887153,1917661,1948663,1980165,2012177,2044707,2077762,2111351,2145483,2180167,2215411,2251225,2287618,2324599,2362178,2400364,2439168,2454262,2446052,2414922,2361241,2285357,2211912,2140827,2072026,2005437,1941425,1892128,1857115,1835966,1828277,1833655,1839049,1844459,1849885,1855327,1860785,1866151,1871424,1876603,1881689,1886680,1891684,1896701,1901732,1906776,1911833,1915598,1918067,1919239,1919110,1917679,1916248,1914819,1913391,1911964,1910538,1912780,1918720,1933915,1949535,1965198,1982034,2000462,2019505,2040115,2063292,2096981,2131171,2157169,2182285,2205801,2229758,2252762,2274349,2296079,2317284,2337666,2357559,2377073,2395874,2415783,2436995,2455771,2470537,2484608,2497362,2505526,2511759,2519970,2532015,2546971,2562773,2579231,2599778,2625963,2652247,2664836,2660131,2648940,2614827,2563820,2521233,2485949,2457905,2433231,2410209,2390822,2368313,2338301,2311351,2288984,2264174,2239784,2219032,2200776,2177711,2142043,2097831,2059941,2034633,2013010,1994149,1977867,1959863,1942594,1927588,1914263,1901123,1885587,1881063,1882396,1871871,1853559,1835935,1821563,1807072,1792484,1777620,1762869,1748390,1734004,1720002,1706428,1693021,1679783,1666727,1653611,1640644,1627820,1615152,1602639,1590088,1577406,1564718,1552134,1539436,1526639,1513810,1501015,1487830,1474152,1460316,1446390,1432313,1418061,1403844,1389739,1375626,1361629,1347858,1334154,1320438,1306720,1293274,1280031,1266843,1253969,1241359,1228852,1216583,1204539,1192535,1180566,1168727,1157083,1145572,1134094,1122748,1111639,1100735,1089989,1079451,1069209,1059151,1049166,1039329,1029663,1020077,1010524,1001029,991618,982231,972815,963363,953917,944438,934894,925371
mar,Morocco,2500000,2509126,2518286,2527479,2536706,2545967,2555261,2564589,2573951,2583348,2592813,2602278,2611778,2621312,2630882,2640486,2650125,2659800,2669510,2678317,2686218,2693207,2699278,2704427,2709586,2714755,2719934,2725122,2730320,2735529,2740747,2745975,2751213,2756461,2761719,2766987,2772266,2777554,2782852,2788161,2793479,2798808,2804147,2809496,2814855,2820225,2825605,2830995,2836395,2846471,2861280,2880486,2904532,2933473,2962702,2992223,3022037,3052149,3082561,3113275,3144296,3175625,3207267,3239224,3271499,3304095,3337017,3370266,3403847,3437762,3472015,3506609,3541548,3576835,3612473,3648467,3684819,3721533,3758613,3796062,3833885,3872084,3910664,3949627,3988980,4028724,4068864,4109403,4150347,4191401,4232564,4273833,4315207,4356685,4398561,4440839,4483524,4526619,4570128,4620147,4676838,4740362,4810887,4888582,4967532,5047756,5129276,5212113,5296287,5369537,5431628,5482320,5521370,5548530,5575824,5603252,5630815,5658513,5687125,5722800,5765651,5815791,5873335,5938401,6004187,6070702,6137954,6205951,6274701,6352689,6440169,6537396,6644635,6762155,6881753,7003467,7127333,7253390,7381676,7508160,7632748,7755344,7875851,7994167,8114261,8236159,8359888,8485476,8612951,8762652,8935450,9159290,9394879,9639567,9893315,10158129,10434024,10720548,11013743,11317007,11624933,11931085,12253092,12577502,12898886,13239171,13597065,13968175,14347899,14734255,15129449,15527225,15924692,16326269,16733842,17150786,17574182,18014756,18477385,18955589,19459943,19985401,20520318,21060696,21593778,22113953,22600803,23054392,23500524,23939414,24375551,24799014,25212468,25614586,26000822,26399429,26808107,27213337,27621648,28027179,28423435,28814643,29198142,29571415,29953018,30358144,30771178,31186468,31606767,32030778,32467016,32912588,33355241,33787571,34204780,34607588,35023457,35446392,35839760,36210898,36584208,36954442,37329064,37712505,38081173,38430770,38762441,39080099,39384126,39674560,39953460,40221743,40477986,40722975,40957244,41182094,41398230,41604033,41802274,41990445,42168205,42339041,42500327,42650495,42792498,42925306,43046179,43158169,43262402,43355720,43440431,43517149,43582317,43635688,43677271,43707696,43726125,43734770,43736171,43727216,43707410,43679639,43642756,43597897,43545673,43482772,43414312,43341074,43260130,43173139,43078139,42976747,42869613,42755096,42634713,42509927,42380729,42246043,42105474,41958512,41806425,41650319,41489709,41325692,41156547,40980569,40800251,40617857,40433495,40243913,40048050,39847267,39642312,39433969,39222844,39008469,38789885,38568204,38343505,38115526,37884370
mco,Monaco,7789,7789,7789,7789,7789,7789,7789,7789,7789,7789,7789,7789,7789,7789,7789,7789,7789,7789,7789,7808,7846,7903,7980,8076,8174,8273,8373,8475,8577,8681,8786,8892,9000,9109,9219,9331,9444,9558,9674,9791,9909,10029,10151,10274,10398,10524,10651,10780,10910,11043,11176,11321,11468,11617,11768,11921,12075,12232,12391,12551,12714,12879,13046,13215,13387,13561,13736,13915,14095,14278,14463,14650,14840,15033,15228,15425,15625,15828,16033,16240,16451,16664,16880,17099,17320,17545,17772,18002,18235,18472,18711,18953,19199,19447,19699,19954,20212,20474,20739,21008,21280,21555,21834,22117,22403,22693,22987,23284,23585,23810,23959,24030,24022,23935,23848,23762,23676,23590,23486,23462,23520,23661,23884,24191,24503,24818,25137,25461,25788,26030,26186,26256,26237,26130,26024,25918,25812,25707,25602,25378,25038,24586,24026,23361,22714,22085,21474,20879,20301,19898,19666,20348,20558,20662,20663,20575,20720,21093,21404,21646,21808,21901,22078,22385,22686,22941,23131,23230,23437,23831,24229,24576,24862,25072,25235,25500,25895,26273,26605,26892,27122,27293,27561,27960,28356,28731,29093,29446,29781,30084,30358,30625,30887,31136,31375,31609,31837,32063,32267,32410,32455,32447,32422,32374,32307,32210,32057,31837,31836,32364,33163,33946,34711,35447,36128,36757,37276,37678,38154,38109,38050,38527,38931,38956,38631,38341,38087,37868,37672,37507,37366,37243,37132,37041,36967,36894,36824,36760,36708,36671,36627,36569,36538,36526,36517,36523,36538,36572,36620,36681,36757,36840,36928,37020,37123,37216,37311,37435,37554,37683,37816,37943,38078,38240,38416,38584,38756,38933,39126,39334,39549,39764,39975,40197,40426,40656,40907,41179,41439,41691,41950,42213,42471,42737,43018,43291,43565,43856,44141,44404,44669,44949,45217,45484,45773,46064,46344,46622,46895,47181,47489
mda,Moldova,712558,712558,712558,712558,712558,712558,712558,712558,712558,712558,712558,712558,712558,712558,712558,712558,712558,712558,712558,713866,716493,720453,725756,732416,739137,745920,752765,759673,766644,773679,780779,787944,795175,802472,809836,817267,824767,832336,839974,847682,855461,863311,871233,879228,887296,895439,903656,911948,920317,928762,937285,946897,956606,966414,976321,986328,996437,1006649,1016964,1027383,1037908,1048540,1059280,1070128,1081086,1092155,1103337,1114631,1126040,1137564,1149206,1160965,1172843,1184841,1196961,1209203,1221569,1234061,1246678,1259424,1272298,1285303,1298439,1311708,1325111,1338650,1352325,1366139,1380093,1394187,1408424,1422805,1437332,1452005,1466826,1481797,1496919,1512194,1527624,1543209,1558952,1574853,1590915,1607140,1623528,1640081,1656802,1673691,1690751,1707983,1725389,1742970,1760729,1778667,1796786,1815088,1833574,1852247,1869245,1886398,1903709,1921178,1938808,1956600,1974555,1992674,2010960,2029414,2048037,2066831,2085798,2104939,2124255,2143748,2163421,2183273,2203308,2223527,2243932,2264523,2285304,2306275,2327439,2348797,2370351,2392103,2414054,2436207,2458563,2489188,2528360,2572745,2619778,2669505,2721546,2775557,2831238,2887995,2944561,3007367,3076166,3143887,3209505,3271788,3330238,3385972,3440655,3494202,3547082,3599990,3643517,3677927,3713997,3752623,3793847,3836946,3881030,3925583,3970294,4010389,4048713,4089538,4130065,4172076,4215888,4261131,4309366,4359064,4407769,4439380,4451148,4456609,4455711,4448239,4434456,4414211,4387655,4355538,4318715,4278216,4234967,4189770,4142930,4095419,4046669,3988669,3921316,3851396,3779504,3706210,3631992,3557266,3482626,3408738,3342709,3287164,3237794,3193497,3153773,3112562,3069131,3023778,3039985,3067070,3034961,2996106,2961253,2932383,2903492,2874448,2845242,2816257,2787669,2759084,2730470,2702010,2674092,2646893,2620262,2594117,2568810,2544681,2521341,2498522,2476483,2454941,2433765,2413189,2392885,2372354,2351809,2331186,2310140,2288807,2267111,2245228,2223093,2200921,2178896,2156767,2134307,2111810,2089588,2067724,2046160,2024848,2004080,1983706,1963633,1944202,1925278,1906951,1889384,1872389,1855869,1839772,1824242,1808876,1793660,1778834,1764313,1750070,1736015,1722104,1708357,1694609,1680858,1667274,1653694,1640091,1626540,1612845,1598965,1585027,1571072,1557051,1542997,1529056,1515191,1501426,1487721
mdg,Madagascar,1500000,1508658,1517367,1526125,1534934,1543794,1552706,1561668,1570682,1579749,1588920,1598092,1607316,1616594,1625926,1635311,1644750,1654244,1663793,1676505,1692445,1711680,1734276,1760301,1786717,1813529,1840744,1868367,1896405,1924863,1953749,1983068,2012827,2043032,2073691,2104810,2136396,2168455,2200996,2234026,2267551,2301579,2336117,2371174,2406757,2442874,2479533,2516742,2554510,2586526,2612685,2630155,2641523,2646698,2651881,2657071,2662268,2667473,2672684,2677904,2683130,2688363,2693604,2698852,2704108,2709370,2714640,2719917,2725202,2731041,2737437,2744393,2751909,2759989,2768090,2776211,2784353,2792516,2800700,2808904,2817129,2825375,2833642,2841930,2850238,2858568,2866919,2875291,2883684,2885710,2881409,2870821,2853984,2830938,2808075,2785394,2762892,2740569,2718423,2698059,2679453,2662581,2647419,2633944,2620534,2607189,2593909,2580693,2567542,2555473,2544475,2534539,2525656,2517816,2509997,2502199,2494422,2486667,2481693,2485134,2497098,2517696,2547040,2585246,2624024,2663385,2703336,2743886,2785044,2826246,2867484,2908751,2950039,2991339,3033218,3075683,3118742,3162405,3206679,3254209,3305090,3359416,3417285,3478796,3541414,3605160,3670053,3736113,3803363,3876609,3956073,4057200,4160835,4267535,4377319,4490113,4606422,4726636,4850846,4979094,5111029,5246158,5384150,5525185,5669863,5819116,5974279,6136486,6306493,6484716,6672003,6868868,7074398,7288048,7509726,7739336,7976831,8222240,8475864,8737581,9006032,9279011,9557671,9843044,10134550,10433142,10736857,11047291,11369462,11704998,12055639,12421412,12800870,13197345,13613850,14051275,14510711,14990814,15489364,16000506,16516338,17032939,17549913,18071854,18606608,19159707,19730909,20318583,20923840,21547280,22183340,22822300,23462438,24109290,24764348,25426702,26099952,26788375,27494926,28219554,28953556,29691083,30437261,31195932,31964956,32740678,33522052,34308793,35099857,35894678,36693183,37495706,38301317,39109380,39919950,40733844,41551315,42371340,43194160,44019293,44846895,45676979,46508815,47342295,48176604,49011274,49846527,50682067,51517353,52351990,53185475,54016765,54845300,55671143,56493659,57313021,58129738,58942315,59750169,60554110,61352873,62145241,62930946,63709342,64480302,65242944,65997235,66743591,67480962,68208620,68926090,69634456,70333405,71020890,71697362,72362744,73015741,73657474,74288082,74906310,75512394,76107250,76691311,77265181,77828810,78382366,78926159,79459876,79982950,80493878,80992577,81480826,81958318,82423996,82878064,83319302,83748160,84165542,84570967,84962957,85341148
mdv,Maldives,42378,42378,42378,42378,42378,42378,42378,42378,42378,42378,42378,42378,42378,42378,42378,42378,42378,42378,42378,42428,42528,42680,42882,43135,43390,43646,43904,44163,44424,44686,44950,45216,45483,45752,46022,46294,46567,46842,47119,47397,47677,47959,48242,48527,48814,49102,49392,49684,49977,50272,50569,50812,51055,51300,51545,51792,52040,52289,52539,52791,53043,53297,53551,53807,54064,54323,54582,54843,55104,55367,55631,55896,56163,56431,56699,56969,57241,57513,57787,58062,58338,58615,58894,59174,59455,59737,60021,60306,60592,60880,61168,61459,61750,62043,62336,62632,62928,63226,63525,63826,64128,64431,64735,65041,65349,65657,65967,66279,66591,66788,66869,66834,66683,66416,66151,65886,65622,65360,65176,65187,65394,65800,66406,67214,68032,68859,69697,70546,71404,72220,72991,73718,74400,75034,75674,76319,76970,77626,78288,78691,78834,78719,78345,77712,77083,76460,75841,75228,74620,74359,74448,75713,77063,78491,79999,81602,83308,85121,87043,89057,91189,93450,95802,98222,100662,104102,108507,112528,116075,119564,123219,127035,130968,134952,138978,143158,147525,151930,156159,160360,164835,169532,174333,179128,184198,190169,196935,203944,210885,217738,224762,231802,238543,244884,250822,256649,262347,267707,272723,277412,282019,286767,291616,296491,301413,306429,313851,324479,336170,348275,360792,373674,386818,400070,413617,428154,443308,458287,473099,487731,502118,516154,524106,525994,527799,529676,531517,533431,535494,537571,539667,541921,544283,546718,549155,551594,554087,556633,559230,561953,564798,567605,570378,573135,575809,578453,581021,583392,585720,587981,589962,591628,593069,594254,595155,595918,596505,596761,596668,596256,595687,594865,593633,592105,590352,588440,586291,583830,581134,578258,575169,571855,568386,564735,560930,557014,552949,548725,544305,539821,535373,530913,526534,522259,518025,513876,509822,505942,502231,498775,495579,492626,489912,487378,485113,483070,481166,479394,477803,476349,474919
mex,Mexico,5100000,5165663,5232171,5299535,5367767,5436878,5506878,5577779,5649593,5722332,5796956,5871592,5947189,6023759,6101316,6179870,6259437,6340027,6421655,6483214,6524512,6545355,6545545,6524883,6504286,6483755,6463288,6442885,6422547,6418962,6432243,6462504,6509859,6574426,6639634,6705488,6771995,6839162,6906995,6973425,7038422,7101952,7163984,7224485,7285497,7347024,7409071,7471641,7534741,7607082,7688866,7776734,7874364,7981955,8091015,8201563,8313620,8427206,8542342,8642106,8726230,8794438,8846452,8881991,8917670,8953490,8989452,9025557,9061805,9112156,9176823,9256020,9349966,9458883,9569066,9680530,9793291,9907363,10022761,10139483,10257544,10376959,10497744,10619914,10743503,10868529,10995007,11122954,11252388,11389902,11535683,11689921,11852808,12024541,12198760,12375501,12554799,12736692,12921218,13094664,13256749,13407183,13545676,13671927,13799353,13927963,14057768,14188781,14321011,14423929,14497312,14540934,14554565,14537976,14521403,14504846,14488304,14471778,14462101,14495700,14573164,14695093,14862093,15074781,15290514,15509333,15731284,15956411,16184760,16426403,16681704,16951034,17234776,17533316,17837029,18146002,18460327,18780096,19105405,19502221,19974021,20524418,21157168,21876172,22619610,23388313,24183140,25004977,25854745,26715785,27587939,28320482,29090173,29899233,30753005,31650600,32587934,33562724,34575068,35627266,36724615,37890118,39129200,40424065,41772049,43174477,44629106,46129608,47668303,49233194,50814953,52412558,54030168,55667284,57320149,58982400,60645512,62308493,63979046,65648865,67300334,68892108,70433260,71971240,73506846,75043414,76585637,78136651,79695531,81247182,82820170,84430572,86044809,87653807,89259205,90862455,92452702,94021207,95575245,97115707,98625552,100099099,101548624,102978515,104394131,105811504,107253666,108774360,110374288,111999721,113623895,115243504,116818208,118343573,119784261,121072306,122251351,123400057,124573711,125762982,126799054,127648148,128613117,129739759,130861007,131946900,132997658,134017708,135008697,135970891,136904738,137811065,138690193,139542085,140362027,141150819,141909163,142637546,143336220,143998292,144624323,145217774,145777456,146300007,146787717,147240092,147654160,148030146,148372231,148677897,148946274,149181847,149383764,149552708,149688991,149794545,149869727,149916430,149937283,149930614,149893286,149827852,149737035,149619418,149474742,149302540,149103940,148881679,148634888,148362269,148063211,147741065,147396146,147025029,146629523,146211751,145772681,145311919,144829021,144324266,143798332,143251807,142689365,142109913,141510609,140892442,140257628,139610647,138952628,138281610,137597074,136900253,136193872,135476634,134746723,134008424,133264475,132515721,131763049,131007389,130248836
