ID,name,age,sex,breed,date_found,adoptable_from,posted,color,coat,size,neutered,housebroken,likes_people,likes_children,get_along_males,get_along_females,get_along_cats,keep_in
3564,Bütyõk,5.42,female,"Puli, Pumi Mix",2015-11-15,2015-11-15,2016-07-04,black,medium,medium,yes,yes,yes,,yes,,,both flat and garden
648,Gömbi,11.83,male,German Shepherd Dog Mix,2016-03-04,2016-03-04,2016-06-22,black and tan,short,medium,yes,yes,yes,yes,,,yes,both flat and garden
534,Lime,13.5,female,English Cocker Spaniel,2016-03-27,2016-03-27,2016-06-07,black,medium,medium,yes,,,,,,,
3105,Cibil,4.42,female,Unknown Mix,2016-07-05,2016-07-05,2016-07-18,brown and white,short,medium,yes,,yes,,yes,yes,,both flat and garden
1497,Liza,4.33,female,Rottweiler Mix,2016-05-14,2016-05-15,2016-06-08,black and tan,short,medium,,,yes,,,,,garden
400,Niké,4.42,female,Unknown Mix,2016-01-26,2016-01-26,2016-06-14,black and tan,short,medium,,,yes,yes,yes,yes,,both flat and garden
7601,Dagi,5.83,male,"Dachshund, Terrier Mix",2015-12-31,2015-12-31,2016-07-06,black and brown,medium,small,,yes,yes,yes,no,yes,no,both flat and garden
1499,Mona,5.5,female,Dachshund Mix,2016-05-07,2016-05-07,2016-06-12,striped,short,small,yes,yes,yes,,yes,,yes,flat
7602,Rupert,3.83,male,Pumi Mix,2016-06-01,2016-06-01,2016-07-07,black,medium,medium,no,yes,yes,yes,yes,yes,yes,both flat and garden
3132,Toffife,4.33,male,Unknown Mix,2016-07-15,2016-07-15,2016-07-26,black and brown,short,small,yes,,yes,,,,,both flat and garden
1269,Hobó,5.83,male,Giant Schnauzer,2016-05-01,2016-05-01,2016-08-11,black,medium,large,,no,yes,yes,yes,yes,,both flat and garden
1496,Befogadott Kutya Gazdát Keres,7.5,male,"Dachshund, Labrador Retriever Mix",2016-05-19,2016-05-19,2016-05-26,brown and white,short,medium,no,,,,,,,
556,Saci,9.5,female,"Schnauzer, Spaniel Mix",2016-05-15,2016-05-15,2016-06-06,black,medium,medium,yes,yes,yes,,yes,yes,,flat
2116,Fáncsi,4.58,female,Staffordshire Terrier Mix,2016-02-07,2016-02-07,2016-05-19,black and white,short,medium,yes,,yes,yes,yes,yes,no,both flat and garden
2127,Lucy,9.08,female,Unknown Mix,2015-11-03,2015-11-03,2016-05-19,black and white,short,medium,yes,yes,yes,yes,yes,yes,no,garden
2119,Hendó,11.58,male,Staffordshire Terrier Mix,2015-05-04,2015-05-04,2016-05-19,striped,short,medium,yes,yes,yes,yes,no,yes,no,both flat and garden
2125,Laki,5.92,male,Unknown Mix,2016-01-24,2016-01-24,2016-05-19,black,short,large,yes,,yes,yes,yes,yes,no,both flat and garden
2118,Gömbi,11.75,male,Unknown Mix,2016-03-22,2016-03-22,2016-05-19,gray,wirehaired,medium,no,yes,yes,yes,yes,yes,no,both flat and garden
2126,Lédi,6.75,female,Unknown Mix,2016-03-06,2016-03-06,2016-05-19,black,short,medium,no,yes,yes,yes,yes,yes,no,garden
2121,Ivett,8.08,female,Cane Corso,2015-10-09,2015-10-09,2016-05-19,black,short,large,yes,yes,yes,no,no,no,no,garden
614,Szentgotthárdi Rex,7.5,male,"Belgian Malinois, Greyhound Mix",2016-05-19,2016-05-20,2016-05-19,yellow,short,medium,yes,,yes,yes,yes,yes,,both flat and garden
2115,Eddy,10.42,male,Unknown Mix,2016-03-22,2016-03-22,2016-05-19,black and brown,short,large,no,yes,yes,no,no,no,no,garden
2124,Kormi,9.67,male,Unknown Mix,2016-04-08,2016-04-08,2016-05-19,black and brown,wirehaired,medium,no,yes,yes,yes,yes,yes,no,both flat and garden
1494,Új Gazdát Keres,9.5,female,Havanese,2016-05-03,2016-05-03,2016-05-21,black and white,medium,small,,yes,yes,,,,,flat
2114,Dorren,12.75,male,Unknown Mix,2016-02-10,2016-02-10,2016-05-19,gray,wirehaired,medium,yes,yes,yes,yes,no,yes,no,garden
396,Pita I.,3.83,female,Unknown Mix,2016-06-01,2016-06-01,2016-06-02,tricolor,short,medium,,,yes,yes,yes,yes,,both flat and garden
2123,Kolos,4.58,male,Unknown Mix,2015-12-04,2015-12-04,2016-05-19,black,wirehaired,medium,yes,yes,yes,yes,yes,yes,no,both flat and garden
2120,Hudini,5.33,male,Unknown Mix,2016-02-21,2016-02-21,2016-05-19,black,short,medium,yes,,yes,yes,no,yes,no,both flat and garden
2122,Jily,7.5,female,Unknown Mix,2015-06-15,2015-06-15,2016-05-19,black,wirehaired,large,yes,,yes,yes,yes,yes,no,garden
582,Kicsi,4.5,female,Unknown Mix,2016-05-20,2016-05-20,2016-06-03,brown,short,small,yes,,yes,yes,yes,yes,,both flat and garden
2117,Gizi,5.25,female,Vizsla Mix,2015-03-05,2015-03-05,2016-05-19,brown,short,medium,no,yes,yes,yes,yes,yes,yes,garden
2112,Camy,10.42,male,Staffordshire Terrier,2015-07-14,2015-07-14,2016-05-19,black,short,medium,yes,yes,yes,yes,no,no,no,both flat and garden
2107,Borzos,11.83,male,Old German Shepherd,2016-02-18,2016-02-18,2016-05-19,black and brown,medium,large,no,yes,yes,no,no,no,no,garden
541,Bundás,6.58,female,Unknown Mix,2015-05-01,2015-05-01,2016-05-11,black and brown,medium,medium,yes,,yes,,yes,yes,,both flat and garden
543,Belgák,8.58,male,Belgian Sheepdog Mix,2014-04-05,2014-04-05,2016-05-11,black and brown,medium,medium,,,yes,,,,,
2103,Becky,5.92,female,Staffordshire Terrier Mix,2016-01-29,2016-01-29,2016-05-19,striped,short,medium,yes,,yes,yes,yes,no,no,both flat and garden
540,Bodri,6.58,male,Puli,2015-08-01,2015-08-01,2016-05-11,gray,long,medium,,,yes,,yes,yes,,both flat and garden
2105,Betyár,8.75,male,Unknown Mix,2016-03-25,2016-03-25,2016-05-19,brown,short,medium,no,yes,yes,no,no,no,no,garden
1047,Lennox,4.5,male,Unknown Mix,2016-04-16,2016-04-16,2016-05-15,brown and white,medium,medium,yes,,yes,yes,yes,yes,no,both flat and garden
2113,Dalton,5.75,male,Unknown Mix,2016-03-03,2016-03-03,2016-05-19,striped,short,medium,no,yes,yes,yes,yes,yes,no,both flat and garden
1493,Lati,7.58,male,Unknown Mix,2016-04-29,2016-04-30,2016-05-13,sable,short,medium,no,,yes,,,,,both flat and garden
2111,Buksi,11.67,male,Setter Mix,2016-04-07,2016-04-07,2016-05-19,black,medium,medium,no,yes,yes,yes,no,yes,no,garden
1036,Greg,6.5,male,Unknown Mix,2016-04-10,2016-04-10,2016-05-15,brown and white,short,medium,yes,,yes,yes,,yes,,both flat and garden
2106,Bobi,9.58,male,Unknown Mix,2015-05-15,2015-05-15,2016-05-19,gray,short,medium,yes,yes,yes,yes,no,yes,no,garden
1039,Marcus,4.5,male,Unknown Mix,2016-03-20,2016-03-20,2016-05-15,black and brown,short,medium,yes,,yes,yes,no,yes,,both flat and garden
2110,Buena,4.58,female,Unknown Mix,2016-04-18,2016-04-18,2016-05-19,black and brown,short,large,no,,yes,yes,yes,yes,no,garden
2108,Boxi,4.67,male,Unknown Mix,2016-05-04,2016-05-04,2016-05-19,brown,short,large,no,yes,yes,yes,yes,yes,no,garden
2104,Beka,4.42,female,Unknown Mix,2016-03-20,2016-03-20,2016-05-19,black,short,medium,no,,yes,yes,yes,yes,no,both flat and garden
2109,Brissi,4.75,female,Unknown Mix,2015-09-17,2015-09-17,2016-05-19,black,short,small,yes,,yes,yes,yes,yes,no,both flat and garden
3003,Jose,5.58,male,Unknown Mix,2016-05-14,2016-05-14,2016-05-16,brown and white,short,medium,yes,,yes,,yes,yes,,both flat and garden
2102,Bald,4.75,male,Unknown Mix,2016-03-28,2016-03-28,2016-05-19,brown,short,small,no,,yes,yes,yes,yes,no,both flat and garden
235,Mazsi,12.92,female,Labrador Retriever Mix,2010-12-03,2010-12-03,2016-05-03,black,short,medium,yes,,yes,,yes,,,both flat and garden
227,Szami,10.92,female,Unknown Mix,2010-12-17,2010-12-17,2016-05-03,black,short,medium,yes,,yes,,yes,,,both flat and garden
233,Linda,11.92,female,Unknown Mix,2010-12-03,2010-12-03,2016-05-03,black,short,medium,yes,,yes,,yes,,,both flat and garden
1993,Janka,8.5,female,Unknown Mix,2016-03-31,2016-03-31,2016-05-04,black,short,medium,yes,,yes,,yes,,,both flat and garden
230,Tücsök,12.92,female,Dachshund Mix,2012-03-01,2012-03-01,2016-05-03,black and tan,short,small,yes,,yes,,yes,,,flat
237,Huncutka,12.92,female,German Shepherd Dog Mix,2010-12-03,2010-12-03,2016-05-03,black and tan,short,medium,yes,,yes,,yes,,,both flat and garden
238,Artúr,12.92,male,Unknown Mix,2010-12-03,2010-12-03,2016-05-03,gray and white,wirehaired,medium,no,,yes,,no,yes,,garden
232,Lady,14.92,female,Unknown Mix,2010-12-03,2010-12-03,2016-05-03,yellow-brown,short,medium,yes,,yes,,yes,,,both flat and garden
236,Bodrog,12.92,male,Unknown Mix,2010-12-03,2010-12-03,2016-05-03,yellow-brown,wirehaired,medium,no,,yes,,,yes,,both flat and garden
1990,Bobi,7.83,male,German Shepherd Dog Mix,2016-03-31,2016-03-31,2016-05-03,sable,medium,large,no,,yes,,,yes,,both flat and garden
234,Gigi,13.92,female,Pointer Mix,2010-12-03,2010-12-03,2016-05-03,dotted,short,medium,yes,,yes,,yes,,,garden
1491,Rexi,6.58,male,Unknown Mix,2016-04-12,2016-04-13,2016-05-04,sable,short,medium,no,,yes,yes,,,,garden
581,Johnny,6.75,male,Unknown Mix,2016-05-04,2016-05-04,2016-05-05,saddle back,short,large,yes,,yes,yes,yes,yes,yes,garden
241,Bea,9.33,female,German Shepherd Dog Mix,2015-02-11,2015-02-11,2016-05-03,sable,short,large,yes,,yes,,yes,yes,,garden
2695,Homár,6.58,male,Unknown Mix,2016-04-28,2016-05-21,2016-05-05,black,short,medium,,,yes,yes,yes,yes,,both flat and garden
1998,Táncos,5.0,male,Unknown Mix,2016-04-15,2016-04-15,2016-05-04,yellow-brown,short,medium,yes,,yes,,,yes,,both flat and garden
221,Frenki,11.92,male,Labrador Retriever Mix,2016-04-20,2016-04-20,2016-05-03,yellow-brown,short,large,no,,yes,,,yes,,both flat and garden
224,Lui,10.92,male,Unknown Mix,2014-02-24,2014-02-24,2016-05-03,black,short,small,no,,yes,,,yes,,both flat and garden
1492,Süti,7.58,male,Beagle,2016-04-28,2016-04-29,2016-05-06,tricolor,short,medium,no,,yes,yes,,,,both flat and garden
231,Hajni,11.92,female,Unknown Mix,2010-12-03,2010-12-03,2016-05-03,black,wirehaired,medium,yes,,yes,,yes,,,both flat and garden
2682,Baltazár,6.42,male,Pumi Mix,2016-04-22,2016-05-07,2016-04-22,black,short,medium,,,yes,yes,,yes,,garden
217,Bogyó,4.92,female,Dachshund Mix,2016-03-01,2016-03-01,2016-04-04,brown,short,small,yes,,yes,,yes,yes,,flat
219,Torma,10.92,male,Unknown Mix,2014-06-06,2014-06-06,2016-04-05,black and tan,wirehaired,small,no,,yes,,,yes,,both flat and garden
1470,Csöpi,19.92,female,Unknown Mix,2016-03-04,2016-03-04,2016-03-26,saddle back,short,medium,no,,,,,,,
1484,Sajóvámosi  Gazdikeresõ,4.67,male,Unknown Mix,2016-04-07,2016-04-08,2016-04-08,striped,wirehaired,medium,no,,yes,,,,,garden
517,Bogyi,6.17,female,Unknown Mix,2015-05-01,2015-07-01,2016-04-13,black,short,medium,yes,,yes,,yes,yes,,both flat and garden
518,Bob,8.67,male,Unknown Mix,2015-05-01,2015-05-01,2016-04-13,yellow,short,small,no,,yes,,yes,yes,,flat
1488,Német Juhász Gazdát Keres,11.58,male,German Shepherd Dog,2016-04-12,2016-04-12,2016-04-22,black and tan,medium,large,no,,yes,,,,,garden
1490,Lucy,5.58,female,Hovawart Mix,2016-04-12,2016-04-12,2016-04-29,black and brown,long,large,,,yes,,,,,garden
1468,Nusi,7.67,female,Unknown Mix,2016-02-27,2016-02-27,2016-03-26,brown,medium,small,,,,,,,,
502,Alíz,7.17,female,Unknown Mix,2014-04-05,2014-05-15,2016-04-09,black,short,medium,yes,,yes,,yes,yes,,both flat and garden
220,Dorka,13.92,female,German Pointer Mix,2011-01-01,2011-01-01,2016-04-05,brown,wirehaired,large,yes,,yes,,yes,,,both flat and garden
1483,Bessy,10.67,female,German Shepherd Dog,2016-04-04,2016-04-04,2016-04-05,black and tan,medium,large,no,,yes,yes,no,no,no,garden
1489,Keverék Kutyus Gazdit Keres,5.58,female,Dachshund Mix,2016-04-20,2016-04-20,2016-04-27,black and brown,short,small,no,,yes,,,,,both flat and garden
1486,Angel,6.58,female,Unknown Mix,2016-04-11,2016-04-12,2016-04-15,yellow-brown,wirehaired,medium,no,yes,yes,yes,,,,both flat and garden
1485,Keverék Kiskutya Gazdit Keres,3.67,male,Unknown Mix,2016-04-06,2016-05-15,2016-04-13,white,short,small,no,no,yes,yes,yes,yes,yes,flat
527,Gyufa,8.58,male,Dachshund Mix,2015-11-19,2015-11-19,2016-04-22,black and white,short,small,yes,,,,,,,
77,,7.67,female,Unknown Mix,2016-04-03,2016-04-03,2016-04-03,yellow-brown,short,small,,,,,,,,
1471,Linda,12.25,female,Unknown Mix,2016-03-04,2016-03-04,2016-03-26,brown,short,medium,,,,,,,,
2670,Gabi,4.75,male,German Shepherd Dog Mix,2016-03-27,2016-05-07,2016-03-30,black and brown,short,medium,,,yes,yes,yes,,,garden
1461,Tacsi Pacsi,4.83,male,Unknown Mix,2016-02-21,2016-02-21,2016-03-26,black,medium,medium,,,,,,,,
1451,Demi,18.92,male,Dachshund Mix,2016-01-22,2016-01-22,2016-03-26,brown,medium,small,,,,,,,,
1482,Gazdát Keres,6.67,female,Caucasian Ovtcharka,2016-03-18,2016-03-20,2016-03-25,saddle back,medium,large,yes,,yes,,,,,garden
576,Katie,8.17,female,Labrador Retriever Mix,2015-01-31,2015-01-31,2016-03-21,yellow,short,medium,yes,,yes,,yes,yes,,both flat and garden
1452,Roxána,15.58,female,Fox Terrier Mix,2016-01-22,2016-01-22,2016-03-26,tricolor,short,small,,,,,,,,
562,Thomas,4.83,male,Unknown Mix,2016-01-01,2016-01-01,2016-03-21,tricolor,short,medium,yes,,yes,,yes,yes,,both flat and garden
1463,Cuki,9.08,male,Unknown Mix,2016-02-22,2016-02-22,2016-03-26,red,short,medium,,,,,,,,
1458,Adél,5.92,female,Unknown Mix,2016-01-29,2016-01-29,2016-03-26,striped,short,medium,,,,,,,,
1454,Írisz,3.92,female,Unknown Mix,2016-01-23,2016-01-23,2016-03-26,black,short,medium,,,,,,,,
1459,Kendi,5.92,female,Unknown Mix,2016-02-28,2016-02-28,2016-03-26,black and brown,short,small,,,,,,,,
1457,Cipó,4.08,male,Unknown Mix,2016-02-02,2016-02-02,2016-03-26,tricolor,wirehaired,small,,,,,,,,
1455,Cinke,9.33,female,Fox Terrier Mix,2016-02-02,2016-02-02,2016-03-26,black and white,short,small,,,,,,,,
1460,Morgen,9.17,male,Unknown Mix,2016-02-19,2016-02-19,2016-03-26,brown,long,large,,,,,,,,
1453,Isti,3.92,male,Unknown Mix,2016-01-21,2016-01-21,2016-03-26,black,short,medium,,,,,,,,
1464,Lora,8.5,female,Unknown Mix,2016-02-22,2016-02-22,2016-03-26,black,short,medium,,,,,,,,
1449,Mázli,5.92,male,Dachshund Mix,2016-01-21,2016-01-21,2016-03-26,black,short,medium,,,,,,,,
1462,Dani,11.75,male,Unknown Mix,2016-02-22,2016-02-22,2016-03-26,yellow-brown,short,small,,,,,,,,
577,Cliff,10.08,male,Staffordshire Terrier Mix,2014-12-30,2014-12-30,2016-03-21,black and brown,short,medium,yes,,yes,,no,yes,,both flat and garden
1466,Vendi,5.75,male,Unknown Mix,2016-02-23,2016-02-23,2016-03-26,brown,short,medium,,,,,,,,
1465,Polly,8.5,female,Unknown Mix,2016-02-22,2016-02-22,2016-03-26,black,short,medium,,,,,,,,
1262,Szigethalmi Maci,12.75,male,Caucasian Ovtcharka,2016-03-12,2016-03-13,2016-03-16,gray and white,long,large,no,no,yes,yes,no,no,no,garden
1443,Gléda,3.92,female,Unknown Mix,2016-01-19,2016-01-19,2016-03-15,black,short,medium,,,,,,,,
1435,Stella,12.67,female,Unknown Mix,2016-01-08,2016-01-08,2016-03-13,black,wirehaired,small,,,,,,,,
1438,Klió,5.92,male,Unknown Mix,2016-01-14,2016-01-14,2016-03-15,black and white,long,medium,yes,,,,,,,
1447,Gandalf,3.92,male,Unknown Mix,2016-01-16,2016-01-16,2016-03-15,white,short,medium,,,,,,,,
1446,Gomez,3.92,male,Unknown Mix,2016-01-19,2016-01-19,2016-03-15,white,short,medium,,,,,,,,
1445,Gixer,3.92,male,Unknown Mix,2016-01-19,2016-01-19,2016-03-15,saddle back,short,medium,,,,,,,,
1436,Csipszi,5.0,female,Whippet Mix,2016-01-09,2016-01-09,2016-03-13,black and brown,short,medium,,,,,,,,
1433,Hudini,9.92,female,Unknown Mix,2015-12-30,2015-12-30,2016-03-13,red and white,short,small,yes,,yes,,,,,
1434,Sámson,5.25,male,Unknown Mix,2016-01-06,2016-01-06,2016-03-13,gray,long,large,yes,,,,,,,
1441,Gréta,3.92,female,Unknown Mix,2016-01-19,2016-01-19,2016-03-15,black and brown,medium,medium,,,,,,,,
1442,Garbó,3.92,male,Unknown Mix,2016-01-19,2016-01-19,2016-03-15,brown,long,medium,,,,,,,,
1448,Gamma,3.92,female,Unknown Mix,2016-01-19,2016-01-19,2016-03-15,brown,short,medium,,,,,,,,
1437,Mecset,5.5,male,Unknown Mix,2016-01-14,2016-01-14,2016-03-13,white,long,medium,yes,,,,yes,,,
1481,Német Juhász Keverék Gazdát Keres,10.67,male,"German Shepherd Dog, Siberian Husky Mix",2016-03-10,2016-03-11,2016-03-21,black and brown,long,large,no,,yes,,,,,garden
1480,Dézi És Bogár,14.75,female,German Shepherd Dog,2016-03-09,2016-03-09,2016-03-16,black and tan,short,large,,,yes,,,,,garden
1440,Piroska,4.83,female,Pinscher Mix,2016-01-18,2016-01-18,2016-03-15,brown,short,small,,,,,,,,
1444,Glenda,3.92,female,Unknown Mix,2016-01-19,2016-01-19,2016-03-15,black,short,medium,,,,,,,,
210,Cuki,4.42,female,Unknown Mix,2016-03-01,2016-03-01,2016-03-20,spotty,short,small,yes,,yes,,yes,yes,,both flat and garden
1439,Áfonya,4.83,female,Beagle Mix,2016-01-18,2016-01-18,2016-03-15,yellow,short,medium,,,,,,,,
514,Noel,5.92,male,Spaniel Mix,2015-12-26,2015-12-26,2016-02-13,black and white,medium,medium,yes,,,,,,,
1474,Német Juhász Gazdától Hirdetve,7.75,male,German Shepherd Dog,2016-02-09,2016-02-10,2016-02-16,black and tan,short,large,no,,yes,,,,,garden
1432,Kira,4.5,female,"Chinese Shar-Pei, Vizsla Mix",2015-12-24,2015-12-24,2016-03-13,black,short,medium,,,,,,,,
175,Kormi,5.25,female,Dachshund Mix,2016-01-02,2016-02-15,2016-02-15,black,short,small,no,yes,yes,yes,yes,yes,yes,both flat and garden
233,Pongó,5.83,male,Puli Mix,2016-01-12,2016-01-12,2016-02-15,black,medium,medium,yes,,,,,,,
1431,Klotild,4.67,female,Unknown Mix,2015-12-08,2015-12-08,2016-03-13,black and white,short,medium,yes,,,,,,,
1969,Mente,8.08,female,Unknown Mix,2016-01-24,2016-01-24,2016-02-10,black,wirehaired,small,no,,yes,,yes,yes,,both flat and garden
1425,Süti,4.58,female,Unknown Mix,2015-12-15,2015-12-15,2016-03-13,black and white,medium,medium,yes,,,,,,,
1422,Bella,4.5,female,Unknown Mix,2015-12-08,2015-12-08,2016-03-13,brown,short,medium,yes,,,,,,,
1428,Brenda,4.17,female,Unknown Mix,2015-12-17,2015-12-17,2016-03-13,black and brown,short,medium,,,,,,,,
232,Szõrmók,5.25,male,Dachshund Mix,2015-12-26,2015-12-26,2016-02-15,wild boar,wirehaired,small,yes,,,,,,,
515,Rozikakutya,11.83,female,Spaniel Mix,2016-01-26,2016-01-26,2016-02-13,golden,medium,medium,yes,,,,,,,
231,Dörzsi,5.5,male,Welsh Terrier Mix,2016-01-15,2016-01-15,2016-02-15,black and tan,short,medium,yes,,,,,,,
1477,Puli Gazdától Hirdetve,9.75,female,Puli,2016-02-29,2016-03-02,2016-03-02,black,long,medium,yes,,,,,,,garden
1479,Bundi,4.08,female,Unknown Mix,2016-03-08,2016-03-08,2016-03-11,black and brown,medium,medium,no,,yes,yes,yes,yes,,both flat and garden
1473,Gazdieresõ Kölykök,4.0,male,Unknown Mix,2016-02-09,2016-02-09,2016-02-11,brown and white,short,medium,,,yes,yes,yes,yes,yes,both flat and garden
7535,Nonó,6.25,female,"Fox Terrier, Staffordshire Terrier Mix",2016-02-01,2016-02-01,2016-02-15,tricolor,short,medium,yes,yes,yes,yes,yes,yes,yes,both flat and garden
174,Boróka,4.17,female,Unknown Mix,2016-01-25,2016-02-15,2016-02-15,black,wirehaired,medium,no,no,yes,yes,yes,yes,yes,both flat and garden
1423,Sarolta,4.58,female,Unknown Mix,2015-12-11,2015-12-11,2016-03-13,black and white,short,medium,yes,,,,,,,
1478,Keverék Kutya Befogadótól Hirdetve,5.75,male,Unknown Mix,2016-02-29,2016-03-01,2016-03-09,black and brown,short,medium,no,,yes,yes,yes,yes,yes,garden
509,Forest,6.25,male,English Cocker Spaniel,2015-09-08,2015-09-08,2016-01-27,brown,medium,medium,yes,,,,,,,
507,Kende,9.75,male,Unknown Mix,2015-03-05,2015-03-05,2016-01-27,black and tan,medium,medium,,,,,,,,
1420,Ágota,4.0,female,Labrador Retriever Mix,2015-12-07,2015-12-07,2015-12-26,black,short,medium,,,,,,,,
1957,Tipi,6.5,male,Unknown Mix,2015-12-16,2015-12-16,2016-02-10,gray,medium,small,yes,yes,yes,,,yes,,flat
1466,Árván Maradt Kutyus Gazdit Keres,8.83,male,Unknown Mix,2016-01-17,2016-01-18,2016-01-26,black,long,medium,no,yes,yes,,,,,flat
1465,Szultán És Jessy,9.83,male,Schnauzer Mix,2016-01-16,2016-01-17,2016-01-22,gray,short,medium,no,,yes,,,,yes,garden
1459,Új Gazdát Keres,4.42,male,Canary Dog Mix,2015-12-19,2015-12-20,2016-01-05,apricot,short,medium,,,yes,,,,,garden
1468,Mályiban Talált Kutyus,4.83,female,Dachshund Mix,2016-01-17,2016-01-18,2016-02-01,tricolor,short,small,,yes,yes,,,,,both flat and garden
1464,Keverék Kutyusok Gazdit Keresnek,4.08,male,Unknown Mix,2016-01-14,2016-01-14,2016-01-20,black and white,medium,large,no,,yes,yes,yes,yes,yes,garden
1471,Negro,10.83,male,Schnauzer Mix,2016-01-29,2016-01-30,2016-02-03,black,wirehaired,medium,no,,yes,,,,,garden
1461,Börnike,11.92,male,Fox Terrier Mix,2016-01-09,2016-01-09,2016-01-12,brown and white,wirehaired,medium,no,yes,yes,,,,,both flat and garden
1463,Gazdától Hirdetve,4.33,male,Unknown Mix,2016-01-10,2016-01-11,2016-01-19,tricolor,wirehaired,medium,no,,yes,,,,,garden
1460,Keverék Szuka Kutyus Befogadótól,4.5,female,Unknown Mix,2015-12-22,2015-12-21,2016-01-06,black and white,short,medium,no,,yes,,,,,both flat and garden
1418,Álmos,4.0,male,Labrador Retriever Mix,2015-12-07,2015-12-07,2015-12-26,black,short,medium,,,,,,,,
1416,Árvácska,4.0,female,Labrador Retriever Mix,2015-12-07,2015-12-07,2015-12-26,black,short,small,,,,,,,,
1959,Zazi,8.17,male,Puli Mix,2015-12-28,2015-12-28,2016-02-10,black,medium,medium,no,,yes,,,yes,,both flat and garden
1467,Rex,6.5,male,German Shepherd Dog,2016-01-17,2016-01-18,2016-01-27,saddle back,medium,large,no,,yes,no,,,,garden
2812,Manuel,9.42,male,Puli,2016-01-07,2016-01-07,2016-01-07,black,long,medium,,,yes,,yes,yes,,both flat and garden
2832,Rodolfo,4.5,male,Unknown Mix,2016-01-10,2016-01-10,2016-01-17,black,short,small,yes,,yes,,,,,both flat and garden
1249,Ócsai Borsa,5.83,male,Schnauzer Mix,2016-01-15,2016-01-15,2016-01-15,black,wirehaired,medium,yes,yes,yes,yes,yes,yes,no,both flat and garden
2739,Bálint,11.0,male,"Dachshund, Spaniel Mix",2015-11-20,2015-11-20,2015-11-23,brown,medium,small,,,yes,,yes,yes,no,both flat and garden
375,Lui,7.25,male,Labrador Retriever Mix,2015-09-17,2015-09-17,2015-11-27,black,short,medium,yes,yes,yes,yes,,yes,,both flat and garden
7463,Bingó,4.5,male,Dachshund Mix,2015-12-11,2015-12-11,2015-12-15,black and white,short,small,no,,yes,yes,yes,yes,yes,both flat and garden
201,Luna,11.83,female,Unknown Mix,2014-05-05,2014-05-05,2015-12-08,black,medium,medium,yes,,yes,,yes,yes,,both flat and garden
1414,Ági,6.0,female,Labrador Retriever Mix,2015-12-07,2015-12-07,2015-12-26,black,short,medium,,,,,,,,
1415,Ágnes,4.0,male,Labrador Retriever Mix,2015-12-07,2015-12-07,2015-12-26,black,short,small,,,,,,,,
199,Molly,5.58,female,Unknown Mix,2014-11-29,2014-11-29,2015-12-08,brown,short,medium,yes,,yes,,yes,,,both flat and garden
1117,Wilbur,10.92,male,Unknown Mix,2015-09-01,2015-09-01,2015-11-28,apricot,short,large,yes,,,,,,,
363,Loki,5.0,male,Unknown Mix,2015-11-24,2015-11-24,2015-11-25,striped,short,large,,,yes,yes,yes,yes,,garden
197,Vénusz,6.17,female,Unknown Mix,2014-07-27,2014-07-27,2015-12-08,brown,short,large,yes,,yes,,yes,,,both flat and garden
1457,Új Gazdát Keres,12.92,male,German Shepherd Dog Mix,2015-12-16,2015-12-16,2015-12-17,black and tan,medium,medium,no,,,,,,,garden
501,Soma,6.33,male,Spaniel Mix,2015-08-02,2015-08-02,2015-12-02,black and tan,short,medium,yes,,,,,,,
2760,Maci,8.0,male,Tibetan Mastiff Mix,2015-12-04,2015-12-04,2015-12-04,black,medium,large,,,yes,,,,,both flat and garden
1392,Hoffmann,11.92,male,Labrador Retriever Mix,2015-11-11,2015-11-11,2015-12-26,black,short,large,,,,,,,,
295,Vojtek,4.92,male,Unknown Mix,2015-09-01,2015-10-01,2015-11-27,black and white,long,medium,yes,yes,yes,yes,yes,yes,no,flat
195,Lobo,6.92,male,Unknown Mix,2015-04-29,2015-04-29,2015-12-08,black,wirehaired,large,no,,,,,yes,,garden
7444,Lui,7.0,male,Labrador Retriever,2015-09-19,2015-09-19,2015-11-24,black,short,medium,yes,yes,yes,yes,yes,yes,,both flat and garden
198,Tea,14.92,female,German Shepherd Dog Mix,2014-06-25,2014-06-25,2015-12-08,black and brown,wirehaired,large,yes,,yes,,,,,garden
196,Füles,7.92,male,Dachshund Mix,2015-05-12,2015-05-12,2015-12-08,black and brown,short,small,no,,yes,,,yes,,both flat and garden
1397,Bundi,10.92,female,Puli Mix,2015-11-19,2015-11-19,2015-12-26,black,long,medium,,,,,,,,
1375,Vagány,5.67,male,Unknown Mix,2015-10-08,2015-10-08,2015-11-03,gray,long,medium,,,,,,,,
170,Akela,4.83,female,Unknown Mix,2015-10-05,2015-10-05,2015-11-14,saddle back,short,medium,yes,,yes,,yes,,,both flat and garden
160,Stella,4.75,female,Unknown Mix,2015-10-05,2015-10-05,2015-11-10,black,short,medium,yes,,yes,,yes,yes,,both flat and garden
167,Mary,5.0,female,Unknown Mix,2015-10-05,2015-10-05,2015-11-14,saddle back,short,medium,yes,,yes,,yes,,,garden
157,Bora,4.92,female,Terrier Mix,2015-09-23,2015-09-23,2015-11-08,black and tan,wirehaired,medium,yes,,yes,,yes,,,both flat and garden
158,Borcsa,4.92,female,Terrier Mix,2015-10-05,2015-10-05,2015-11-10,brown,wirehaired,medium,yes,,yes,,yes,yes,,both flat and garden
