MSW3_ID	Scientific	MSWFamilyLatin	Diet-Inv	Diet-Vend	Diet-Vect	Diet-Vfish	Diet-Vunk	Diet-Scav	Diet-Fruit	Diet-Nect	Diet-Seed	Diet-PlantO	Diet-Source	Diet-Certainty	ForStrat-Value	ForStrat-Certainty	ForStrat-Comment	Activity-Nocturnal	Activity-Crepuscular	Activity-Diurnal	Activity-Source	Activity-Certainty	BodyMass-Value	BodyMass-Source	BodyMass-SpecLevel
1117	Tamias dorsalis	Sciuridae	0	0	0	0	0	0	50	0	50	0	Ref_1	ABC	G	A		0	0	1	Ref_1	ABC	71.1	Ref_117	1
1118	Tamias durangae	Sciuridae	0	0	0	0	0	0	50	0	50	0	Ref_1	ABC	G	A		0	0	1	Ref_1	ABC	85	Ref_117	1
1119	Tamias merriami	Sciuridae	0	0	0	0	0	0	50	0	50	0	Ref_1	ABC	G	A		0	0	1	Ref_1	ABC	74.8	Ref_117	1
1120	Tamias minimus	Sciuridae	0	0	0	0	0	0	50	0	50	0	Ref_1	ABC	G	A		0	0	1	Ref_1	ABC	135.27	Ref_117	1
1121	Tamias obscurus	Sciuridae	0	0	0	0	0	0	50	0	50	0	Ref_1	ABC	G	A		0	0	1	Ref_1	ABC	73	Ref_117	1
1122	Tamias ochrogenys	Sciuridae	0	0	0	0	0	0	50	0	50	0	Ref_1	ABC	G	A		0	0	1	Ref_1	ABC	91.7	Ref_117	1
1123	Tamias canipes	Sciuridae	0	0	0	0	0	0	50	0	50	0	Ref_1	ABC	G	A		0	0	1	Ref_1	ABC	70.4	Ref_117	1
1124	Graphiurus lorraineus	Gliridae	20	20	0	0	20	0	20	0	20	0	Ref_1	ABC	S	A		1	0	0	Ref_1	ABC	27	Ref_117	1
1125	Graphiurus surdus	Gliridae	20	20	0	0	20	0	20	0	20	0	Ref_1	ABC	S	A		1	0	0	Ref_1	ABC	20.01	Ref_117	1
1126	Graphiurus rupicola	Gliridae	20	20	0	0	20	0	20	0	20	0	Ref_1	ABC	S	A		1	0	0	Ref_1	ABC	24.53	Ref_178	2
1127	Graphiurus platyops	Gliridae	20	20	0	0	20	0	20	0	20	0	Ref_1	ABC	S	A		1	0	0	Ref_1	ABC	46.1	Ref_117	1
1128	Graphiurus ocularis	Gliridae	20	20	0	0	20	0	20	0	20	0	Ref_1	ABC	S	A		1	0	0	Ref_1	ABC	30.3	Ref_117	1
1129	Graphiurus murinus	Gliridae	20	20	0	0	20	0	20	0	20	0	Ref_1	ABC	S	A		1	0	0	Ref_1	ABC	19.08	Ref_117	1
1130	Graphiurus kelleni	Gliridae	20	20	0	0	20	0	20	0	20	0	Ref_1	ABC	S	A		1	0	0	Ref_1	ABC	10.5	Ref_58	1
1131	Graphiurus johnstoni	Gliridae	20	20	0	0	20	0	20	0	20	0	Ref_2	D1	S	A		1	0	0	Ref_2	D1	23.96	"Ref_2, Ref_3"	0
1132	Graphiurus christyi	Gliridae	20	20	0	0	20	0	20	0	20	0	Ref_1	ABC	S	A		1	0	0	Ref_1	ABC	23.83	Ref_178	2
1133	Graphiurus angolensis	Gliridae	20	20	0	0	20	0	20	0	20	0	Ref_2	D1	S	A		1	0	0	Ref_2	D1	23.96	"Ref_2, Ref_3"	0
1134	Graphiurus microtis	Gliridae	20	20	0	0	20	0	20	0	20	0	Ref_1	ABC	S	A		1	0	0	Ref_1	ABC	25.18	Ref_178	2
1135	Graphiurus monardi	Gliridae	20	20	0	0	20	0	20	0	20	0	Ref_1	ABC	S	A		1	0	0	Ref_1	ABC	25.05	Ref_178	2
1136	Graphiurus nagtglasii	Gliridae	20	20	0	0	20	0	20	0	20	0	Ref_1	ABC	S	A		1	0	0	Ref_1	ABC	30	Ref_58	1
1137	Graphiurus crassicaudatus	Gliridae	20	20	0	0	20	0	20	0	20	0	Ref_1	ABC	S	A		1	0	0	Ref_1	ABC	38.22	Ref_178	2
1138	Chaetocauda sichuanensis	Gliridae	10	10	0	0	10	0	20	0	30	20	Ref_1	ABC	Ar	A		1	0	0	Ref_1	ABC	31.51	Ref_58	1
1139	Dryomys nitedula	Gliridae	10	10	0	0	10	0	20	0	30	20	Ref_1	ABC	Ar	A		1	0	0	Ref_1	ABC	33.6	Ref_117	1
1140	Dryomys laniger	Gliridae	10	10	0	0	10	0	20	0	30	20	Ref_1	ABC	Ar	A		1	0	0	Ref_1	ABC	20	Ref_117	1
1141	Dryomys niethammeri	Gliridae	10	10	0	0	10	0	20	0	30	20	Ref_2	D1	Ar	A		1	0	0	Ref_2	D1	25.92	"Ref_2, Ref_3"	0
1142	Eliomys melanurus	Gliridae	30	30	0	0	0	0	20	0	20	0	Ref_2	D1	S	A		1	0	0	Ref_1	ABC	98.7	Ref_117	1
1143	Eliomys munbyanus	Gliridae	30	30	0	0	0	0	20	0	20	0	Ref_2	D1	S	A		1	0	0	Ref_2	D1	106.54	"Ref_2, Ref_3"	0
1144	Eliomys quercinus	Gliridae	30	30	0	0	0	0	20	0	20	0	Ref_2	D1	S	A		1	0	0	Ref_1	ABC	115	Ref_117	1
1145	Muscardinus avellanarius	Gliridae	10	0	0	0	0	0	10	70	0	10	Ref_1	ABC	Ar	A		1	0	0	Ref_1	ABC	27.5	Ref_117	1
1146	Myomimus setzeri	Gliridae	10	20	0	0	10	0	30	0	30	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	37.74	Ref_178	2
1147	Myomimus personatus	Gliridae	10	20	0	0	10	0	30	0	30	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	37.48	Ref_178	2
1148	Myomimus roachi	Gliridae	10	20	0	0	10	0	30	0	30	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	36.99	Ref_178	2
1149	Selevinia betpakdalaensis	Gliridae	100	0	0	0	0	0	0	0	0	0	Ref_1	ABC	G	A		1	1	0	Ref_1	ABC	28	Ref_117	1
1150	Glirulus japonicus	Gliridae	30	0	0	0	20	0	30	0	20	0	Ref_1	ABC	Ar	A		1	0	0	Ref_1	ABC	62.99	Ref_178	2
1151	Glis glis	Gliridae	0	0	0	0	0	0	40	0	60	0	Ref_1	ABC	Ar	A		1	1	0	Ref_1	ABC	128.09	Ref_58	1
1152	Cratogeomys neglectus	Geomyidae	0	0	0	0	0	0	0	0	0	100	Ref_1	ABC	G	A		1	1	0	Ref_3	D2	302.48	Ref_58	1
1153	Cratogeomys tylorhinus	Geomyidae	0	0	0	0	0	0	0	0	0	100	Ref_1	ABC	G	A		1	1	0	Ref_3	D2	403.42	Ref_58	1
1154	Cratogeomys merriami	Geomyidae	0	0	0	0	0	0	0	0	0	100	Ref_1	ABC	G	A		1	1	0	Ref_3	D2	419.99	Ref_58	1
1155	Cratogeomys gymnurus	Geomyidae	0	0	0	0	0	0	0	0	0	100	Ref_1	ABC	G	A		1	1	0	Ref_3	D2	599.99	Ref_58	1
1156	Cratogeomys fumosus	Geomyidae	0	0	0	0	0	0	0	0	0	100	Ref_1	ABC	G	A		1	1	0	Ref_3	D2	150	Ref_58	1
1157	Cratogeomys goldmani	Geomyidae	0	0	0	0	0	0	0	0	0	100	Ref_2	D1	G	A		1	0	0	Ref_3	D2	71.51	Ref_178	2
1158	Cratogeomys castanops	Geomyidae	0	0	0	0	0	0	0	0	0	100	Ref_1	ABC	G	A		1	1	0	Ref_3	D2	266.83	Ref_58	1
1159	Cratogeomys zinseri	Geomyidae	0	0	0	0	0	0	0	0	0	100	Ref_1	ABC	G	A		1	1	0	Ref_3	D2	150	Ref_58	1
1160	Geomys arenarius	Geomyidae	0	0	0	0	0	0	0	0	0	100	Ref_2	D1	G	A		1	1	1	Ref_2	D1	206	Ref_117	1
1161	Geomys knoxjonesi	Geomyidae	0	0	0	0	0	0	0	0	0	100	Ref_2	D1	G	A		1	1	1	Ref_2	D1	172.49	Ref_58	1
1162	Geomys texensis	Geomyidae	0	0	0	0	0	0	0	0	0	100	Ref_2	D1	G	A		1	1	1	Ref_2	D1	189.76	"Ref_2, Ref_3"	0
1163	Geomys tropicalis	Geomyidae	0	0	0	0	0	0	0	0	0	100	Ref_2	D1	G	A		1	1	1	Ref_2	D1	350	Ref_117	1
1164	Geomys personatus	Geomyidae	0	0	0	0	0	0	0	0	0	100	Ref_2	D1	G	A		1	1	1	Ref_2	D1	397	Ref_117	1
1165	Geomys bursarius	Geomyidae	0	0	0	0	0	0	0	0	0	100	Ref_2	D1	G	A		1	1	1	Ref_1	ABC	203.75	Ref_117	1
1166	Geomys pinetis	Geomyidae	0	0	0	0	0	0	0	0	0	100	Ref_2	D1	G	A		1	1	1	Ref_2	D1	85	Ref_117	1
1167	Geomys breviceps	Geomyidae	0	0	0	0	0	0	0	0	0	100	Ref_2	D1	G	A		1	0	0	Ref_1	ABC	136.47	Ref_58	1
1168	Geomys attwateri	Geomyidae	0	0	0	0	0	0	0	0	0	100	Ref_2	D1	G	A		1	1	1	Ref_1	ABC	144.06	Ref_58	1
1169	Orthogeomys grandis	Geomyidae	0	0	0	0	0	0	0	0	0	100	Ref_1	ABC	G	A		0	0	1	Ref_1	ABC	500	Ref_117	1
1170	Orthogeomys cuniculus	Geomyidae	0	0	0	0	0	0	0	0	0	100	Ref_1	ABC	G	A		0	0	1	Ref_1	ABC	500	Ref_117	1
1171	Orthogeomys hispidus	Geomyidae	0	0	0	0	0	0	0	0	0	100	Ref_1	ABC	G	A		0	0	1	Ref_1	ABC	500	Ref_117	1
1172	Orthogeomys lanius	Geomyidae	0	0	0	0	0	0	0	0	0	100	Ref_1	ABC	G	A		0	0	1	Ref_1	ABC	500	Ref_117	1
1173	Orthogeomys cherriei	Geomyidae	0	0	0	0	0	0	0	0	0	100	Ref_1	ABC	G	A		0	0	1	Ref_1	ABC	225	Ref_117	1
1174	Orthogeomys dariensis	Geomyidae	0	0	0	0	0	0	0	0	0	100	Ref_1	ABC	G	A		0	0	1	Ref_1	ABC	438	Ref_117	1
1175	Orthogeomys heterodus	Geomyidae	0	0	0	0	0	0	0	0	0	100	Ref_1	ABC	G	A		0	0	1	Ref_1	ABC	615	Ref_117	1
1176	Orthogeomys matagalpae	Geomyidae	0	0	0	0	0	0	0	0	0	100	Ref_1	ABC	G	A		0	0	1	Ref_1	ABC	293	Ref_128	1
1177	Orthogeomys thaeleri	Geomyidae	0	0	0	0	0	0	0	0	0	100	Ref_1	ABC	G	A		0	0	1	Ref_1	ABC	440.75	Ref_148	1
1178	Orthogeomys underwoodi	Geomyidae	0	0	0	0	0	0	0	0	0	100	Ref_1	ABC	G	A		0	0	1	Ref_1	ABC	250	Ref_117	1
1179	Orthogeomys cavator	Geomyidae	0	0	0	0	0	0	0	0	0	100	Ref_1	ABC	G	A		0	0	1	Ref_1	ABC	650	Ref_117	1
1180	Pappogeomys alcorni	Geomyidae	0	0	0	0	0	0	0	0	0	100	Ref_1	ABC	G	A		1	1	0	Ref_3	D2	150	Ref_117	1
1181	Pappogeomys bulleri	Geomyidae	0	0	0	0	0	0	0	0	0	100	Ref_1	ABC	G	A		1	1	0	Ref_3	D2	150	Ref_117	1
1182	Thomomys clusius	Geomyidae	0	0	0	0	0	0	0	0	0	100	Ref_1	ABC	G	A		1	1	0	Ref_1	ABC	58	Ref_117	1
1183	Thomomys idahoensis	Geomyidae	0	0	0	0	0	0	0	0	0	100	Ref_1	ABC	G	A		1	1	0	Ref_1	ABC	67	Ref_117	1
1184	Thomomys mazama	Geomyidae	0	0	0	0	0	0	0	0	0	100	Ref_1	ABC	G	A		1	1	0	Ref_1	ABC	75	Ref_117	1
1185	Thomomys monticola	Geomyidae	0	0	0	0	0	0	0	0	0	100	Ref_1	ABC	G	A		1	1	0	Ref_1	ABC	80	Ref_117	1
1186	Thomomys talpoides	Geomyidae	0	0	0	0	0	0	0	0	0	100	Ref_1	ABC	G	A		1	1	0	Ref_1	ABC	130.08	Ref_117	1
1187	Thomomys bulbivorus	Geomyidae	0	0	0	0	0	0	0	0	0	100	Ref_1	ABC	G	A		1	1	0	Ref_1	ABC	359.9	Ref_117	1
1188	Thomomys umbrinus	Geomyidae	0	0	0	0	0	0	0	0	0	100	Ref_1	ABC	G	A		1	1	0	Ref_1	ABC	166	Ref_117	1
1189	Thomomys townsendii	Geomyidae	0	0	0	0	0	0	0	0	0	100	Ref_1	ABC	G	A		1	1	0	Ref_1	ABC	263.35	Ref_117	1
1190	Thomomys bottae	Geomyidae	0	0	0	0	0	0	0	0	0	100	Ref_1	ABC	G	A		1	1	0	Ref_1	ABC	114.75	Ref_117	1
1191	Zygogeomys trichopus	Geomyidae	0	0	0	0	0	0	0	0	0	100	Ref_1	ABC	G	A		1	1	0	Ref_3	D2	500	Ref_117	1
1192	Castor canadensis	Castoridae	0	0	0	0	0	0	0	0	0	100	Ref_1	ABC	G	A		1	1	0	Ref_1	ABC	21820	Ref_117	1
1193	Castor fiber	Castoridae	0	0	0	0	0	0	0	0	0	100	Ref_1	ABC	G	A		1	1	0	Ref_1	ABC	19000	Ref_117	1
1194	Dipodomys nitratoides	Heteromyidae	20	0	0	0	0	0	20	0	30	30	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	43.9	Ref_117	1
1195	Dipodomys ordii	Heteromyidae	20	0	0	0	0	0	20	0	30	30	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	60.4	Ref_117	1
1196	Dipodomys panamintinus	Heteromyidae	20	0	0	0	0	0	20	0	30	30	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	74.7	Ref_117	1
1197	Dipodomys phillipsii	Heteromyidae	20	0	0	0	0	0	20	0	30	30	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	41	Ref_117	1
1198	Dipodomys simulans	Heteromyidae	20	0	0	0	0	0	20	0	30	30	Ref_2	D1	G	A		1	0	0	Ref_1	ABC	70.36	"Ref_2, Ref_3"	0
1199	Dipodomys nelsoni	Heteromyidae	20	0	0	0	0	0	20	0	30	30	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	88.6	Ref_117	1
1200	Dipodomys stephensi	Heteromyidae	20	0	0	0	0	0	20	0	30	30	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	69.75	Ref_117	1
1201	Dipodomys gravipes	Heteromyidae	20	0	0	0	0	0	20	0	30	30	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	83.97	Ref_117	1
1202	Dipodomys venustus	Heteromyidae	20	0	0	0	0	0	20	0	30	30	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	72	Ref_117	1
1203	Dipodomys spectabilis	Heteromyidae	20	0	0	0	0	0	20	0	30	30	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	135.88	Ref_117	1
1204	Dipodomys microps	Heteromyidae	20	0	0	0	0	0	20	0	30	30	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	54.6	Ref_117	1
1205	Dipodomys merriami	Heteromyidae	20	0	0	0	0	0	20	0	30	30	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	42	Ref_117	1
1206	Dipodomys heermanni	Heteromyidae	20	0	0	0	0	0	20	0	30	30	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	72	Ref_117	1
1207	Dipodomys elator	Heteromyidae	20	0	0	0	0	0	20	0	30	30	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	77.5	Ref_117	1
1208	Dipodomys deserti	Heteromyidae	20	0	0	0	0	0	20	0	30	30	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	104.5	Ref_117	1
1209	Dipodomys compactus	Heteromyidae	20	0	0	0	0	0	20	0	30	30	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	49.25	Ref_117	1
1210	Dipodomys californicus	Heteromyidae	20	0	0	0	0	0	20	0	30	30	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	84.96	Ref_117	1
1211	Dipodomys agilis	Heteromyidae	20	0	0	0	0	0	20	0	30	30	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	57.85	Ref_117	1
1212	Dipodomys ingens	Heteromyidae	20	0	0	0	0	0	20	0	30	30	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	133.85	Ref_117	1
1213	Microdipodops megacephalus	Heteromyidae	20	0	0	0	0	0	0	0	80	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	10.45	Ref_117	1
1214	Microdipodops pallidus	Heteromyidae	20	0	0	0	0	0	0	0	80	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	12.5	Ref_117	1
1215	Perognathus flavus	Heteromyidae	10	0	0	0	0	0	0	0	80	10	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	7.73	Ref_117	1
1216	Perognathus alticolus	Heteromyidae	10	0	0	0	0	0	0	0	80	10	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	23.99	Ref_58	1
1217	Perognathus amplus	Heteromyidae	10	0	0	0	0	0	0	0	80	10	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	11.7	Ref_117	1
1218	Perognathus fasciatus	Heteromyidae	10	0	0	0	0	0	0	0	80	10	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	11.55	Ref_117	1
1219	Perognathus inornatus	Heteromyidae	10	0	0	0	0	0	0	0	80	10	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	10.88	Ref_117	1
1220	Perognathus longimembris	Heteromyidae	10	0	0	0	0	0	0	0	80	10	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	7.6	Ref_117	1
1221	Perognathus merriami	Heteromyidae	10	0	0	0	0	0	0	0	80	10	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	6.85	Ref_117	1
1222	Perognathus parvus	Heteromyidae	10	0	0	0	0	0	0	0	80	10	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	21.78	Ref_117	1
1223	Perognathus flavescens	Heteromyidae	10	0	0	0	0	0	0	0	80	10	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	8.8	Ref_117	1
1224	Chaetodipus goldmani	Heteromyidae	10	0	0	0	0	0	0	0	80	10	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	23	Ref_117	1
1225	Chaetodipus pernix	Heteromyidae	10	0	0	0	0	0	0	0	80	10	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	17	Ref_117	1
1226	Chaetodipus formosus	Heteromyidae	10	0	0	0	0	0	0	0	80	10	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	19.45	Ref_117	1
1227	Chaetodipus penicillatus	Heteromyidae	10	0	0	0	0	0	0	0	80	10	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	16.89	Ref_117	1
1228	Chaetodipus fallax	Heteromyidae	10	0	0	0	0	0	0	0	80	10	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	18.7	Ref_117	1
1229	Chaetodipus eremicus	Heteromyidae	20	0	0	0	0	0	0	0	70	10	Ref_2	D1	G	A		1	0	0	Ref_1	ABC	20.31	"Ref_2, Ref_3"	0
1230	Chaetodipus dalquesti	Heteromyidae	20	0	0	0	0	0	0	0	70	10	Ref_2	D1	G	A		1	0	0	Ref_1	ABC	20.31	"Ref_2, Ref_3"	0
1231	Chaetodipus californicus	Heteromyidae	10	0	0	0	0	0	0	0	80	10	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	22	Ref_117	1
1232	Chaetodipus baileyi	Heteromyidae	10	0	0	0	0	0	0	0	80	10	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	26.35	Ref_117	1
1233	Chaetodipus artus	Heteromyidae	10	0	0	0	0	0	0	0	80	10	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	21.74	Ref_178	2
1234	Chaetodipus arenarius	Heteromyidae	10	0	0	0	0	0	0	0	80	10	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	23	Ref_117	1
1235	Chaetodipus intermedius	Heteromyidae	10	0	0	0	0	0	0	0	80	10	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	16.5	Ref_117	1
1236	Chaetodipus lineatus	Heteromyidae	10	0	0	0	0	0	0	0	80	10	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	23	Ref_117	1
1237	Chaetodipus hispidus	Heteromyidae	10	0	0	0	0	0	0	0	80	10	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	32	Ref_117	1
1238	Chaetodipus rudinoris	Heteromyidae	20	0	0	0	0	0	0	0	70	10	Ref_2	D1	G	A		1	0	0	Ref_1	ABC	20.31	"Ref_2, Ref_3"	0
1239	Chaetodipus spinatus	Heteromyidae	10	0	0	0	0	0	0	0	80	10	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	16.35	Ref_117	1
1240	Chaetodipus nelsoni	Heteromyidae	10	0	0	0	0	0	0	0	80	10	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	15.75	Ref_117	1
1241	Heteromys oresterus	Heteromyidae	0	0	0	0	0	0	0	0	30	70	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	74.8	Ref_117	1
1242	Heteromys teleus	Heteromyidae	0	0	0	0	0	0	0	0	30	70	Ref_2	D1	G	A		1	0	0	Ref_1	ABC	83.95	"Ref_2, Ref_3"	0
1243	Heteromys oasicus	Heteromyidae	0	0	0	0	0	0	0	0	30	70	Ref_2	D1	G	A		1	0	0	Ref_1	ABC	83.95	"Ref_2, Ref_3"	0
1244	Heteromys gaumeri	Heteromyidae	0	0	0	0	0	0	0	0	30	70	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	63.6	Ref_117	1
1245	Heteromys desmarestianus	Heteromyidae	0	0	0	0	0	0	0	0	30	70	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	72.5	Ref_117	1
1246	Heteromys australis	Heteromyidae	0	0	0	0	0	0	0	0	30	70	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	267.5	Ref_117	1
1247	Heteromys anomalus	Heteromyidae	0	0	0	0	0	0	0	0	30	70	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	70	Ref_117	1
1248	Heteromys nelsoni	Heteromyidae	0	0	0	0	0	0	0	0	30	70	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	54.2	Ref_117	1
1249	Liomys adspersus	Heteromyidae	0	0	0	0	0	0	0	0	50	50	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	65	Ref_117	1
1250	Liomys irroratus	Heteromyidae	0	0	0	0	0	0	0	0	50	50	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	50	Ref_117	1
1251	Liomys spectabilis	Heteromyidae	0	0	0	0	0	0	0	0	50	50	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	65	Ref_117	1
1252	Liomys salvini	Heteromyidae	0	0	0	0	0	0	0	0	50	50	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	42	Ref_117	1
1253	Liomys pictus	Heteromyidae	0	0	0	0	0	0	0	0	50	50	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	40	Ref_117	1
1254	Allactaga elater	Dipodidae	20	0	0	0	0	0	0	0	50	30	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	59	Ref_117	1
1255	Allactaga major	Dipodidae	20	0	0	0	0	0	0	0	50	30	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	350	Ref_117	1
1256	Allactaga vinogradovi	Dipodidae	20	0	0	0	0	0	0	0	50	30	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	90.51	Ref_178	2
1257	Allactaga severtzovi	Dipodidae	20	0	0	0	0	0	0	0	50	30	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	159	Ref_117	1
1258	Allactaga firouzi	Dipodidae	20	0	0	0	0	0	0	0	50	30	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	92.39	Ref_178	2
1259	Allactaga hotsoni	Dipodidae	20	0	0	0	0	0	0	0	50	30	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	76.5	Ref_117	1
1260	Allactaga sibirica	Dipodidae	70	0	0	0	0	0	0	0	0	30	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	97.5	Ref_117	1
1261	Allactaga balikunica	Dipodidae	20	0	0	0	0	0	0	0	50	30	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	93.08	Ref_178	2
1262	Allactaga bullata	Dipodidae	20	0	0	0	0	0	0	0	50	30	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	89.35	Ref_178	2
1263	Allactaga euphratica	Dipodidae	20	0	0	0	0	0	0	0	50	30	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	232	Ref_117	1
1264	Allactaga williamsi	Dipodidae	20	0	0	0	0	0	0	0	50	30	Ref_2	D1	G	A		1	0	0	Ref_1	ABC	116.74	"Ref_2, Ref_3"	0
1265	Allactaga tetradactyla	Dipodidae	20	0	0	0	0	0	0	0	50	30	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	52	Ref_117	1
1266	Allactodipus bobrinskii	Dipodidae	20	0	0	0	0	0	10	0	40	30	Ref_3	D2	G	A		1	0	0	Ref_1	ABC	65.3	Ref_146	1
1267	Pygeretmus shitkovi	Dipodidae	40	0	0	0	0	0	0	0	0	60	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	58.3	Ref_146	1
1268	Pygeretmus platyurus	Dipodidae	40	0	0	0	0	0	0	0	0	60	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	40.14	Ref_146	1
1269	Pygeretmus pumilio	Dipodidae	40	0	0	0	0	0	0	0	0	60	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	52	Ref_117	1
1270	Cardiocranius paradoxus	Dipodidae	0	0	0	0	0	0	0	0	100	0	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	8.6	Ref_117	1
1271	Salpingotulus michaelis	Dipodidae	50	0	0	0	0	0	0	0	0	50	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	29.05	"Ref_2, Ref_3"	0
1272	Salpingotus kozlovi	Dipodidae	50	0	0	0	0	0	0	0	0	50	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	10.73	Ref_178	2
1273	Salpingotus crassicauda	Dipodidae	50	0	0	0	0	0	0	0	0	50	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	13.1	Ref_146	1
1274	Salpingotus thomasi	Dipodidae	50	0	0	0	0	0	0	0	0	50	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	10.45	"Ref_2, Ref_3"	0
1275	Salpingotus heptneri	Dipodidae	50	0	0	0	0	0	0	0	0	50	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	8.9	Ref_146	1
1276	Salpingotus pallidus	Dipodidae	50	0	0	0	0	0	0	0	0	50	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	9.8	Ref_146	1
1277	Dipus sagitta	Dipodidae	0	0	0	0	0	0	20	20	0	60	Ref_1	ABC	Ar	A		1	0	0	Ref_1	ABC	85.65	Ref_117	1
1278	Eremodipus lichtensteini	Dipodidae	20	0	0	0	0	0	10	0	40	30	Ref_3	D2	G	A		1	0	0	Ref_1	ABC	51	Ref_117	1
1279	Jaculus blanfordi	Dipodidae	0	0	0	0	0	0	0	0	40	60	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	54.7	Ref_117	1
1280	Jaculus jaculus	Dipodidae	0	0	0	0	0	0	0	0	40	60	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	56.55	Ref_117	1
1281	Jaculus orientalis	Dipodidae	0	0	0	0	0	0	0	0	40	60	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	138	Ref_117	1
1282	Paradipus ctenodactylus	Dipodidae	0	0	0	0	0	0	20	0	20	60	Ref_1	ABC	G	A		1	0	0	Ref_1	ABC	109.01	Ref_117	1
