name,Gender,Eye color,Race,Hair color,Height,Publisher,Skin color,Alignment,Weight
Kylo Ren,Male,-,Human,-,-99,George Lucas,-,bad,-99
Lady Bullseye,Female,-,-,Black,-99,Marvel Comics,-,bad,-99
Lady Deathstrike,Female,brown,Cyborg,Black,175,Marvel Comics,-,bad,58
Leader,Male,green,-,No Hair,178,Marvel Comics,-,bad,63
Leech,Male,-,-,-,-99,Marvel Comics,-,good,-99
Legion,Male,green / blue,Mutant,Black,175,Marvel Comics,-,good,59
Leonardo,Male,blue,Mutant,No Hair,-99,IDW Publishing,green,good,-99
Lex Luthor,Male,green,Human,No Hair,188,DC Comics,-,bad,95
Light Lass,Female,blue,-,Red,165,DC Comics,-,good,54
Lightning Lad,Male,blue,-,Red,155,DC Comics,-,good,65
Lightning Lord,Male,blue,-,Red,191,DC Comics,-,bad,95
Living Brain,-,yellow,-,-,198,Marvel Comics,-,bad,360
Living Tribunal,-,blue,Cosmic Entity,No Hair,-99,Marvel Comics,gold,neutral,-99
Liz Sherman,Female,-,-,-,-99,Dark Horse Comics,-,good,-99
Lizard,Male,red,Human,No Hair,203,Marvel Comics,-,bad,230
Lobo,Male,red,Czarnian,Black,229,DC Comics,blue-white,neutral,288
Loki,Male,green,Asgardian,Black,193,Marvel Comics,-,bad,236
Longshot,Male,blue,Human,Blond,188,Marvel Comics,-,good,36
Luke Cage,Male,brown,Human,Black,198,Marvel Comics,-,good,191
Luke Campbell,Male,-,-,-,-99,NBC - Heroes,-,bad,-99
Luke Skywalker,Male,blue,Human,Blond,168,George Lucas,-,good,77
Luna,Female,-,Human,-,-99,Marvel Comics,-,good,-99
Lyja,Female,green,-,Green,-99,Marvel Comics,-,good,-99
Mach-IV,Male,brown,-,Brown,180,Marvel Comics,-,bad,79
Machine Man,-,red,-,Black,183,Marvel Comics,-,good,383
Magneto,Male,grey,Mutant,White,188,Marvel Comics,-,bad,86
Magog,Male,blue,-,Blond,-99,DC Comics,-,good,-99
Magus,Male,black,-,-,183,Marvel Comics,-,bad,-99
Man of Miracles,-,blue,God / Eternal,Silver,-99,Image Comics,-,-,-99
Man-Bat,Male,brown,Human,Brown,-99,DC Comics,-,neutral,-99
Man-Thing,Male,red,-,No Hair,213,Marvel Comics,green,good,225
Man-Wolf,Male,brown,-,Auburn,188,Marvel Comics,-,good,90
Mandarin,Male,blue,Human,White,188,Marvel Comics,-,bad,97
Mantis,Female,green,Human-Kree,Black,168,Marvel Comics,green,good,52
Martian Manhunter,Male,red,Martian,No Hair,201,DC Comics,green,good,135
Marvel Girl,Female,green,-,Red,170,Marvel Comics,-,good,56
Master Brood,Male,blue,-,Black,183,Team Epic TV,-,good,81
Master Chief,Male,brown,Human / Altered,Brown,213,Microsoft,-,good,-99
Match,Male,black,-,Black,-99,DC Comics,-,bad,-99
Matt Parkman,Male,-,-,-,-99,NBC - Heroes,-,good,-99
Maverick,Male,blue,-,Black,193,Marvel Comics,-,good,110
Maxima,Female,brown,-,Red,180,DC Comics,-,bad,72
Maya Herrera,Female,-,-,-,-99,NBC - Heroes,-,good,-99
Medusa,Female,green,Inhuman,Red,180,Marvel Comics,-,good,59
Meltdown,Female,blue,-,Blond,165,Marvel Comics,-,good,54
Mephisto,Male,white,-,Black,198,Marvel Comics,-,bad,140
Mera,Female,blue,Atlantean,Red,175,DC Comics,-,good,72
Metallo,Male,green,Android,Brown,196,DC Comics,-,bad,90
Metamorpho,Male,black,-,No Hair,185,DC Comics,-,good,90
Meteorite,Female,-,-,-,-99,Marvel Comics,-,good,-99
Metron,Male,blue,-,Black,185,DC Comics,-,good,86
Micah Sanders,Male,brown,-,Black,-99,NBC - Heroes,-,good,-99
Michelangelo,Male,blue,Mutant,-,-99,IDW Publishing,green,good,-99
Micro Lad,Male,grey,-,Brown,183,DC Comics,-,good,77
Mimic,Male,brown,-,Brown,188,Marvel Comics,-,good,101
Minna Murray,Female,-,-,-,-99,Wildstorm,-,good,-99
Misfit,Female,blue,-,Red,-99,DC Comics,-,good,-99
Miss Martian,Female,red,-,Red,178,DC Comics,-,good,61
Mister Fantastic,Male,brown,Human / Radiation,Brown,185,Marvel Comics,-,good,81
Mister Freeze,Male,-,Human,-,183,DC Comics,-,bad,86
Mister Knife,Male,blue,Spartoi,Brown,-99,Marvel Comics,-,bad,-99
Mister Mxyzptlk,Male,-,God / Eternal,-,-99,DC Comics,-,bad,-99
Mister Sinister,Male,red,Human / Altered,Black,196,Marvel Comics,-,bad,128
Mister Zsasz,Male,blue,Human,Blond,-99,DC Comics,-,bad,-99
Mockingbird,Female,blue,Human,Blond,175,Marvel Comics,-,good,61
MODOK,Male,white,Cyborg,Brownn,366,Marvel Comics,-,bad,338
Mogo,Male,-,Planet,-,-99,DC Comics,-,good,-99
Mohinder Suresh,Male,-,-,-,-99,NBC - Heroes,-,good,-99
Moloch,Male,-,-,-,-99,DC Comics,-,bad,-99
Molten Man,Male,gold,-,Gold,196,Marvel Comics,-,bad,248
Monarch,Male,blue,-,White,193,DC Comics,-,good,90
Monica Dawson,Female,-,-,-,-99,NBC - Heroes,-,good,-99
Moon Knight,Male,brown,Human,Brown,188,Marvel Comics,-,good,101
Moonstone,Female,blue,-,Blond,180,Marvel Comics,-,bad,59
Morlun,Male,white / red,-,Black,188,Marvel Comics,-,bad,79
Morph,Male,white,-,No Hair,178,Marvel Comics,-,good,79
Moses Magnum,Male,brown,-,Black,175,Marvel Comics,-,bad,72
Mr Immortal,Male,blue,Mutant,Blond,188,Marvel Comics,-,good,70
Mr Incredible,Male,blue,Human,Blond,201,Dark Horse Comics,-,good,158
Ms Marvel II,Female,blue,-,Red,173,Marvel Comics,-,good,61
Multiple Man,Male,blue,-,Brown,180,Marvel Comics,-,good,70
Mysterio,Male,brown,Human,No Hair,180,Marvel Comics,-,bad,79
Mystique,Female,yellow (without irises),Mutant,Red / Orange,178,Marvel Comics,blue,bad,54
Namor,Male,-,-,-,-99,Marvel Comics,-,good,-99
Namor,Male,grey,Atlantean,Black,188,Marvel Comics,-,good,125
Namora,Female,blue,-,Blond,180,Marvel Comics,-,good,85
Namorita,Female,blue,-,Blond,168,Marvel Comics,-,good,101
Naruto Uzumaki,Male,-,Human,-,168,Shueisha,-,good,54
Nathan Petrelli,Male,brown,-,-,-99,NBC - Heroes,-,good,-99
Nebula,Female,blue,Luphomoid,No Hair,185,Marvel Comics,blue,bad,83
Negasonic Teenage Warhead,Female,black,Mutant,Black,-99,Marvel Comics,-,good,-99
Nick Fury,Male,brown,Human,Brown / White,185,Marvel Comics,-,good,99
Nightcrawler,Male,yellow,-,Indigo,175,Marvel Comics,-,good,88
Nightwing,Male,blue,Human,Black,178,DC Comics,-,good,79
Niki Sanders,Female,blue,-,Blond,-99,NBC - Heroes,-,good,-99
Nina Theroux,Female,-,Alpha,-,-99,SyFy,-,good,-99
Nite Owl II,Male,-,-,-,-99,DC Comics,-,good,-99
Northstar,Male,blue,-,Black,180,Marvel Comics,-,good,83
Nova,Male,brown,Human,Brown,185,Marvel Comics,-,good,86
Nova,Female,white,Human / Cosmic,Red,163,Marvel Comics,gold,good,59
Odin,Male,blue,God / Eternal,White,206,Marvel Comics,-,good,293
Offspring,Male,-,-,-,-99,DC Comics,-,good,-99
Omega Red,Male,red,-,Blond,211,Marvel Comics,-,bad,191
Omniscient,Male,brown,-,Black,180,Team Epic TV,-,good,65
One Punch Man,Male,-,Human,No Hair,175,Shueisha,-,good,69
One-Above-All,-,-,Cosmic Entity,-,-99,Marvel Comics,-,neutral,-99
Onslaught,Male,red,Mutant,No Hair,305,Marvel Comics,-,bad,405
Oracle,Female,blue,Human,Red,178,DC Comics,-,good,59
Osiris,Male,brown,-,Brown,-99,DC Comics,-,good,-99
Overtkill,Male,-,-,-,-99,Image Comics,-,bad,-99
Ozymandias,Male,blue,Human,Blond,-99,DC Comics,-,bad,-99
Parademon,-,-,Parademon,-,-99,DC Comics,-,bad,-99
Paul Blart,Male,-,Human,-,170,Sony Pictures,-,good,117
Penance,-,-,-,-,-99,Marvel Comics,-,good,-99
Penance I,Female,-,-,-,-99,Marvel Comics,-,good,-99
Penance II,Male,blue,-,Blond,183,Marvel Comics,-,good,89
Penguin,Male,blue,Human,Black,157,DC Comics,-,bad,79
Peter Petrelli,Male,-,-,-,-99,NBC - Heroes,-,good,-99
Phantom,Male,-,-,-,-99,DC Comics,-,good,-99
Phantom Girl,Female,blue,-,Black,168,DC Comics,-,good,54
Phoenix,Female,green,Mutant,Red,168,Marvel Comics,-,good,52
Plantman,Male,green,Mutant,Grey,183,Marvel Comics,-,bad,87
Plastic Lad,Male,-,-,-,-99,DC Comics,-,good,-99
Plastic Man,Male,blue,Human,Black,185,DC Comics,-,good,80
Plastique,Female,blue,-,Red,168,DC Comics,-,bad,55
Poison Ivy,Female,green,Human,Red,168,DC Comics,green,bad,50
Polaris,Female,green,Mutant,Green,170,Marvel Comics,-,good,52
Power Girl,Female,blue,Kryptonian,blond,180,DC Comics,-,good,81
Power Man,Male,-,Mutant,-,-99,Marvel Comics,-,good,-99
Predator,Male,-,Yautja,-,213,Dark Horse Comics,-,bad,234
Professor X,Male,blue,Mutant,No Hair,183,Marvel Comics,-,good,86
Professor Zoom,Male,blue,Human,Strawberry Blond,180,DC Comics,-,bad,81
Proto-Goblin,Male,green,-,Blond,-99,Marvel Comics,-,bad,-99
Psylocke,Female,blue,Mutant,Purple,180,Marvel Comics,-,good,70
Punisher,Male,blue,Human,Black,183,Marvel Comics,-,good,90
Purple Man,Male,purple,Human,Purple,180,Marvel Comics,purple,bad,74
Pyro,Male,blue,-,Blond,178,Marvel Comics,-,bad,68
Q,Male,-,God / Eternal,-,-99,Star Trek,-,-,-99
Quantum,Male,-,-,-,-99,HarperCollins,-,good,-99
Question,Male,blue,Human,Blond,188,DC Comics,-,good,83
Quicksilver,Male,blue,Mutant,Silver,183,Marvel Comics,-,good,79
Quill,Male,brown,-,Brown,163,Marvel Comics,-,good,56
Ra's Al Ghul,Male,green,Human,Grey,193,DC Comics,-,bad,97
Rachel Pirzad,Female,-,Alpha,-,-99,SyFy,-,good,-99
Rambo,Male,brown,Human,Black,178,,-,good,83
Raphael,Male,-,Mutant,No Hair,-99,IDW Publishing,green,good,-99
Raven,Female,indigo,Human,Black,165,DC Comics,-,neutral,50
Ray,Male,green,Human,Red,178,DC Comics,-,good,70
Razor-Fist II,Male,blue,-,No Hair,191,Marvel Comics,-,bad,117
Red Arrow,Male,green,Human,Red,180,DC Comics,-,good,83
Red Hood,Male,blue,Human,Black,183,DC Comics,-,neutral,81
Red Hulk,Male,yellow,Human / Radiation,Black,213,Marvel Comics,red,neutral,630
Red Mist,Male,-,-,-,-99,Icon Comics,-,bad,-99
Red Robin,Male,blue,Human,Black,165,DC Comics,-,good,56
Red Skull,Male,blue,-,No Hair,188,Marvel Comics,-,bad,108
Red Tornado,Male,green,Android,No Hair,185,DC Comics,-,good,146
Redeemer II,Male,-,-,-,-99,Image Comics,-,bad,-99
Redeemer III,Male,-,-,-,-99,Image Comics,-,bad,-99
Renata Soliz,Female,-,-,-,-99,HarperCollins,-,good,-99
Rey,Female,hazel,Human,Brown,297,George Lucas,-,good,-99
Rhino,Male,brown,Human / Radiation,Brown,196,Marvel Comics,-,bad,320
Rick Flag,Male,blue,-,Brown,185,DC Comics,-,bad,85
Riddler,Male,-,-,-,-99,DC Comics,-,bad,-99
Rip Hunter,Male,blue,Human,Blond,-99,DC Comics,-,good,-99
Ripcord,Female,green,-,Black,180,Marvel Comics,-,good,72
Robin,Male,blue,Human,Black,178,DC Comics,-,good,79
Robin II,Male,blue,Human,Red,183,DC Comics,-,good,101
Robin III,Male,blue,Human,Black,165,DC Comics,-,good,56
Robin V,Male,blue,Human,Black,137,DC Comics,-,good,38
Robin VI,Female,green,Human,Red,-99,DC Comics,-,neutral,-99
Rocket Raccoon,Male,brown,Animal,Brown,122,Marvel Comics,-,good,25
Rogue,Female,green,-,Brown / White,173,Marvel Comics,-,good,54
Ronin,Male,blue,Human,Blond,191,Marvel Comics,-,good,104
Rorschach,Male,blue,Human,Red,168,DC Comics,-,good,63
Sabretooth,Male,amber,Mutant,Blond,198,Marvel Comics,-,bad,171
Sage,Female,blue,-,Black,170,Marvel Comics,-,good,61
Sandman,Male,brown,Human,Brown,185,Marvel Comics,-,neutral,203
Sasquatch,Male,red,-,Orange,305,Marvel Comics,-,good,900
Sauron,Male,-,Maiar,-,279,J. R. R. Tolkien,-,bad,-99
Savage Dragon,Male,-,-,-,-99,Image Comics,-,good,-99
Scarecrow,Male,blue,Human,Brown,183,DC Comics,-,bad,63
Scarlet Spider,Male,blue,Human,Blond,178,Marvel Comics,-,good,74
Scarlet Spider II,Male,brown,Clone,Brown,193,Marvel Comics,-,good,113
Scarlet Witch,Female,blue,Mutant,Brown,170,Marvel Comics,-,bad,59
Scorpia,Female,green,-,Red,-99,Marvel Comics,-,bad,-99
Scorpion,Male,brown,Human,Brown,211,Marvel Comics,-,bad,310
Sebastian Shaw,Male,-,Mutant,-,-99,Marvel Comics,-,bad,-99
Sentry,Male,blue,Mutant,Blond,188,Marvel Comics,-,neutral,87
Shadow King,-,red,-,-,185,Marvel Comics,-,good,149
Shadow Lass,Female,black,Talokite,Black,173,DC Comics,blue,good,54
Shadowcat,Female,hazel,Mutant,Brown,168,Marvel Comics,-,good,50
Shang-Chi,Male,brown,Human,Black,178,Marvel Comics,-,good,79
Shatterstar,Male,brown,-,Red,191,Marvel Comics,-,good,88
She-Hulk,Female,green,Human,Green,201,Marvel Comics,-,good,315
She-Thing,Female,blue,Human / Radiation,No Hair,183,Marvel Comics,-,good,153
Shocker,Male,brown,Human,Brown,175,Marvel Comics,-,bad,79
Shriek,Female,yellow / blue,-,Black,173,Marvel Comics,-,good,52
Shrinking Violet,Female,-,-,-,-99,DC Comics,-,good,-99
Sif,Female,blue,Asgardian,Black,188,Marvel Comics,-,good,191
Silk,Female,brown,Human,Black,-99,Marvel Comics,-,good,-99
Silk Spectre,Female,-,-,-,-99,DC Comics,-,good,-99
Silk Spectre II,Female,-,-,-,-99,DC Comics,-,good,-99
Silver Surfer,Male,white,Alien,No Hair,193,Marvel Comics,silver,good,101
Silverclaw,Female,brown,-,Black,157,Marvel Comics,-,good,50
Simon Baz,Male,bown,Human,Black,-99,DC Comics,-,good,-99
Sinestro,Male,black,Korugaran,Black,201,DC Comics,red,neutral,92
Siren,Female,blue,Atlantean,Purple,175,DC Comics,-,bad,72
Siren II,Female,black,-,-,-99,DC Comics,-,bad,-99
Siryn,Female,blue,-,Strawberry Blond,168,Marvel Comics,-,bad,52
Skaar,Male,green,-,Black,198,Marvel Comics,-,good,180
Snake-Eyes,Male,-,Animal,-,-99,Marvel Comics,-,bad,-99
Snowbird,Female,white,-,Blond,178,Marvel Comics,-,good,49
Sobek,Male,white,-,No Hair,-99,DC Comics,-,good,-99
Solomon Grundy,Male,black,Zombie,White,279,DC Comics,-,bad,437
Songbird,Female,green,-,Red / White,165,Marvel Comics,-,good,65
Space Ghost,Male,-,Human,-,188,DC Comics,-,good,113
Spawn,Male,brown,Demon,Black,211,Image Comics,-,good,405
Spectre,Male,white,God / Eternal,No Hair,-99,DC Comics,white,good,-99
Speedball,Male,-,-,-,-99,Marvel Comics,-,good,-99
Speedy,Male,-,Human,-,-99,DC Comics,-,good,-99
Speedy,Female,green,Human,Brown,-99,DC Comics,-,good,-99
Spider-Carnage,Male,-,Symbiote,-,-99,Marvel Comics,-,bad,-99
Spider-Girl,Female,blue,Human,Brown,170,Marvel Comics,-,good,54
Spider-Gwen,Female,blue,Human,Blond,165,Marvel Comics,-,good,56
Spider-Man,Male,hazel,Human,Brown,178,Marvel Comics,-,good,74
Spider-Man,-,red,Human,Brown,178,Marvel Comics,-,good,77
Spider-Man,Male,brown,Human,Black,157,Marvel Comics,-,good,56
Spider-Woman,Female,green,Human,Black,178,Marvel Comics,-,good,59
Spider-Woman II,Female,-,-,-,-99,Marvel Comics,-,good,-99
Spider-Woman III,Female,brown,-,Brown,173,Marvel Comics,-,good,55
Spider-Woman IV,Female,red,-,White,178,Marvel Comics,-,bad,58
Spock,Male,brown,Human-Vulcan,Black,185,Star Trek,-,good,81
Spyke,Male,brown,Mutant,Blond,183,Marvel Comics,-,good,83
Stacy X,Female,-,-,-,-99,Marvel Comics,-,good,-99
Star-Lord,Male,blue,Human-Spartoi,Blond,188,Marvel Comics,-,good,79
Stardust,Male,-,-,-,-99,Marvel Comics,-,good,-99
Starfire,Female,green,Tamaranean,Auburn,193,DC Comics,orange,good,71
Stargirl,Female,blue,Human,Blond,165,DC Comics,-,good,62
Static,Male,brown,Mutant,Black,170,DC Comics,-,good,63
Steel,Male,brown,-,No Hair,201,DC Comics,-,good,131
Stephanie Powell,Female,-,-,Blond,-99,ABC Studios,-,good,-99
Steppenwolf,Male,red,New God,Black,183,DC Comics,white,bad,91
Storm,Female,blue,Mutant,White,180,Marvel Comics,-,good,57
Stormtrooper,Male,-,Human,-,183,George Lucas,-,bad,-99
Sunspot,Male,brown,Mutant,black,173,Marvel Comics,-,good,77
Superboy,Male,blue,-,Black,170,DC Comics,-,good,68
Superboy-Prime,Male,blue,Kryptonian,Black / Blue,180,DC Comics,-,bad,77
Supergirl,Female,blue,Kryptonian,Blond,165,DC Comics,-,good,54
Superman,Male,blue,Kryptonian,Black,191,DC Comics,-,good,101
Swamp Thing,Male,red,God / Eternal,No Hair,-99,DC Comics,green,bad,-99
Swarm,Male,yellow,Mutant,No Hair,196,Marvel Comics,yellow,bad,47
Sylar,Male,-,-,-,-99,NBC - Heroes,-,bad,-99
Synch,Male,brown,-,Black,180,Marvel Comics,-,good,74
T-1000,Male,-,Android,-,183,Dark Horse Comics,silver,bad,146
T-800,Male,red,Cyborg,-,-99,Dark Horse Comics,-,bad,176
T-850,Male,red,Cyborg,-,-99,Dark Horse Comics,-,bad,198
T-X,Female,-,Cyborg,-,-99,Dark Horse Comics,silver,bad,149
Taskmaster,Male,brown,Human,Brown,188,Marvel Comics,-,bad,99
Tempest,Female,brown,-,Black,163,Marvel Comics,-,good,54
Thanos,Male,red,Eternal,No Hair,201,Marvel Comics,purple,bad,443
The Cape,Male,-,-,-,-99,,-,good,-99
The Comedian,Male,brown,Human,Black,188,DC Comics,-,neutral,101
Thing,Male,blue,Human / Radiation,No Hair,183,Marvel Comics,-,good,225
Thor,Male,blue,Asgardian,Blond,198,Marvel Comics,-,good,288
Thor Girl,Female,blue,Asgardian,Blond,175,Marvel Comics,-,good,143
Thunderbird,Male,brown,-,Black,185,Marvel Comics,-,good,101
Thunderbird II,Male,-,-,-,-99,Marvel Comics,-,good,-99
Thunderbird III,Male,brown,-,Black,175,Marvel Comics,-,good,74
Thunderstrike,Male,blue,-,Blond,198,Marvel Comics,-,good,288
Thundra,Female,green,-,Red,218,Marvel Comics,-,good,158
Tiger Shark,Male,grey,Human,No Hair,185,Marvel Comics,grey,bad,203
Tigra,Female,green,-,Auburn,178,Marvel Comics,-,good,81
Tinkerer,Male,brown,-,White,163,Marvel Comics,-,bad,54
Titan,Male,-,-,-,-99,HarperCollins,-,good,-99
Toad,Male,black,Mutant,Brown,175,Marvel Comics,green,neutral,76
Toxin,Male,blue,Symbiote,Brown,188,Marvel Comics,-,good,97
Toxin,Male,black,Symbiote,Blond,191,Marvel Comics,-,good,117
Tracy Strauss,Female,-,-,-,-99,NBC - Heroes,-,good,-99
Trickster,Male,blue,Human,Blond,183,DC Comics,-,-,81
Trigon,Male,yellow,God / Eternal,Black,-99,DC Comics,red,bad,-99
Triplicate Girl,Female,purple,-,Brown,168,DC Comics,-,good,59
Triton,Male,green,Inhuman,No Hair,188,Marvel Comics,green,good,86
Two-Face,Male,-,-,-,183,DC Comics,-,bad,82
Ultragirl,Female,blue,-,Blond,168,Marvel Comics,-,good,105
Ultron,Male,red,Android,-,206,Marvel Comics,silver,bad,331
Utgard-Loki,Male,blue,Frost Giant,White,15.2,Marvel Comics,-,bad,58
Vagabond,Female,blue,-,Strawberry Blond,168,Marvel Comics,-,good,54
Valerie Hart,Female,hazel,-,Black,175,Team Epic TV,-,good,56
Valkyrie,Female,blue,-,Blond,191,Marvel Comics,-,good,214
Vanisher,Male,green,-,No Hair,165,Marvel Comics,-,bad,79
Vegeta,Male,-,Saiyan,Black,168,Shueisha,-,bad,73
Venom,Male,blue,Symbiote,Strawberry Blond,191,Marvel Comics,-,bad,117
Venom II,Male,brown,-,Black,175,Marvel Comics,-,bad,50
Venom III,Male,brown,Symbiote,Brown,229,Marvel Comics,-,bad,334
Venompool,Male,-,Symbiote,-,226,Marvel Comics,-,-,-99
Vertigo II,Female,blue,-,Silver,168,Marvel Comics,-,good,52
Vibe,Male,brown,Human,Black,178,DC Comics,-,good,71
Vindicator,Female,green,Human,Red,165,Marvel Comics,-,good,54
Vindicator,Male,-,-,-,-99,Marvel Comics,-,good,-99
Violator,Male,-,-,-,-99,Image Comics,-,bad,-99
Violet Parr,Female,violet,Human,Black,137,Dark Horse Comics,-,good,41
Vision,Male,gold,Android,No Hair,191,Marvel Comics,red,good,135
Vision II,-,red,-,No Hair,191,Marvel Comics,-,good,135
Vixen,Female,amber,Human,Black,175,DC Comics,-,good,63
Vulcan,Male,black,-,Black,-99,Marvel Comics,-,good,-99
Vulture,Male,brown,Human,No Hair,180,Marvel Comics,-,bad,79
Walrus,Male,blue,Human,Black,183,Marvel Comics,-,bad,162
War Machine,Male,brown,Human,Brown,185,Marvel Comics,-,good,95
Warbird,Female,blue,-,Blond,180,Marvel Comics,-,good,54
Warlock,Male,red,-,Blond,188,Marvel Comics,-,good,108
Warp,Male,brown,-,Black,173,DC Comics,-,bad,67
Warpath,Male,brown,Mutant,Black,218,Marvel Comics,-,good,158
Wasp,Female,blue,Human,Auburn,163,Marvel Comics,-,good,50
Watcher,Male,-,-,-,-99,Marvel Comics,-,good,-99
Weapon XI,Male,-,-,-,-99,Marvel Comics,-,bad,-99
White Canary,Female,brown,Human,Black,-99,DC Comics,-,bad,-99
White Queen,Female,blue,-,Blond,178,Marvel Comics,-,good,65
Wildfire,Male,-,-,-,-99,DC Comics,-,good,-99
Winter Soldier,Male,brown,Human,Brown,175,Marvel Comics,-,good,117
Wiz Kid,-,brown,-,Black,140,Marvel Comics,-,good,39
Wolfsbane,Female,green,-,Auburn,366,Marvel Comics,-,good,473
Wolverine,Male,blue,Mutant,Black,160,Marvel Comics,-,good,135
Wonder Girl,Female,blue,Demi-God,Blond,165,DC Comics,-,good,51
Wonder Man,Male,red,-,Black,188,Marvel Comics,-,good,171
Wonder Woman,Female,blue,Amazon,Black,183,DC Comics,-,good,74
Wondra,Female,-,-,-,-99,Marvel Comics,-,good,-99
Wyatt Wingfoot,Male,brown,-,Black,196,Marvel Comics,-,good,117
X-23,Female,green,Mutant / Clone,Black,155,Marvel Comics,-,good,50
X-Man,Male,blue,-,Brown,175,Marvel Comics,-,good,61
Yellow Claw,Male,blue,-,No Hair,188,Marvel Comics,-,bad,95
Yellowjacket,Male,blue,Human,Blond,183,Marvel Comics,-,good,83
Yellowjacket II,Female,blue,Human,Strawberry Blond,165,Marvel Comics,-,good,52
Ymir,Male,white,Frost Giant,No Hair,304.8,Marvel Comics,white,good,-99
Yoda,Male,brown,Yoda's species,White,66,George Lucas,green,good,17
Zatanna,Female,blue,Human,Black,170,DC Comics,-,good,57
Zoom,Male,red,-,Brown,185,DC Comics,-,bad,81
