Years of sample collection,Elephant ID,Sex,Estimated Age (years),shoulder Height in  cm,Tusk Length in cm,Tusk Circumference   in cm
2005-13,22,m,7.5,210,62.7,20
2005-13,43,m,7.5,180,51.1,17
2005-13,53,m,7.5,220,78.3,22
2005-13,76,m,7.5,210,75.7,20
2005-13,78,m,7.5,220,84.7,19
2005-13,144,m,7.5,220,58.9,15
2005-13,1,m,9,220,99,30
2005-13,48,m,9,230,105.4,23
2005-13,105,m,9,210,79.6,17
2005-13,92,m,17.5,280,130,28
2005-13,150,m,17.5,280,108,28
2005-13,28,m,22.5,270,136.5,30
2005-13,14,m,27.5,270,104.1,26
2005-13,15,m,27.5,260,88.6,27
2005-13,87,m,27.5,300,124.8,35
2005-13,50,m,32.5,300,131.3,34
2005-13,88,m,32.5,290,162.3,40
2005-13,51,m,37.5,270,113.2,40
2005-13,86,m,37.5,310,175.3,38
2005-13,89,m,37.5,300,188.2,40
2005-13,95,m,37.5,330,127.4,38
2005-13,138,m,37.5,290,207.6,40
2005-13,91,m,42.5,320,214.1,46
2005-13,93,m,42.5,310,162.3,42
2005-13,94,m,52.5,330,219.3,42
