"id","Order","Family","Genus","Species","Fos","Ter","Aqu","Arb","Leaves","Flowers","Seeds","Fruits","Arthro","Vert","Diu","Noc","Crepu","Wet_warm","Wet_cold","Dry_warm","Dry_cold","Body_mass_g","Age_at_maturity_min_y","Age_at_maturity_max_y","Body_size_mm","Size_at_maturity_min_mm","Size_at_maturity_max_mm","Longevity_max_y","Litter_size_min_n","Litter_size_max_n","Reproductive_output_y","Offspring_size_min_mm","Offspring_size_max_mm","Dir","Lar","Viv","OBS"
"Anf1202","Anura","Ceratophryidae","Telmatobius","Telmatobius niger",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.6,52,54,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf1203","Anura","Ceratophryidae","Telmatobius","Telmatobius oxycephalus",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf1204","Anura","Ceratophryidae","Telmatobius","Telmatobius pefauri",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf1205","Anura","Ceratophryidae","Telmatobius","Telmatobius peruvianus",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf1206","Anura","Ceratophryidae","Telmatobius","Telmatobius philippii",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.7,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
"Anf1207","Anura","Ceratophryidae","Telmatobius","Telmatobius pinguiculus",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
"Anf1208","Anura","Ceratophryidae","Telmatobius","Telmatobius pisanoi",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf1209","Anura","Ceratophryidae","Telmatobius","Telmatobius platycephalus",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf1210","Anura","Ceratophryidae","Telmatobius","Telmatobius punctatus",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf1211","Anura","Ceratophryidae","Telmatobius","Telmatobius rimac",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.1,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf1212","Anura","Ceratophryidae","Telmatobius","Telmatobius rubigo",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anf1213","Anura","Ceratophryidae","Telmatobius","Telmatobius sanborni",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.5,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf1214","Anura","Ceratophryidae","Telmatobius","Telmatobius schreiteri",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf1215","Anura","Ceratophryidae","Telmatobius","Telmatobius scrocchii",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf1216","Anura","Ceratophryidae","Telmatobius","Telmatobius sibiricus",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,57.5,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf1217","Anura","Ceratophryidae","Telmatobius","Telmatobius simonsi",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.1,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf1218","Anura","Ceratophryidae","Telmatobius","Telmatobius stephani",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf1219","Anura","Ceratophryidae","Telmatobius","Telmatobius thompsoni",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.3,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf1220","Anura","Ceratophryidae","Telmatobius","Telmatobius timens",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
"Anf1221","Anura","Ceratophryidae","Telmatobius","Telmatobius truebae",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf1222","Anura","Ceratophryidae","Telmatobius","Telmatobius vellardi",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf1223","Anura","Ceratophryidae","Telmatobius","Telmatobius verrucosus",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.2,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf1224","Anura","Ceratophryidae","Telmatobius","Telmatobius vilamensis",1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.8,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
"Anf1225","Anura","Ceratophryidae","Telmatobius","Telmatobius yuracare",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.6,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf1226","Anura","Ceratophryidae","Telmatobius","Telmatobius zapahuirensis",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
"Anf1227","Anura","Ceuthomantidae","Ceuthomantis","Ceuthomantis aracamuni",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anf1228","Anura","Ceuthomantidae","Ceuthomantis","Ceuthomantis cavernibardus",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anf1229","Anura","Ceuthomantidae","Ceuthomantis","Ceuthomantis Duellmani",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anf1230","Anura","Ceuthomantidae","Ceuthomantis","Ceuthomantis smaragdinus",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,19.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anf1231","Anura","Craugastoridae","Craugastor","Craugastor adamastus",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA
"Anf1232","Anura","Craugastoridae","Craugastor","Craugastor alfredi",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1233","Anura","Craugastoridae","Craugastor","Craugastor amniscola",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA
"Anf1234","Anura","Craugastoridae","Craugastor","Craugastor anciano",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1235","Anura","Craugastoridae","Craugastor","Craugastor andi",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1236","Anura","Craugastoridae","Craugastor","Craugastor angelicus",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1237","Anura","Craugastoridae","Craugastor","Craugastor aphanus",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,1,2.4,2.4,1,0,0,NA
"Anf1238","Anura","Craugastoridae","Craugastor","Craugastor augusti",NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,95,94,94,7,59,76,1,8.5,8.5,1,0,0,NA
"Anf1239","Anura","Craugastoridae","Craugastor","Craugastor aurilegulus",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1240","Anura","Craugastoridae","Craugastor","Craugastor azueroensis",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1241","Anura","Craugastoridae","Craugastor","Craugastor batrachylus",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA
"Anf1242","Anura","Craugastoridae","Craugastor","Craugastor berkenbuschii",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1243","Anura","Craugastoridae","Craugastor","Craugastor bocourti",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1244","Anura","Craugastoridae","Craugastor","Craugastor bransfordii",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,30,17,20,NA,2,10,1,NA,NA,1,0,0,NA
"Anf1245","Anura","Craugastoridae","Craugastor","Craugastor brocchi",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.3,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1246","Anura","Craugastoridae","Craugastor","Craugastor campbelli",NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,29.3,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA
"Anf1247","Anura","Craugastoridae","Craugastor","Craugastor catalinae",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1248","Anura","Craugastoridae","Craugastor","Craugastor chac",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1249","Anura","Craugastoridae","Craugastor","Craugastor charadra",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1250","Anura","Craugastoridae","Craugastor","Craugastor chingopetaca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA
"Anf1251","Anura","Craugastoridae","Craugastor","Craugastor chrysozetetes",NA,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1252","Anura","Craugastoridae","Craugastor","Craugastor coffeus",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.9,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1253","Anura","Craugastoridae","Craugastor","Craugastor crassidigitus",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,36,45,1,NA,NA,1,0,0,NA
"Anf1254","Anura","Craugastoridae","Craugastor","Craugastor cruzi",NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.2,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1255","Anura","Craugastoridae","Craugastor","Craugastor cuaquero",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA
"Anf1256","Anura","Craugastoridae","Craugastor","Craugastor cyanochthebius",NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.8,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1257","Anura","Craugastoridae","Craugastor","Craugastor daryi",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1258","Anura","Craugastoridae","Craugastor","Craugastor decoratus",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1259","Anura","Craugastoridae","Craugastor","Craugastor emcelae",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1260","Anura","Craugastoridae","Craugastor","Craugastor emleni",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1261","Anura","Craugastoridae","Craugastor","Craugastor epochthidius",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.7,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1262","Anura","Craugastoridae","Craugastor","Craugastor escoces",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1263","Anura","Craugastoridae","Craugastor","Craugastor evanesco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anf1264","Anura","Craugastoridae","Craugastor","Craugastor fecundus",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.3,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1265","Anura","Craugastoridae","Craugastor","Craugastor fitzingeri",NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,11,NA,NA,53,NA,NA,NA,24,92,1,3.1,5.5,1,0,0,NA
"Anf1266","Anura","Craugastoridae","Craugastor","Craugastor fleischmanni",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1267","Anura","Craugastoridae","Craugastor","Craugastor galacticorhinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anf1268","Anura","Craugastoridae","Craugastor","Craugastor glaucus",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1269","Anura","Craugastoridae","Craugastor","Craugastor gollmeri",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1270","Anura","Craugastoridae","Craugastor","Craugastor greggi",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1271","Anura","Craugastoridae","Craugastor","Craugastor guerreroensis",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1272","Anura","Craugastoridae","Craugastor","Craugastor gulosus",NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1273","Anura","Craugastoridae","Craugastor","Craugastor hobartsmithi",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1274","Anura","Craugastoridae","Craugastor","Craugastor inachus",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1275","Anura","Craugastoridae","Craugastor","Craugastor jota",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA
"Anf1276","Anura","Craugastoridae","Craugastor","Craugastor laevissimus",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1277","Anura","Craugastoridae","Craugastor","Craugastor laticeps",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,80,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1278","Anura","Craugastoridae","Craugastor","Craugastor lauraster",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.3,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1279","Anura","Craugastoridae","Craugastor","Craugastor lineatus",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1280","Anura","Craugastoridae","Craugastor","Craugastor loki",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1281","Anura","Craugastoridae","Craugastor","Craugastor longirostris",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.6,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1282","Anura","Craugastoridae","Craugastor","Craugastor matudai",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1283","Anura","Craugastoridae","Craugastor","Craugastor megacephalus",1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1284","Anura","Craugastoridae","Craugastor","Craugastor megalotympanum",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1285","Anura","Craugastoridae","Craugastor","Craugastor melanostictus",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1286","Anura","Craugastoridae","Craugastor","Craugastor merendonensis",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1287","Anura","Craugastoridae","Craugastor","Craugastor mexicanus",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1288","Anura","Craugastoridae","Craugastor","Craugastor milesi",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,37.1,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1289","Anura","Craugastoridae","Craugastor","Craugastor mimus",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1290","Anura","Craugastoridae","Craugastor","Craugastor monnichorum",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA
"Anf1291","Anura","Craugastoridae","Craugastor","Craugastor montanus",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1292","Anura","Craugastoridae","Craugastor","Craugastor myllomyllon",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA
"Anf1293","Anura","Craugastoridae","Craugastor","Craugastor nefrens",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,26.8,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA
"Anf1294","Anura","Craugastoridae","Craugastor","Craugastor noblei",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1295","Anura","Craugastoridae","Craugastor","Craugastor obesus",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,86,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1296","Anura","Craugastoridae","Craugastor","Craugastor occidentalis",NA,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA
"Anf1297","Anura","Craugastoridae","Craugastor","Craugastor olanchano",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1298","Anura","Craugastoridae","Craugastor","Craugastor omiltemanus",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1299","Anura","Craugastoridae","Craugastor","Craugastor omoaensis",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1300","Anura","Craugastoridae","Craugastor","Craugastor opimus",NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1301","Anura","Craugastoridae","Craugastor","Craugastor palenque",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA
"Anf1302","Anura","Craugastoridae","Craugastor","Craugastor pechorum",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1303","Anura","Craugastoridae","Craugastor","Craugastor pelorus",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA
"Anf1304","Anura","Craugastoridae","Craugastor","Craugastor persimilis",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1305","Anura","Craugastoridae","Craugastor","Craugastor phasma",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA
"Anf1306","Anura","Craugastoridae","Craugastor","Craugastor podiciferus",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
"Anf1307","Anura","Craugastoridae","Craugastor","Craugastor polymniae",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
